millis,armed,flip,roll,pitch,yaw,mfr,fp,gx,gy,gz,spr,err_roll,err_pitch,err_yaw,u2,m1,m2,m3,m4
1095,0,0,-0.76,5.41,-0.27,0.00,0,-3.12,-0.19,0.06,0.07,-0.83,4.78,-0.20,-0.00000034,1012.0013.00,1011.00,1011.00,1013.00
2120,0,0,0.08,5.41,-0.30,0.00,0,4.19,0.31,0.06,0.07,0.01,4.78,-0.23,0.00000077,1011011.00,1013.00,1013.00,1011.00
2262,0,0,-0.87,5.41,-0.31,0.00,0,0.25,0.06,0.00,0.07,-0.94,4.78,-0.24,013,1012.00,1012.00,1012.00,1012.00
3696,0,0,-0.55,5.42,-0.36,0.00,0,3.75,0.19,-0.06,0.07,-0.62,4.79,-0.29,0.000000860000074,1011.00,1013.00,1013.00,1011.00
5153,0,0,-0.64,5.42,-0.41,0.00,0,-1.44,-0.13,0.00,0.07,-0.71,4.79,-0.34,-0.00000007,1012.00,1012.00,1010,1012.00
6005,0,0,-0.74,5.41,-0.45,0.00,0,-0.13,-0.06,0.00,0.07,-0.81,4.78,-0.59,0.00000020,1012.00,1012.00,1012.00,1012.00
6562,0,0,-0.32,5.41,-0.47,0.00,0,-4.44,0.00,-0.06,0.07,-0.39,4.78,-0.61,-0.00000071,1013.00,1011.01011.00,1011.00,1013.00
8099,0,0,0.33,5.41,-0.50,0.00,0,-1.37,0.00,-0.06,0.07,0.26,4.78,-0.43,-0.000000,1012.00,1012.00,1012.00,1012.00
8323,0,0,-0.24,5.41,-0.51,0.00,0,3.69,0.13,0.06,0.07,-0.31,4.78,-0.4.44,0.00000072,1011.00,1013.00,1013.00,1011.00
11081,1,0,0.00,5.38,-0.57,0.00,0,2.56,0.06,0.19,0.07,-0.07,4.75,-0.50,0.00000049,1063.00,1063.00,1063.00,.00
12242,1,0,-0.55,5.41,-0.60,0.00,0,-3.81,-0.25,-0.0,0.07,-0.52,4.78,-0.53,-0.00000053,1064.00,1062.00,1062.00,1064.00
14999,1,0,-0.24,5.47,-0.67,0.00,0,-1.37,0.25,-0.25,0.07,-0.31,4.84,-0.60,-0.00000017,11198.00,1198.00,1198.00,1198.00
15264,1,0,0.08,5.46,-0.68-0.68,0.00,0,-0.44,0.81,-0.31,0.07,0.02,4.83,-0.61,-0.00000009,1201.00,1201.00,1201.00,1201.00
15687,1,0,-0.37,5.45,-0.70,0.75,1,-0.69,0.19,0.06,80.00,-80.37,5.45,-0.70,0.00002214,1355.00,1445.044.00,1444.00,1356.00
17332,1,0,10.07,5.15,-095,66.94,1,0.81,0.13,2.00,80.00,-70.00,5.17,-0.95,0.00001954,1361.00,1439.00,1439.00,1361.00
17994,1,0,10.00,5.17,-0.91,66.94,1,0.81,0.06,0.7,80.00,-69.98,5.17,-0.91,0.00001911,1362.00,1438.00,1438.00,1362.00
21205,0,0,-1.22,5.50,-1.09,0.00,0,-37.31,-1.12,-0.88,0.07,-1.29,4.87,-1.02,-0.00000651,1027.00,01.00,1001.00,1027.00
25530,-0.42,4.85,-1.06,-0.00000128,1211.00,1207.00,1207.00,121.19,-0.56,0.00,0.07,-0.29,4.85,-1.06,-0.00000124,1212.00,1208.00,1208.00,1212.00
26274,1,0,-0.20,5.37,-1.14,0.00,0,0.62,1.00,0.13,0.07,-0.27,4.4.75,-1.07,0.00000008,1237.00,1237.00,1237.00,1237.00
28337,1,0,-0.32,5.43,-1.19,0.00,0,0.50,0.13,0.19,0.07,-0.39,4.80,-1.12,0.00000020,1237.00,1237.00,1237.00,1237.00
30182,1,0,-0.45,5.50,-1.21,0.00,0,1.12,0.50,0.00,0.07,-0.52,4.87,-1.1,0.00000021,1303.00,1303.00,1303.00,1303.00
31168,1,0,-0.37,5.76,-1.19,0.00,0,0.50,0.69,0.19,0.07,-0.44,5.13,-1.12,0.00000021,1340.00,1340.00,1340.00,1340.00
33178,1,0,9.71,5.45,-0.93,65.44,1,2.75,0.31,-0.19,80.00,-70.29,5.45,-0.93,0.00001997,1360.00,1440.00,1440.00,1360.00
33435,1,0,9.81,5.44,-0.992,65.44,1,-1.19,-0.19,1.69,80.00,-70.19,5.40,-0.92,0.00001922,1361.00,1439.00,1439.00,1361.00
35016,1,0,9.86,5.06,-0.89,65.44,1,-3.12,-0.25,1.56,80.00,-70.10,5.05,-0.86,0.00001943,1361.00,1439.00,1439.00,1361.00
36634,0,0,-3.81,5.47,-1.11,0.00,0,4.69,-0.56,-0.56,0.07,-3.88,4.84,-1.04,0087,1013.00,1015.00,1015.00,1013.00
36881,0,0,2.07,5.34,-1.00,0.00,0,-3,-0.50,-1.19,0.07,3.01,4.67,-0.91,-0.00000684,1027.00,1001.00,1001.00,1027.00
44912,1,0,0.24,5.79,-1.05,0.00,0,1.19,0.56,0.13,0.07,0.17,5.16,.98,0.00000016,1293.00,1293.00,1293.00,1293.00
45165,1,0,-0.22,5.74,-1.05,0.00,0,-1.75,0.13,0.25,0.07,-0.28,5.11,-0.97,-0.00000025,1322.00,1322.00,1322.00,1322.00
45832,1,0,0.03,5.71,-1.04,0.00,0,-1.94,0.31,0.94,0.07,-0.04,5.08,-0.97,-0.00000034,1388.00,1389.00,1389.00,1389.00
47237,1,0,0.92,5.69,-0.-0.82,0.00,0,-3.44,-0.13,0.50,0.07,0.90,5.06,-0.75,-0.00000088,1486.00,1484.00,1484.00,1486.00
50455,1,0,11.04,5.45,-0.66,60.81,1,0.37,-0.19,-0.50,80.080.00,-68.98,5.45,-0.67,0.00001922,1361.00,1439.00,1439.00,1361.00
52205,0,4.88,5.06,-0.71,-0.00000627,1029.00,1005.00,1005.00,1029.00>,0.44,0.07,5.27,5.05,-0.70,-0.00000494,1027.00,1007.00,1007.00,1027.00
52506,0,0,-1.15,5.76,-0.91,0.00,0,38.50,0.75,1.06,0.07,-1.22,5.13,-0.84,0.00000742,1000.00,1030.01029.00,1029.00,1001.00
53183,1,0,0.13,5.72,-0.90,0.00,0,39.75,1.44,1.25,0.07,0.06,5.09,-0.83,0.00000730,1003.02.00,1032.00,1032.00,1002.00
53751,1,0,3.19,5.68,-0.84,0.00,0,13.06,-0.06,0.44,0.07,3.12,5.05,-0.77,0.00000154,10,1174.00,1174.00,1162.00
55490,1,0,-0.14,5.64,-0.89,0.00,0,-2.31,1.75,-1.06,0.07,-0.21,5.01,-03,-0.00000004,1295.00,1295.00,1295.00,1295.00
56863,1,0,-0.11,4.95,-0.87,0.00,0,-2.31,0.56,0.00,0.07,-0.18,4.32,-0.80,-0.00000037,1295.00,1295.294.00,1294.00,1296.00
58705,1,0,10.13,4.76,-0.53,59.50,1,0.62,-0.31,-1.06,80.00,-69.87,4.76,-0.53,0.00001947,1361.00,1439.00439.00,1439.00,1361.00
60812,0,0,-0.02,5.16,-0.71,0.00,0,38.38.44,1.00,0.94,0.07,-0.85,4.55,-0.66,0.00000731,1003.00,1031.00,1031.00,1003.00
63536,0,0,1.19,5.48,0.05,0.00,0,29.87,1.50,4.56,0.07,1.12,4.85,0.12,0.00000519,1002..00,1023.00,1023.00,1001.00
63772,0,0,2.07,5.41,0.15,0.00,0,-7.50,0.13,0.56,0.07,2.00,4.78,0.22,-0.00002,1012.00,1012.00,1012.00,1012.00
65379,0,0,0.83,5.54,-1.77,0.00,0,1.31,0.69,-0.25,0.07,0.76,4.91,-1.70,0.00000003,1012.00,1012.00,10012.00,1012.00
65603,0,0,0.81,5.53,-1.77,0.00,0,-1.75,0.00,-0.06,0.07,0.74,4.90,-1.70,-0.00000053,1013.00,10,1012.00,1012.00
67935,0,0,0.46,5.57,-1.82,0.00,0,-1.00,0.06,0.00,0.07,0.39,4.4.94,-1.75,-0.00000032,1014.00,1014.00,1014.00,1014.00
68835,0,0,0.87,5.57,-1.83,0.00,0,-1.31,0.13,-0.13,0.07,0.80,4.94,-1.76,-0.0000.00000046,1014.00,1014.00,1014.00,1014.00
70931,0,0,1.74,5.57,-1.88,0.00,0,2.37,0.00,0.066,0.00,1.69,5.57,-1.89,-0.00000002,1000.00,1000.00,1000.00,1000.00
71823,0,0,0.34,5.58,-1.91,0.00,0,-6.75,-0.13,-0.37,0.00,0.34,5.58,-1..91,-0.00000106,1002.00,1000.00,1000.00,1002.00
72310,0,0,-0.22,5.58,-1.93,0,0,-1.12,0.06,0.19,0.00,-0.20,5.58,-1.93,-0.00000015,1000.00,1000.00,1000.00,1000.00
73229,0,0,0.84,5.59,-1.96,0.00,0,0.50,0-0.06,-0.13,0.00,0.81,5.59,-1.96,-0.00000001,1000.00,1000.00,1000.00,1000.00
