millis,armed,flip,roll,pitch,yaw,mfr,fp,gx,gy,gz,spr,err_roll,err_pitch,err_yaw,u2,m1,m2,m3,m4
1975,0,0,-0.22,5.66,-1.90,0.00,0,0.94,0.00,0.00,0.07,-0.29,5.03,-1.83,0.00000025,1014.00,1014.00,1014.00,1014.00
2615,0,0,-0.07,5.66,-1.-1.91,0.00,0,-1.12,0.00,-0.06,0.07,-0.13,5.03,-1.84,-0.00000017,1015.00,1015.00,1015.00,1015.00
3233,0,0,-0.04,5.65,-1.94,0,0,-0.94,0.13,-0.13,0.07,-0.10,5.02,-1.88,-0.00000015,1014.00,1014.00,1014.00,1014.00
3536,0,0,-0.14,5.65,-1.95,0.00,0,-0.19,0.00,-0.13,0.07,-0.21,5.02,-1,-0.00000006,1014.00,1014.00,1014.00,1014.00
4165,0,0,-0.06,5.65,-1.98,0.00,0,-1.50,0.19,-0.13,0.07,-0.13,5.02,-1.91,-0.00.00000020,1014.00,1014.00,1014.00,1014.00
4763,0,0,-0.06,5.65,-2.00,0.00,0,-1.31,0.00,-0.13,0.07,-0.13,5.02,-1.93,000020,1015.00,1015.00,1015.00,1015.00
5449,0,0,-0.07,5.65,-2.01,0.00,0,-1.06,0.13,0.00,0.07,-0.14,5.02,-1.94,-0.00000016,1015.,1015.00,1015.00,1015.00
5920,0,0,-0.18,5.64,-2.04,0.00,0,0.56,0.06,0.06,0.07,-0.25,5.01,-1.97,0.00000014,1014.00,1014.00,1014.00,1014.00
8444,0,0,0.04,5.64,-2.11,0.00,0,-0.81,0.06,-0.13,0.07,-0.03,5.01,-2.04,-0.00008,1015.00,1015.00,1015.00,1015.00
8700,0,0,-0.06,5.64,-2.12,0.00,0,0.31,0.06,-0.06,0.07,-.13,5.01,-2.05,0.00000014,1015.00,1015.00,1015.00,1015.00
9181,0,-1.12,0.06,-0.19,0.07,-0.18,5.01,-2.06,-0.00000016,1015.00,1015.00,1015.00,10151,-2.06,-0.00000015,1015.00,1015.00,1015.00,1015.00
11467,0,0,-0.05,564,-2.19,0.00,0,0.19,0.13,-0.06,0.07,-0.12,5.01,-2.12,0.00000007,1015.00,1015.00,1015.00,1015.00
13504,0,0,-0.02,5.63,-2.25,0.00,0,-0.62,0.00,0.00,0.07,-0.09,5.00,-2.18,-0.06,1015.00,1015.00,1015.00,1015.00
13994,0,0,-0.19,5.63,-2.26,0.00,0,-0.88,0.06,-0.13,0.07,-0.25,5.00,-2.19,-0.00000009,1015.00,1015.00,1015.00,1015.00
16730,0,0,-0.09,5.62,-2.32,0.00,0,0.00,0.00,-0.13,0.07,6,4.99,-2.25,-0.00000006,1015.00,1015.00,1015.00,1015.00
17647,0,0,-0.09,5.62,-2.35,0.00,0,-0.81,0.00,0.00,0.07,-0.16,4.99,-2.28,000007,1015.00,1015.00,1015.00,1015.00
20442,1,0,-0.33,5.64,-2.33,0.00,0,1.56,0.13,0.06,0.07,-0.44,5.02,-2.26,0.00000041,1015.00,1015.00,1015.00,1015.00
