millis,armed,flip,roll,pitch,yaw,mfr,fp,gx,gy,gz,spr,err_roll,err_pitch,err_yaw,u2,m1,m2,m3,m4
22475,1,0,-0.23,5.65,-2.33,0.00,0,0.69,0.06,0.13,0.07,-0.30,5.02,-2.26,0.00000021,11014.00,1014.00,1014.00,1014.00
23402,1,0,-0.53,5.65,-2.36,0.00,0,-1.25,-0.25,0.56,0.07,-0.60,5.02,-2.29,-0.7,1015.00,1015.00,1015.00,1015.00
23638,1,0,-0.40,5.65,-2.34,0.00,0,0.19,-0.06,-1.19,0.07,-0.47,03,-2.27,0.00000022,1015.00,1015.00,1015.00,1015.00
25021,1,0,-0.74,5.65,-2.38,0.00,0,1.44,0.00,-0.69,0.07,-0.81,5.02,-2.,0.00000039,1015.00,1015.00,1015.00,1015.00
29870,1,0,-0.21,5.66,-2.2.36,0.00,0,0.56,0.19,-0.25,0.07,-0.31,5.03,-2.29,0.00000019,1154.00,1154.00,1154.00,1154.00
32857,1,0,-0.48,5.64,-2.41,0.00,0,-0.06,-0.06,-0.13,0.07,-0.55,5.01,-2.34,0.00000023,1154.00,1154.00,1154.00,1154.00
34215,1,0,-0.56,5.69,-2.42,0.00,0,-0.62,0.31,-0.06,0.07,-0.63,5.06,-2.35,0.00000006,1154.00,1154.00,115454.00,1154.00
34680,1,0,-0.75,5.72,-2.43,0.00,0,1.37,-1.44,1.00,0.07,-0.82,5.09,-2.36,0.00000048,11541154.00,1154.00,1154.00,1154.00
37429,1,0,-0.96,5.68,-2.45,0.00,0,0.19,0.56,-0.06,0.07,-1.03,5.05,-2.38,0.000.00000031,1154.00,1154.00,1154.00,1154.00
40436,1,0,-1.15,5.51,-2.44,0.00,0,-0.13,-1.87,-0.31,0.07,-1.22,4.88,-2.37,0.00000031,11295.00,1295.00,1295.00,1295.00
42751,1,0,9.72,5.28,-2.18,74.00,1,1.25,0..06,0.56,80.00,-70.28,5.28,-2.19,0.00001936,1511.00,1589.00,1589.00,1511.00
43667,0,0,-5.44,5.65,-2.51,0.00,0,51.69,2.44,56,0.07,-6.70,5.01,-2.49,0.00000807,1000.00,1030.00,1030.00,1000.00
44105,0,0,4.21,5.44,-2.58,0.00,0,0.81,2.00,-0.31,0.07,4.14,4.81,-2.51,-0.053,1011.00,1017.00,1017.00,1011.00
49172,1,0,-1.52,5.66,-2.32,0.00,0,1.69,0.06,0.25,0.07,-1.59,5..03,-2.24,0.00000049,1146.00,1146.00,1146.00,1146.00
53081,0,0,3.33,5.66,-2.70,0.00,0,-37.50,0.25,2.50,0.07,3.26,5.03,-2.6.68,-0.00000544,1183.00,1161.00,1161.00,1183.00
53543,0,0,-6.63,5.90,-2.80,0.00,0,-10.69,0.94,-0.31,0.07,-6.70,527,-2.72,-0.00000193,1017.00,1011.00,1011.00,1017.00
54265,0,0,-6.31,5.88,-2.84,0.00,0,-7.37,0.56,0.37,0.07,-6.24,5.25,-2.77,0.00000037,1014.00,1014.00,1014.00,1014.00
54911,0,0,-3.80,5.83,-2.84,0.00,0,0.62,1.37,0.06,0.07,-3.87,5.20,-2.77,0.0000011.00000022,1014.00,1014.00,1014.00,1014.00
56060,0,0,-2.06,5.77,-2.83,0.00,0,-4.06,-0.31,-0.13,0.07,-2.13,5.14,-2.76,-0.000.00000046,1014.00,1014.00,1014.00,1014.00
56758,0,0,-1.97,5.77,-2.83,0.00,0,-0.50,-0.13,-0.13,0.07,-2.04,5.14,-2.76,0.00000047,1014.0000,1014.00,1014.00,1014.00
59519,0,0,-1.36,5.77,-2.83,0.00,0,5.12,-0.06,-0.06,0.07,-1.43,5.14,-2.76,0.000001131,1012.00,1016.00,1016.00,1012.00
60464,0,0,-1.99,5.77,-2.83,0.00,0,0.88,-0.06,0.06,0.07,-2.05,5.14,-2.76,0.00000041,1012.00,1012.00,1012.00,1012.00
61532,07,-1.14,5.14,-2.76,0.00000012,1012.00,1012.00,1012.00,1012.0013,0.00,0.07,-1.14,5.14,-2.76,0.00000029,1014.00,1014.00,1014.00,1014.00
61823,0,0,-1.92,5.77,-2.83,0.00,0,3.06,0.13,0.13,0.07,-1.99,5.14,-2.76,0.00000112,1010.00,1016.00,1016.00,1012.00
63427,0,0,-2.03,5.77,-2.83,0.00,0,-1.19,-0.06,0.00,0.07,-2.10,5.14,-2.76,0.00000036,1014.00,1014.00,101,1014.00
66192,0,0,-1.85,5.76,-2.83,0.00,0,3.00,0.25,0.00,0.07,-1.92,5.13,-2.762.76,0.00000112,1012.00,1016.00,1016.00,1012.00
70594,0,0,-1.94,5.77,-2.83,0.00,0,2.62,0.06,0.13,0.07,-2.06,5.14,-2.76,0.00000105,1012.00,1016.00,1016.00,1012.00
74262,0,0,-2.03,5.77,-2.83,0.00,0,2.31,0.06,0..06,0.07,-2.17,5.14,-2.76,0.00000104,1012.00,1016.00,1016.00,1012.00
76337,0,0,-2.00,5.77,-2.83,0..00,0,1.12,0.13,0.13,0.07,-2.09,5.14,-2.76,0.00000079,1013.00,1015.00,1015.00,1013.00
78844,0,0,-2.45,5.76,-2.83,0.00,0,-0.50,-0.06,0,0.07,-2.50,5.13,-2.76,0.00000057,1013.00,1015.00,1015.00,1013.00
81845,0,0,-2.15,5.75,-2.79,0.00,0,-1.06,0.13,0.06,0.07,-2.22,5.12,-.72,0.00000043,1014.00,1014.00,1014.00,1014.00
83675,0,0,-2.00,5.75,-2.79,0.00,0,1.06,0.00,0.00,0.07,-2.07,.12,-2.72,0.00000074,1013.00,1015.00,1015.00,1013.00
83936,0,0,-2.23,5.76,-2.79,0,0,0.25,0.06,0.00,0.07,-2.30,5.13,-2.72,0.00000068,1013.00,1015.00,1015.00,1013.00
84822,0,0,-2.19,5.75,-2.79,0.00,0,-1.12,0.00,0.19,0.07,-2.26,5.12,-2.72,0.00000042,1014..00,1014.00,1014.00,1014.00
85279,0,0,-2.24,5.76,-2.79,0.00,0,0.94,0.13,0.06,0.07,-2.31,5.13,-2.72,0.00000081,1013.00,11015.00,1015.00,1013.00
85533,0,0,-2.26,5.76,-2.79,0.00,0,-0.75,-0.06,06,0.07,-2.31,5.13,-2.72,0.00000047,1014.00,1014.00,1014.00,1014.00
86225,0,0,-2.35,5.75,-2.79,0.00,0,-0.50,0.13,0..06,0.07,-2.41,5.12,-2.72,0.00000059,1013.00,1015.00,1015.00,1013.00
86660,0,0,-2.28,5.76,-2.79,0.00,0,1.06,0.06,0.06,0.07,-2.35,5.13,-2.72,0.00005,1013.00,1015.00,1015.00,1013.00
86922,0,0,-2.39,5.75,-2.79,0.00,0,-0.06,-,0.06,0.07,-2.45,5.12,-2.72,0.00000055,1013.00,1015.00,1015.00,1013.00
87356,0,0,-2.26,5.76,-2.79,0.00,0,0.75,0.06,0.00,0.07,-2.33,5.13,-2.72,0.007,1013.00,1015.00,1015.00,1013.00
87814,0,0,-2.22,5.75,-2.78,0.00,0,-1.00,-0.06,0.06,0.07,-2.29,5.12,-2.71,0.00000045,1014.00,1014.00,1014.00,1014.00
88736,0,0,-1.91,5.74,-2.75,0.00,0,0.19,-0.13,0.06,0.07,-1.98,5.11,-8,0.00000065,1013.00,1015.00,1015.00,1013.00
89878,0,0,-2.09,5.74,-2.75,0.00,0,-0.37,0.13,0.06,0.07,-2.16,5.11,-2.68,0.00000052,1013.00,1015.00,1015.00,1013.00
91030,0,0,-2.06,5.74,-2.75,0.00,0,0.62,0.13,0.00,0.07,-2.13,5.11,-2.68,0.00000071,100,1015.00,1015.00,1013.00
91987,0,0,-2.17,5.74,-,0.00,0,0.19,0.00,0.06,0.07,-2.24,5.11,-2.68,0.00000065,1013.00,1015.00,1015.00,1013.00
92188,0,0,-2.15,5.74,-2.76,0.00,0,-0.56,0.19,0.13,0.07,-2.22,5.11,-2.69,0.00000051,1013.00,1015.00,1015.00,1013.00
93597,0,0,-2.23,5.74,-2.75,0.00,0,-0.69,0.06,0.00,0.07,-2.28,5.11,-2.68,0.00000051,1013.00,1015.00,1015.00,1013.00
94026,0,0,-2.23,5.74,-2.75,0.00,0,0.37,0.06,0.00,0.07,-2.30,5.11,-2.68,00072,1013.00,1015.00,1015.00,1013.00
94284,0,0,-2.23,5.74,-2..75,0.00,0,-0.75,0.13,0.06,0.07,-2.29,5.11,-2.68,0.00000050,1013.00,1015.00,1015.00,1013.00
94718,0,0,-2.20,5.74,-2.75,0.00,0,0.75,0.06,0.00,0.07,-2.27,5.11,-2.68,0.00000073,1013.00,1015.00,1015.00,1013.00
95401,0,0,-2.23,5.74,-2.75,0.00,0,0.75,0.00,0.06,0.07,-2.30,5.11,-2.68,0.00000077,10,1015.00,1015.00,1013.00
95664,0,0,-2.34,5.74,-2.75,0.00,0,0.37,0.3,0.06,0.07,-2.41,5.11,-2.68,0.00000068,1013.00,1015.00,1015.00,1013.00
97024,0,0,-2.23,5.73,-2.70,0.00,0,0.56,0.00,0.00,0.0707,-2.30,5.09,-2.63,0.00000078,1013.00,1015.00,1015.00,1013.00
97473,0,0,-2.22,5.72,-2.70,0.00,0,0.31,0.00,0.00,0.07,-2.29,5.09,-2.63,0.00000069,1013.00,1015.5.00,1015.00,1013.00
97733,0,0,-2.35,5.73,-2.70,0.00,0,0.81,0.06,0,0.07,-2.43,5.10,-2.63,0.00000078,1013.00,1015.00,1015.00,1013.00
98846,0,0,-2.17,5.71,-2.67,0.00,0,-0.13,0.00,0.06,0.07,-2.24,5.08,-2.60,0.00000060,1013.00,1015.00,100,1013.00
100034,0,0,-2.27,5.71,-2.66,0.000,0,-0.31,0.13,0.06,0.07,-2.34,5.08,-2.59,0.00000059,1013.00,1015.00,1015.00,1013.00
100921,0,0,-2.33,5.71,-2.66,0.00,0,-0.13,0.13,0.00,0.07,-2.40,5.08,-2.59,0.00000064,1013.00,1015.000,1015.00,1013.00
101184,0,0,-2.33,5.71,-2.66,0.00,0,0.56,0.06,0.00,0.0.07,-2.40,5.08,-2.59,0.00000076,1013.00,1015.00,1015.00,1013.00
102340,0,0,-2.10,5.70,-2.62.62,0.00,0,-0.37,0.00,-0.06,0.07,-2.17,5.07,-2.55,0.00000053,1013.00,1015.00,1015.00,1013.00
102529,0,0,-2.11,5.70,-2.62,0.00,0,0.19,0.00,0.00,0.07,-2.18,5.07,-2.55,0.00000064,1013.00,1010,1015.00,1013.00
102770,0,0,-2.20,5.70,-2.62,0.00,0,0.69,0.06,0.06,0.07,-2.27,5.07,-2.552.55,0.00000078,1013.00,1015.00,1015.00,1013.00
103920,0,0,-2.15,5.70,-2.61,0.00,0,-0.62,0.06,-0.06,0.07,-2.22,5.07,-2.54-2.54,0.00000060,1013.00,1015.00,1015.00,1013.00
105058,0,0,-2.14,5.70,-2.61,0.00,0,0.19,-0.06,0.00,0.07,-2.21,5.07,-2.54,0.00000065,1013.00,101500,1015.00,1013.00
105530,0,0,-2.13,5.70,-2.62,0.00,0,0.31,0.06,-0.06,0.07,-2.20,5.07,-2.55,.00000067,1013.00,1015.00,1015.00,1013.00
106677,0,0,-2.16,5.70,-2.62,0.00,0,-0.31,0.00,-0.06,0.07,-2.23,07,-2.55,0.00000062,1013.00,1015.00,1015.00,1013.00
107129,0,0,-2.16,5.70,-2.62,0.00,0,0.25,0.06,0.06,0.07,-2.23,5.07,-2.55,0.00000066,1013.00,1015.00,1015.00,1013.00
107396,0,0,-2.16,5.70,-2.62,0.00,0,-0.56,-0.13,.06,0.07,-2.23,5.07,-2.55,0.00000056,1013.00,1015.00,1015.00,1013.00
107856,0,0,-2.17,5.70,-2.62,0.00,0,0.50,0.00,-000,0.07,-2.24,5.07,-2.55,0.00000065,1013.00,1015.00,1015.00,1013.00
109007,0,0,-2.20,5.70,-2-2.62,0.00,0,-0.37,0.00,-0.13,0.07,-2.27,5.07,-2.55,0.00000056,1013.00,1015.00,1015.00,1013.00
109201,0,0,-2.20,5.70,-2.62,0.00,0,0.31,0.00,0.06,0.07,-2.27,5.07,-2.55,0.00000069,1013.00,101500,1015.00,1013.00
109920,0,0,-2.22,5.70,-2.62,0.00,0,0.62,-0.13,0.06,0.07,-2.29,57,-2.55,0.00000071,1013.00,1015.00,1015.00,1013.00
111511,0,0,-2.23,5.70,-2.62,0.00,0,0.25,0.06,0.00,0.07,-2.30,5.07,-2.55,0.00000068,1.00,1015.00,1015.00,1013.00
111739,0,0,-2.23,5.70,-2.62,0.00,0,-0.31,0.00,0.1,0.07,-2.30,5.07,-2.55,0.00000059,1013.00,1015.00,1015.00,1013.00
112459,0,0,-2.23,5.70,-2.62,0.00,0,-0.5,0.13,0.00,0.07,-2.30,5.07,-2.55,0.00000059,1013.00,1015.00,1015.00,1013.00
114037,0,0,-2.21,5.70,-2.62,0.00,0,-0.25,-0.06,-0.06,0.07,-2.28,5.07,-2.55,0.00000059,100,1015.00,1015.00,1013.00
114966,0,0,-2.21,5.70,-2.62,0.00,0,0.25,-0.13,0.00,0.07,-2.28,5.07,-2.55,0.000069,1013.00,1015.00,1015.00,1013.00
115902,0,0,-2.21,5.70,-2.62,0.00,0,0.13,0.00,-0.10.00,0.07,-2.28,5.07,-2.55,0.00000065,1013.00,1015.00,1015.00,1013.00
117264,0,0,-2.21,5.70,-2.62,0.00,0,0.00,0.00,-0.19,0.07,-2.28,5.07,-2.55,0.00000063,1013.00,1015.00,1015.00,1013.00
117954,0,0,-2.20,5.70,-2.62,0.00,0,0.25,0.13,0.06,0.07,-2.27,5.,-2.55,0.00000069,1013.00,1015.00,1015.00,1013.00
118408,0,0,-2.20,5.70,-2.62,0.00,0,-0.13,-0.13,-0.13,0.07,-2.27,5.07,-2.55,0.00000061,1013.00,1015.00,101015.00,1013.00
119110,0,0,-2.20,5.70,-2.62,0.00,0,-0.13,-0.06,0.00,0.07,-2.27,5.07,-2.55,000000062,1013.00,1015.00,1015.00,1013.00
120504,0,0,-2.20,5.70,-2.62,0.00,0,0.25,-0.13,19,0.07,-2.27,5.07,-2.55,0.00000057,1052.00,1054.00,1054.00,1052.00
121635,0,0,-2.20,5.70,-2.62,0.00,0,0.19,0.00,0.00,0.07,-2.27,5.07,-2.55.55,0.00000068,1013.00,1015.00,1015.00,1013.00
122097,0,0,-2.20,5.70,-2.62,0.00,0,-0.06,0.00,0.06,0.07,-2.27,5.07,-2.55,0.00000062,1013.00,1015.,1015.00,1013.00
123706,0,0,-2.20,5.70,-2.62,0.00,0,0.13,-0.13,0.06,0.07,-2.27,5.07,-2.55,00000065,1013.00,1015.00,1015.00,1013.00
124163,0,0,-2.20,5.70,-2.62,0.00,0,0.25,-0.06,0.06,0.07,-2.27,5.07,-2.55,0.0000000062,1013.00,1015.00,1015.00,1013.00
124619,0,0,-2.20,5.70,-2.62,0.00,0,0.19,0.06,0.06,0.07,-2.27,5.07,-2.5,0.00000063,1014.00,1016.00,1016.00,1014.00
125076,0,0,-2.19,5.70,-2.62,0.00,0,-0.13,0.19,0.13,0.07,-2.26,5.07,-2.55,0.00000060,1013.00,101.00,1015.00,1013.00
126233,0,0,-2.21,5.70,-2.62,0.00,0,-0.13,-0.06,0.06,0.07,-2.28,5.07,-2.55,0.00000061,1014.00,1016.00,.00,1014.00
126938,0,0,-2.18,5.70,-2.62,0.00,0,-0.19,0.00,-0.13,0.007,-2.25,5.07,-2.55,0.00000064,1013.00,1015.00,1015.00,1013.00
128096,0,0,-2.21,5.70,-2.62,0.00,0,-0.37,0.006,0.06,0.07,-2.28,5.07,-2.55,0.00000059,1014.00,1016.00,1016.00,1014.00
128800,0,0,-2.20,5.70,-2.62,0.00,0,0.13,-0.06,0.06,0.07,-2.27,5.07,-2.55,0.00000065,1013.00,1015.00,1015.00,1013.00
129689,0,0,-2.22,5.70,-2.62,0.00,0,0.37,0.00,0.00,0.07,-2.29,5.07,-255,0.00000066,1013.00,1015.00,1015.00,1013.00
131747,0,0,-2.71,5.65,-2.53,0.00,0,18.87,0.37,0.13,0.07,-2.78,5.02,-2.46,0.00000424,1006.00,1022.00,10,1005.00
133138,0,0,-0.54,5.59,-2.51,0.00,0,15.75,0.25,0.25,0.07,-0.61,4.94.96,-2.45,0.00000342,1008.00,1020.00,1020.00,1008.00
135670,0,0,-2.93,5.59,-2.50,0.00,0,-7.00,0.00,-0.,0.07,-2.80,4.95,-2.43,-0.00000125,1016.00,1012.00,1012.00,1016.00
136828,0,0,0.25,5.58,-2.50,0.00,0,12.63,0.31,0.25,0.07,0.0.26,4.96,-2.43,0.00000285,1009.00,1019.00,1019.00,1009.00
137074,0,0,-2.98,5.58,-2.50,0.00,0,6.37,0.00,0.10.00,0.07,-3.17,4.95,-2.43,0.00000136,1012.00,1016.00,1016.00,1012.00
140265,0,0,158.33,3.02,-5.71,0.00,0,-131.00,-6.62,-2.06,0.07,158.26,2.39,-5.64,-0.00006794,1152.00,1000..00,1000.00,1159.00
141211,0,0,87.92,2.73,-2.68,0.00,0,-520.06,-12.818,-22.44,0.07,96.57,1.56,-2.83,-0.00010540,1228.00,1000.00,1000.00,1228.00
141419,0,0,110.11,2.49,-3.98,0.00,0,229.19,10.25,1.06,0.07,110.04,1.86,-3.91,0.00006,1000.00,1085.00,1085.00,1000.00
142134,0,0,-20.26,5.84,-3.02,0.00,0,-689.31,-17.25,-14.31,0.07,-0.71,4.93,-2.57,-0.00012283,1264.00,1000.00,1000.00,1264.00
143481,0,0,0.49,5.47,-1.70,0.00,0,104.44,-4.75,8.06,0.07,0.42,4.84,-1.63,0829,1000.00,1030.00,1030.00,1000.00
143745,0,0,-4.89,5.69,-2.03,0.00,0,16.06,0.00,44,0.07,-4.86,5.09,-1.89,-0.00000039,1014.00,1014.00,1014.00,1014.00
145101,0,0,-1.84,5.63,-1.88,0.00,0,6.12,0.06,0.25,0.07,-1.91,5.00,-10,0.00000241,1010.00,1018.00,1018.00,1010.00
147626,0,0,-1.53,5.62,-1.78,0.00,0,-8.44,-0.19,-0.06,0.07,-1.60,4.99,-1.71,-0.06,1017.00,1013.00,1013.00,1017.00
152922,1,0,-0.59,5.61,-1.68,0.00,0,-12.56,-4.00,-0.81,0.07,-0.66,4.98,-1.61,-0.00000221,1642.00,1634.00,1634.00,1642.00
156143,0,0,0.01,5.50,-2.00,0.00,0,1.25,0.44,-0.13,0.07,-0.06,4.887,-1.93,0.00000033,1015.00,1015.00,1015.00,1015.00
156591,0,0,-0.17,5.53,-2.00,0.00,0,-2.37,0.19,-0.50,0.07,-0.24,4.90,-1.93,-0.00000037,1015.0016.00,1014.00,1014.00,1016.00
157305,1,0,-0.09,5.55,-2.01,0.00,0,-2.87,-0.19,0.25,0.07,-0.10.10,4.92,-1.94,-0.00000047,1015.00,1015.00,1015.00,1015.00
157889,1,0,-0.53,5.57,-2.07,0.00,0,-2.50,0.13,0.94,0.07,-0.60,4.94,-2.00,-0041,1188.00,1188.00,1188.00,1188.00
158239,1,0,0.22,5.50,-2..06,0.00,0,3.87,-0.56,0.13,0.07,0.07,4.87,-1.99,0.00000069,1197.00,1199.00,1199.00,1197.00
158451,1,0,0.83,5.54,-2.05,34.00,1,-34.00,0.25,-2.56,80.00,-79.17,5.54,-2.05,0.00001568,123.00,1577.00,1577.00,1523.00
159617,1,0,11.04,5.22,-2.09,86.44,1,-2.75,1.0094,-1.44,80.00,-68.95,5.22,-2.10,0.00001931,1511.00,1589.00,1589.00,1511.00
160305,1,0,10.79,5.22,-2.08,86.44,1,-1.87,0.62,0.81,80.00,-69.17,5.20,-2.09,0.00001883,1512.00,1588.00,1588.00,1512.00
161457,0,0,-7.52,5.70,-2.49,0.00,0,35.25,14,-2.19,0.07,-8.11,5.06,-2.39,0.00000651,1170.00,1196.00,1196.00,1170.00
162606,0,0,5.05,5.31,-2.50,0.00,0,5.75,0.06,0.06,0.07,4.98,72,-2.44,0.00000245,1049.00,1057.00,1057.00,1049.00
163735,1,0,-4.25,5.55,-2.61,0.00,0,-28.37,-1.12,-0.69,0.07,-4.32,4.92,-2.54,-00000551,1066.00,1044.00,1044.00,1066.00
164441,1,0,-3.95,5.52,-2.62,0.00,0,-16.75,0.13,-0.31,0.07,-4.02,4.89,-2.55,-0.0000000374,1184.00,1170.00,1170.00,1184.00
166961,1,0,1.45,5.56,-2.37,0.00,0,9.38,0.94,-0.31,0.07,121,4.72,-2.29,0.00000131,1387.00,1391.00,1391.00,1387.00
168108,1,0,1.29,5.51,-2.54,0.00,0,7.44,0.25,0.62,35.00,-33.71,1.94,-2.47,0.00001071,1368.00,1408.00,1408.00,1370.00
168556,1,0,5.31,5.33,-2.18,0.00,0,15.25,0.88,2.75,35.00,-29.69,4.14,-2.11,0.00001103,1367.00,1411.00,100,1368.00
169711,1,0,-1.45,5.49,-2.98,0.00,0,-4.31,-0.31,0.75,0.07,-1.52,4.86,-2.91,-0.00000037,1389.00,1389,1387.00,1391.00
173866,0,0,-3.70,5.21,-3.19,0.00,0,29.19,-5.31,-2.50,0.07,-3.77,4.58,-2.77,0.00000641,1000.0002.00,1016.00,1016.00,1002.00
175466,0,0,-2.22,5.34,-3.28,0.00,0,-31.44,-0.88,-0.81,0.07,-2.29,4.71,-3.21,-0.00000515,10225.00,1000.00,1000.00,1025.00
178228,0,0,-3.99,5.61,-3.52,0.00,0,26.81,0.94,0.62,0.07,-4.06,4.5.00,-3.44,0.00000482,1003.00,1021.00,1021.00,1003.00
178687,0,0,3.55,5.48,-3.39,0.00,0,-1.25,0.13,-0.19,0..14,3.53,4.85,-3.32,0.00000048,1015.00,1015.00,1015.00,1015.00
183289,0,0,0.84,5.62,-3.40,0.00,0,-0.56,0.06,0.06,0.07,0.77,4.99,-3.33,-0.0000020,1015.00,1015.00,1015.00,1015.00
184435,0,0,0.89,5.62,-3.40,0.00,0,-0.37,-0.13,0.06,0.07,0.82,4.99,-3.33,-0.00000,1014.00,1014.00,1014.00,1014.00
185131,0,0,0.91,5.62,-3.40,0.00,0,-0.19,0.00,0.06,0.07,0.84,4.99,-3.33,-0.00022,1014.00,1014.00,1014.00,1014.00
186074,0,0,0.91,5.62,-3.40,0.00,0,-0.44,0.00,-0.06,0.07,0.4,4.99,-3.33,-0.00000023,1014.00,1014.00,1014.00,1014.00
186443,-0.13,-0.06,-0.14,1.05,4.99,-3.33,-0.00000027,1014.00,1014.00,1014.00,1014.00>,4,4.99,-3.33,-0.00000018,1014.00,1014.00,1014.00,1014.00
186738,0,0,0.91,5.62,-3.40,0.00,0,-0.06,0.06,0.00,0.07,0.84,4.99,-3.33,-0.000028,1014.00,1014.00,1014.00,1014.00
187456,0,0,0.91,5.62,-3.40,0.00,0,-6,-0.13,0.06,0.07,0.84,4.99,-3.33,-0.00000022,1015.00,1015.00,1015.00,1015.00
188576,0,0,0.91,5.62,-3.40,0.00,0,-0.13,-0.06,0.06,0.07,0.84,4.99,-3.33,-0.00000026,1014.00,1014.00,1015.00,1015.00
188817,0,0,0.91,5.62,-3.40,0.00,0,-0.06,0.00,-0.06,-0.14,1.05,4.99,-3.33,-0.00000024,1015.00,1015.00,1015.00,1015.00
189070,0,0,0.91,5.62,-3.440,0.00,0,-0.19,0.13,0.00,0.07,0.84,4.99,-3.33,-0.00000027,1014.00,1014.00,1014.00,1014.00
190195,0,0,0.91,5.62,-3.40,0.00,0,0.00,-0.13,-0.06,0.07,0.84,4.99,-3.33,-0.0000021,1014.00,1014.00,1014.00,1014.00
191138,0,0,0.91,5.62,-3.40,0.00,0,0.00,-0.06,0.00,0.00.07,0.84,4.99,-3.33,-0.00000026,1014.00,1014.00,1014.00,1014.00
191567,0,0,0.91,5.62,-3.40,0.00,0,0.13,0.06,0.06,0.07,0.84,4.99,-3.33,-0.00000021,1014.00,11014.00,1014.00,1014.00
191808,0,0,0.91,5.62,-3.40,0.00,0,0.00,-0.06,0,0.07,0.84,4.99,-3.33,-0.00000024,1015.00,1015.00,1015.00,1015.00
192081,-3.40,0.00,0,-0.13,-0.13,0.06,0.07,0.84,4.99,-3.33,-0.00000026,1015.00,1015.00,1015.00,1015.00>-0.00000023,1015.00,1015.00,1015.00,1015.00
192758,0,0,0.91,5,-3.40,0.00,0,0.00,0.00,0.19,0.07,0.84,4.99,-3.33,-0.00000023,1014.00,1014.00,1014.00,1014.00
193184,0,0,0.91,5.62,-3.40,0.00,0,0.13,-0.19,-0.06,0.07,0.84,4.99,-33,-0.00000024,1014.00,1014.00,1014.00,1014.00
194568,0,0,0.91,5.62,-3.40,0.00,0,-0.31,0.13,0.13,0.07,0.84,4.99,-3.33,-0.000026,1015.00,1015.00,1015.00,1015.00
195258,0,0,0.91,5.62,-3.40,0.00,0,0.00,0.13,-0.06,0.07,0.84,4.99,-3.33,-0.00000023,1015.00,1015.,1015.00,1015.00
195946,0,0,0.91,5.62,-3.40,0.00,0,0.13,-0.13,0.13,0.07,0.84,4.99,-3.33,-0.000027,1015.00,1015.00,1015.00,1015.00
