millis,armed,roll,pitch,yaw,gx,gy,gz,err_roll,err_pitch,err_yaw,u2
35072,1,-2.87,3.09,1.51,-10.06,-1.06,0.00,-3.04,2.47,1.58,-0.00
35106,1,-2.37,3.09,1.51,-14.81,0.44,-0.44,-2.58,2.46,1.58,-0.00
35156,1,-1.59,3.06,1.52,-17.00,-1.19,0.00,-1.83,2.44,1.58,-0.00
35201,1,-0.97,3.06,1.53,-15.56,0.31,-0.75,-1.33,2.42,1.59,-0.00
35226,1,-0.61,3.04,1.52,-11.06,-0.62,-0.56,-0.79,2.42,1.59,-0.00
35452,1,-1.10,3.04,1.53,11.06,0.44,0.31,-1.07,2.41,1.60,0.00
35836,0,-2.05,3.09,1.53,-9.88,-0.25,-0.31,-2.32,2.46,1.60,-0.00
35868,0,-1.72,3.08,1.54,-12.06,-0.44,-0.25,-1.90,2.45,1.60,-0.00
35907,0,-1.26,3.09,1.53,-11.19,0.13,-0.19,-1.44,2.46,1.60,-0.00
35956,0,-0.82,3.07,1.53,-10.00,-0.62,0.13,-0.99,2.45,1.61,-0.00
36376,0,-2.99,3.08,1.55,6.31,0.62,-0.19,-3.00,2.45,1.61,0.00
36430,0,-3,3.09,1.55,-2.87,0.06,-0.19,-3.14,2.46,1.62,0.00
36691,0,-0.78,3.08,1.55,-8.44,-0.44,-0.06,-0.94,2.45,1.62,-0.00
36722,0,-0.49,3.08,1.55,-7.19,0.13,-0.25,-0.63,2.45,1.62,-0.00
36770,0,-0.25,3.08,1.55,-3.50,-0.31,-0.19,-0.36,2.45,1.62,-0.00
36799,0,-0.20,3.08,1.56,-0.62,0.00,0.06,-0.28,2.45,1.62,-0.00
36835,0,-0.29,3.08,1.55,2.87,0.06,0.13,-0.29,2.45,1.62,0.00
36909,0,-0.92,3.08,1.56,10.88,0.50,-0.06,-0.78,2.44,1.63,0.00
36950,0,-1.29,3.07,1.56,13.19,-0.06,0.06,-1.23,2.44,1.63,0.00
37022,0,-2.22,3.08,1.56,10.50,0.19,0.00,-2.19,2.45,1.63,0.00
37054,0,-2.47,3.08,1.56,8.56,-0.06,0.25,-2.46,2.45,1.63,0.00
37140,0,-2.86,3.08,1.56,3.56,-0.06,0.00,-2.90,2.45,1.63,0.00
37183,0,-2.87,3.08,1.56,-0.50,0.19,-0.19,-2.95,2.45,1.63,0.00
37225,0,-2.74,3.07,1.56,-4.44,-0.19,0.00,-2.86,2.45,1.63,0.00
37258,0,-2.44,3.08,1.57,-8.88,-0.19,-0.19,-2.60,2.45,1.63,-0.00
37295,0,-2.01,3.08,1.56,-11.13,-0.19,-0.19,-2.31,2.45,1.63,-0.00
37352,0,-1.16,3.07,1.56,-12.00,-0.19,-0.06,-1.35,2.44,1.64,-0.00
37451,0,-0.45,3.08,1.57,-6.81,-0.13,-0.13,-0.59,2.44,1.64,-0.00
37499,0,-0.26,3.07,1.57,-4.69,0.06,0.00,-0.41,2.45,1.64,-0.00
37528,0,-0.22,3.07,1.57,-0.75,-0.19,0.00,-0.29,2.44,1.64,-0.00
37614,0,-0.45,3.07,1.57,6.00,-0.06,-0.13,-0.46,2.44,1.64,0.00
37639,0,-0.76,3.07,1.57,8.50,0.50,0.06,-0.66,2.44,1.64,0.00
37679,0,-1.17,3.07,1.57,11.50,0.13,0.06,-1.13,2.44,1.64,0.00
37708,0,-1.52,3.07,1.57,12.75,0.31,0.00,-1.47,2.44,1.64,0.00
37738,0,-2.00,3.07,1.57,12.25,0.25,0.00,-1.95,2.44,1.64,0.00
37824,0,-2.67,3.07,1.57,5.94,0.37,0.06,-2.69,2.44,1.64,0.00
37853,0,-2.79,3.07,1.57,3.25,0.06,0.13,-2.83,2.44,1.64,0.00
37907,0,-2.80,3.08,1.58,-0.69,0.31,0.00,-2.88,2.45,1.65,0.00
37938,0,-2.72,3.07,1.57,-3.37,-0.13,-0.19,-2.82,2.44,1.64,0.00
37965,0,-2.48,3.07,1.58,-6.69,-0.13,-0.06,-2.62,2.44,1.65,-0.00
38058,0,-1.69,3.07,1.58,-11.94,-0.44,-0.06,-1.88,2.45,1.64,-0.00
38163,0,-0.52,3.07,1.57,-8.19,-0.13,-0.13,-0.67,2.44,1.65,-0.00
38288,0,-0.22,3.07,1.58,2.19,0.13,-0.13,-0.27,2.44,1.65,0.00
38331,0,-0.33,3.08,1.58,4.56,0.00,-0.06,-0.35,2.44,1.64,0.00
38372,0,-0.65,3.07,1.58,8.00,0.31,0.00,-0.64,2.44,1.65,0.00
38400,0,-0.92,3.08,1.58,9.63,0.19,0.19,-0.90,2.45,1.65,0.00
38437,0,-1.34,3.08,1.58,11.13,0.00,0.00,-1.20,2.44,1.65,0.00
38494,0,-1.92,3.08,1.58,11.81,0.25,-0.06,-1.88,25,1.65,0.00
38511,0,-2.25,3.07,1.58,11.31,0.13,0.06,-2.22,2.44,1.65,0.00
38624,0,-2.85,3.08,1.58,0.56,0.13,0.00,-2.92,2.45,1.65,0.00
