micros,flip,phase,spf_roll,roll_abs,roll,spf_r_rate,gxrs,error_roll,error_r_rate,m1,m2,m3,m4
64,0,0,0.00,0.00,1.46,0.00,-15.31,1.05,-13.81,1024.00,1032.00,1032.00,1024.00
126,0,0,0.00,0.00,-0.04,0.00,-12,-0.67,-16.94,1022.00,1036.00,1036.00,1022.00
175,0,0,0.00,0.00,-1.11,0.00,-9.88,-17,-9.88,1024.00,1032.00,1032.00,1024.00
215,0,0,0.00,0.00,-1.41,0.00,-1.62,-1.96,-4.81,1025.00,1031.00,1031.00,1025.00
337,0,0,0.00,0.00,0.73,0.00,17.75,-0.24,17.81,1034.00,1022.00,1022.00,1034.00
437,0,0,0.00,0.00,2.49,0.00,6.00,1.77,7.50,1031.00,1025.00,1025.00,1031.00
560,0,0,0.00,0.00,0.83,0.00,-16.62,0.52,-16.12,1022.00,1034.00,1034.00,1022.00
633,0,0,0.00,0.00,-083,0.00,-13.44,-1.13,-14.13,1022.00,1034.00,1034.00,1022.00
656,0,0,0.00,0.00,-0.94,0.00,-11.38,-1.46,-13.44,00,1033.00,1033.00,1023.00
716,0,0,0.00,0.00,-1.25,0.00,4.81,-1.89,2.00,1029.00,1029.00,1029.00,1029.00
826,0,0,0.00,0.00,0.62,0.00,17.25,-0.33,16.94,1034.00,1022.00,1022.00,1034.00
952,0,0,0.00,0.00,2.44,0.00,-0.50,1.89,2.56,1031.00,1027.00,1027.00,1031.00
1118,0,0,0.00,0.00,-0.44,0.00,-14.00,7,-14.00,1023.00,1035.00,1035.00,1023.00
1139,0,0,0.00,0.00,-0.80,0.00,-11.50,-1.25,-12.13,1024.00,0,1032.00,1024.00
1322,0,0,0.00,0.00,0.99,0.00,16.19,0.20,16.44,1034.00,1022.00,1022.00,1034.00
1500,0,0,0.00,0.00,1.56,0.00,-12.38,1.05,-10.94,1026.00,1032.00,1032.00,1026.00
1552,0,0,0.00,0.00,0.39,0.00,-15.38,0.13,-15.56,1022.00,1034.00,1034.00,1022.00
1635,0,0,0.00,0.00,-1.06,0.00,-7.44,-1.53,-9.56,1024.00,10,1031.00,1025.00
1699,0,0,0.00,0.00,-1.04,0.00,5.56,-1.72,4.31,1028.00,1028.00,1028.00,1028.00
1756,0,0,0.00,0.00,-0.02,0.00,14.31,-0.93,13.69,1032.01033.00,1023.00,1023.00,1033.00
1886,0,0,0.00,0.00,2.08,0.00,6.37,1.39,8.19,1032.00,1024.00,1024.00,1032.00
1991,0,0,0.00,0.00,1.22,0.00,-13.00,0.84,-11.63,1024.00,1.00,1032.00,1024.00
2015,0,0,0.00,0.00,0.81,0.00,-14.69,0.53,-13.63,1023.00,1033.00,1033.00,1023.00
2177,0,0,0.00,0.00,-1.24,0.00,2.12,-1.90,-0.56,1028.00,1030.00,1030.00,1028.00
2304,0,0,0.00,0.00,0.87,0.00,15.06,0.10,15.31,1035.00,1023.00,1023.00,103
2329,0,0,0.00,0.00,1.30,0.00,14.25,0.61,15.06,1034.00,1022.00,1022.00,1034.00
2404,0,0,0.00,0.00,2.22,0.00,2.19,1.58,4.56,1030.00,1026.00,1026.00,1030.00
2514,0,0,0.00,0.00,1.10,0.00,-13.31,0.81,-12.25,1093.00,1101.00,1101.00,1093.00
2581,0,0,0.00,0.00,-0.14,0.00,38,-0.77,-13.44,1095.00,1105.00,1105.00,1095.00
2631,0,0,0.00,0.00,-0.95,0.00,-7.19,-8,-7.19,1099.00,1105.00,1105.00,1099.00
2677,0,0,0.00,0.00,-1.14,0.00,0.00,-1.75,-2.69,1100.00,1104.00,1104.00,1100.00
2782,0,0,0.00,0.00,0.23,0.00,14.25,-0.54,14.13,1108.00,100,1098.00,1108.00
2804,0,0,0.00,0.00,0.80,0.00,15.06,-0.12,15.00,1108.00,1098.00,1098.00,1108.00
2861,0,0,0.00,0.00,1.78,0.00,10.88,1.121.15,10.88,1107.00,1099.00,1099.00,1107.00
2899,0,0,0.00,0.00,2.14,0.00,3.75,1.48,5.00,1105.00,1101.00,1101.00,1105.00
2994,0,0,0.00,0.00,1.57,0.00,-10.69,1.05,-9.00,1101.00,1105.00,1105.00,1101.00
3038,0,0,0.00,0.00,0.55,0.00,-13.75,0.19,-13.63,1098.00,1108.00,1108.00,1098.00
3111,0,0,0.00,0.00,-0.54,0.0,-9.56,-1.10,-10.25,1099.00,1107.00,1107.00,1099.00
3131,0,0,0.00,0.00,-0.79,0.00,-7.63,-1.27,-9.56,1099.00,1,1106.00,1100.00
3197,0,0,0.00,0.00,-0.93,0.00,4.06,-1.54,2.56,1103.00,1103.00,1103.00,1103.00
3366,0,0,0.00,0.00,2.01,0.00,8.13,1.31,8.88,1107.00,1099.00,1099.00,1107.00
3388,0,0,0.00,0.00,2.19,0.00,2.25,1.52,4.31,1105.00,1101.00,1101.00,1105.00
3512,0,0,0.00,0.00,1.18,0.00,-11.69,0.86,-11.00,1100.00,1106.00,1106.00,1100.00
3574,0,0,0.00,0.00,0.02,00,-12.38,-0.54,-12.69,1098.00,1108.00,1108.00,1098.00
3664,0,0,0.00,0.00,-0.96,0.00,-1.81,-1.50,-2.75,1102.00,1104.00,1104.00,1102.00
3770,0,0,0.00,0.00,0.03,0.00,12.69,-0.72,12.13,1107.00,1099.00,1099.00,1107.00
3883,0,0,0.00,0.00,2.07,0.00,3.81,1.36,6.12,1106.00,1100.00,1100.00,1106.00
3946,0,0,0.00,0.00,1.86,0.00,-5.19,1.42,-4.00,1103.00,1103.00104.00,1104.00,1102.00
3968,0,0,0.00,0.00,1.70,0.00,-8.00,1.22,-7.19,1101.00,1105.00,1105.00,1101.00
4176,0,0,0.00,0.00,-0.73,0.00,-5.37,-1.30,-6.25,1100.00,1106.00,1106.00,1100.00
4326,0,0,0.00,0.00,-0.26,0.00,10.06,-0.99,9.13,1106.00,1100.00,1100.00,1106.00
4524,0,0,0.00,0.00,1.95,0.00,7.81,1.18,9.56,1107.00,1099.00,1099.00,1107.00
4868,0,0,0.00,0.00,-0.38,0.00,-9.06,-0.68,-10.50,1065.00,1073.00,1073.00,1065.00
4968,0,0,0.00,0.00,-0,0.00,1.50,-1.28,-0.44,1068.00,1068.00,1068.00,1068.00
5029,0,0,0.00,0.00,-0.63,0.00,5.69,-1.17,4.62,1067.00,1065.00,1065.00,1067.00
5217,0,0,0.00,0.00,1.48,0.00,10.94,0.71,12.13,1069.00,1059.00,1059.00,1069.00
5566,0,0,0.00,0.00,0.08,0.00,-11.19,-0.26,-12.06,1060.00,1068.00,1068.00,1060.00
