millis,armed,flip,roll,pitch,yaw,mfr,fp,gx,gy,gz,spr,err_roll,err_pitch,err_yaw,u2,m1,m2,m3,m4
9624,0,0,4.84,5.45,0.08,0.00,0,6.50,0.56,0.25,-0.14,5.10,4.82,0.22,-0.00000084,1015.00,1013.00,1013.00,1015.00
16136,0,0,0.00,0.00,0.00,0.00,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00000000,0.00,0.00,0.00,0.00
16169,0,0,0.00,0.00,0.00,0.00,0,0.00,0.00,0.00,-105.00,105.00,-105.00,-105.00,-0.00002909,1000.00,1000.00,1000.00,1000.00
16216,0,0,0.00,0.00,0.00,0.00,0,0.00,0.00,0.00,-0.14,0.14,-0.63,0.14,-0.00000004,1014.00,1014.00,1014.00,1014.00
16270,0,0,0.00,0.00,0.00,0.00,0,0.00,0.00,0.00,-0.14,0.14,-0.63,0.14,-0.00000004,1014.00,1014.00,1014.00,1014.00
16299,0,0,0.00,0.00,0.00,0.00,0,0.00,0.00,0.00,-0.14,0.14,-0.63,0.14,-0.00000004,1014.00,1014.00,1014.00,1014.00
16341,0,0,0.00,0.00,0.00,0.00,0,0.00,0.00,0.00,-0.14,0.14,-0.63,0.14,-0.00000004,1014.00,1014.00,1014.00,1014.00
16396,0,0,0.00,0.00,0.00,0.00,0,0.00,0.00,0.00,-0.14,0.14,-0.63,0.14,-0.00000004,1014.00,1014.00,1014.00,1014.00
16425,0,0,0.00,0.00,0.00,0.00,0,0.00,0.00,0.00,-0.14,0.14,-0.63,0.14,-0.00000004,1014.00,1014.00,1014.00,1014.00
16484,0,0,0.00,0.00,0.00,0.00,0,0.00,0.00,0.00,-0.14,0.14,-0.63,0.14,-0.00000004,1014.00,1014.00,1014.00,1014.00
16514,0,0,0.00,0.00,0.00,0.00,0,0.00,0.00,0.00,-0.14,0.14,-0.63,0.14,-0.00000004,1014.00,1014.00,1014.00,1014.00
16558,0,0,0.00,0.00,0.00,0.00,0,0.00,0.00,0.00,-0.14,0.14,-0.63,0.14,-0.00000004,1014.00,1014.00,1014.00,1014.00
16605,0,0,0.00,0.00,0.00,0.00,0,0.00,0.00,0.00,-0.14,0.14,-0.63,0.14,-0.00000004,1014.00,1014.00,1014.00,1014.00
16634,0,0,0.00,0.00,0.00,0.00,0,0.00,0.00,0.00,-0.14,0.14,-0.63,0.14,-0.00000004,1014.00,1014.00,1014.00,1014.00
16669,0,0,0.00,0.00,0.00,0.00,0,0.00,0.00,0.00,-0.14,0.14,-0.63,0.14,-0.00000004,1014.00,1014.00,1014.00,1014.00
16729,0,0,0.00,0.00,0.00,0.00,0,0.00,0.00,0.00,-0.14,0.14,-0.63,0.14,-0.00000004,1014.00,1014.00,1014.00,1014.00
16759,0,0,0.00,0.00,0.00,0.00,0,0.00,0.00,0.00,-0.14,0.14,-0.63,0.14,-0.00000004,1014.00,1014.00,1014.00,1014.00
16825,0,0,0.00,0.00,0.00,0.00,0,7.75,0.25,0.00,-0.14,0.14,-0.63,0.14,-0.00000004,1014.00,1014.00,1014.00,1014.00
16850,0,0,0.00,0.00,0.00,0.00,0,14.69,0.44,0.31,-0.14,0.14,-0.63,0.14,0.00000139,1012.00,1016.00,1016.00,1012.00
16895,0,0,-0.17,-0.01,0.00,0.00,0,13.25,0.37,0.19,0.07,-0.07,-0.63,0.14,0.00000272,1009.00,1019.00,1019.00,1009.00
