millis,armed,flip,roll,pitch,yaw,mfr,fp,gx,gy,gz,spr,err_roll,err_pitch,err_yaw,u2,m1,m2,m3,m4
1429,0,0,-0.93,5.56,0.01,0.00,0,7.56,0.19,0.13,0.00,-0.93,5.56,0.01,0.00000165,1000,1003.00,1003.00,1000.00
1618,0,0,-1.29,5.56,0.01,0.00,0,-5.06,-0.13,0.00,0.00,-1.29,5.56,0.01,-0.,1001.00,1000.00,1000.00,1001.00
1790,0,0,0.29,5.56,0.01,0.00,0,-4.12,-0.06,-0.13,0.00,0.29,5.56,0.01,-0.00000058,1001.00,1000.00,1000.00,1001.00
2282,0,0,0.20,5.56,0.01,0.00,0,-6.81,-0.06,-0.06,0.00,0,5.56,0.01,-0.00000117,1002.00,1000.00,1000.00,1002.00
3058,0,0,-1.11,5.58,-0.03,0.00,0,4.25,0.13,-0.06,0.00,-1.11,5.58,-0.03,0.00000109,1000.00,1002.00,001.00,1000.00
3744,0,0,-0.76,5.58,-0.05,0.00,0,-6.12,-0.13,-0.13,0.00,-0.76,5.58,-0.05,-0.00000092,12.00,1000.00,1000.00,1002.00
4085,0,0,-0.55,5.59,-8,0.00,0,6.31,0.25,0.13,0.00,-0.68,5.59,-0.08,0.00000135,1000.00,1002.00,1002.00,1000.00
5317,0,0,-0.94,5.59,-0.12,0.00,0,-4.19,-0.06,0.13,0.00,-0.94,5.59,-0.12,-0.00000051,1001.00,1000.1000.00,1000.00,1001.00
7050,0,0,0.25,5.58,-0.17,0.00,0,-2.87,0.06,-0.06,0.00,0.25,5.58,-0.17,-0.0000006.00000041,1000.00,1000.00,1000.00,1000.00
8194,0,0,-0.90,5.58,-0.18,0.00,0,0.19,0.00,0.00,0.00,-0.90,5.58,-0.18,0.00000028,1000.00,1000.00,1000.00,1000.00
8690,0,0,0.20,5.58,-0.20,0.00,0,4.62,-0.06,0.00,0.00,0.06,5.58,-0.20,0.00000083,1000.00,1001.00,1001.00,1000.00
12335,0,0,0.05,5.57,-0.31,0.00,0,2.31,0.13,0.00,0.00,0.05,5.57,-0.31,0.000000053,1000.00,1001.00,1001.00,1000.00
12590,0,0,-0.82,5.57,-0.31,0.00,0,2.19,0.1.06,0.00,0.00,-0.87,5.57,-0.32,0.00000051,1000.00,1001.00,1001.00,1000.00
13026,0,0,0.22,5.57,-0.33,0.00,0,0.56,-0.06,0.06,0.0,0.17,5.57,-0.33,0.00000019,1000.00,1000.00,1000.00,1000.00
13088,0,0,0.06,5.57,-0.33,0.00,0,2.94,0.00,0.06,0.00,0.06,5.57,-0.33,0.00000052,1000.00,1001.00,1001.00,1000.00
13285,0,0,-0.64,5.57,-0.33,0.00,0,4.00,0.00,00.06,0.00,-0.74,5.57,-0.34,0.00000079,1000.00,1001.00,1001.00,1000.00
13717,0,0,0.12,5.56,-0.35,0.00,0,-2.12,0.06,0.00,0.00,0.12,5.56,-0.35,-0.00000043,1000.00,100000.00,1000.00,1000.00
13961,0,0,-0.48,5.56,-0.36,0.00,0,4.31,0.19,0.06,0.00,-0.4-0.56,5.56,-0.36,0.00000092,1000.00,1001.00,1001.00,1000.00
14411,0,0,0.08,5.56,-0.36,0.00,0,-3.12,-0.25,-0.19,0.00,0.08,5.56,-0.36,-0.00000060,10011000.00,1000.00,1000.00,1000.00
21305,0,0,-0.37,5.55,-0.55,0.00,0,3.12,0.13,-0.13,0.07,-0.44,4.92,-0.48,0.00000070,1011.1.00,1013.00,1013.00,1011.00
21541,0,0,-0.77,5.54,-0.56,0.00,0,-1.00,0.00,-0.06,0.07,-0.84,4.91,-0.4948,-0.00000006,1012.00,1012.00,1012.00,1012.00
22233,0,0,-0.60,5.55,-0.55,0.00,0,0.19,0.00,-0.06,0.07,-0.67,4.92,-48,0.00000008,1012.00,1012.00,1012.00,1012.00
26136,0,0,-0.16,5.54,-0.65,0.00,0,-3.06,-0.06,-0.06,0.07,-0.23,4.91,-0.58,-0.0000.00000049,1014.00,1014.00,1014.00,1014.00
26401,0,0,-0.04,5.54,-0.6.67,0.00,0,1.50,0.25,0.00,0.07,-0.15,4.91,-0.60,0.00000032,1014.00,1014.00,1014.00,1014.00
28661,0,0,-0.33,5.53,-0.74,0.00,0,2.00,0.06,0.00,0.07,-0.40,4.90,-0.67,0.00000048,1012.00,1012.00,1012.03.00,1011.00
