micros,flip,phase,spf_roll,roll_abs,roll,spf_r_rate,gxrs,error_roll,error_r_rate,m1,m2,m3,m4
31,0,0,0.00,0.00,-0.40,0.00,-7.00,-0.81,-8.37,1022.00,1028.00,1028.00,1022.00
263,0,0,0.00,0.00,1.55,0.00,8.63,0.91,9.19,1029.00,1021.00,1021.00,1029.00
326,0,0,0.00,0.00,1.90,0.00,0.62,1.34,1.62,1026.00,1024.00,0,1025.00
347,0,0,0.00,0.00,1.85,0.00,-2.56,1.32,-0.56,1025.00,1025.00,1025.00,1025.00
447,0,0,0.00,0.00,0.64,0.00,-10.69,0.29,-10.75,1021.00,1029.00,1029.00,1021.00
474,0,0,0.00,0.00,0.22,0.00,-10.50,-0.24,-10.56,1021.00,1029.00,1029.00,1021.00
680,0,0,0.00,0.00,0.43,0.00,10.81,-0.34,10.56,1028.00,1022.00,1022.00,1028.00
722,0,0,0.00,0.00,1.17,0.00,10.50,0.51,10.94,1029.00,1021.00,1021.00,1029.00
804,0,0,0.00,0.00,1.94,0.00,1.94,1.33,3.87,1027.00,1023.00,1023.00,1027.00
878,0,0,0.00,0.00,1.51,0.00,-7.37,1.10,-6.56,1024.00,1026.00,1026.00,1024.00
1025,0,0,0.00,0.00,-0.30,0.00,-4.19,-0.82,-5.44,1023.00,1027.00,1027.00,1023.00
1210,0,0,0.00,0.00,1.26,0.00,10.13,0.60,10.50,1029.00,1021.00,1021.00,1029.00
1234,0,0,0.00,0.00,1.62,0.00,8.63,0.98,9.13,1029.00,1021.00,1021.00,1029.00
1339,0,0,0.00,0.00,1.90,0.00,-3.31,1.37,-2.06,1025.00,1025.00,1025.00,1025.00
1406,0,0,0.00,0.00,1.23,0.00,-9.06,0.85,-8.63,1,1028.00,1028.00,1022.00
1430,0,0,0.00,0.00,0.94,0.00,-9.81,0.58,-9.31,1022.00,1028.00,1028.00,1022.00
1605,0,0,0.00,0.00,-0.25,0.00,2.25,-0.82,1.62,1025.00,1025.00,1025.00,1025.00
1684,0,0,0.00,0.00,0.50,0.00,9.56,-0.15,9.31,1028.00,1022.00,1022.00,1028.00
1787,0,0,0.00,0.00,1.74,0.00,6.06,1.13,7.50,1028.00,1022.00,1022.00,1028.00
1867,0,0,0.00,0.00,1.79,0.00,-2.69,1.30,-1.94,1025.00,1025.00,1025.00,1025.00
1895,0,0,0.00,0.00,1.57,0.00,-6.31,1.13,-4.81,1024.00,1026.00,1026.00,1024.00
1917,0,0,0.00,0.00,1.34,0.00,-7.63,0.87,-6.69,1023.00,1027.00,1027.00,1023.00
1991,0,0,0.00,0.00,0.29,0.00,-8.44,-0.10,-8.50,1022.00,1028.00,1028.00,1022.00
2059,0,0,0.00,0.00,-0.23,0,-2.62,-0.79,-3.19,1024.00,1026.00,1026.00,1024.00
2100,0,0,0.00,0.00,-0.27,0.00,1.56,-0.84,-0.13,1025.00,1025.00,1025.00,1025.00
2142,0,0,0.00,0.00,0.09,0.00,6.50,-0.60,5.94,1027.00,1023.00,1023.00,1027.00
2226,0,0,0.00,0.00,1.01,0.00,9.38,0.36,9.44,1028.00,1022.00,1022.00,1028.00
2298,0,0,0.00,0.00,1.75,0.00,3.50,1.13,4.81,1027.00,1023.00,1023.00,1027.00
2530,0,0,0.00,0.00,0.05,0.00,-6.44,-0.45,-7.56,1022.00,1028.00,1028.00,1022
2555,0,0,0.00,0.00,-0.11,0.00,-4.81,-0.58,-6.00,1023.00,1027.00,1027.00,1023.00
2748,0,0,0.00,0.00,1.02,0.00,8.94,0.28,8.88,1028.00,1022.00,1022.00,1028.00
2832,0,0,0.00,0.00,1.71,0.00,3.81,1.12,4.62,1027.00,1023.00,1023.00,1027.00
2858,0,0,0.00,0.00,1.76,0.00,0.19,1.20,1.69,1026.00,1024.00,1024.00,1026.00
2889,0,0,0.00,0.00,1.71,0.00,-1.25,1.19,-0.62,1025.00,1025.00,1025.00,1025.00
2973,0,0,0.00,0.00,1.00,0.00,-7.63,0.59,-7.44,1022.00,1026.00,1026.00,1022.00
3062,0,0,0.00,0.00,0.15,0.00,-6.12,-0.35,-6.69,1023.00,1027.00,1027.00,1
3083,0,0,0.00,0.00,-0.06,0.00,-4.81,-0.53,-5.62,1023.00,1027.00,1027.00,1023.00
3221,0,0,0.00,0.00,0.30,0.00,7.44,-0.39,6.06,1026.00,1022.00,1022.00,1026.00
3278,0,0,0.00,0.00,1.00,0.00,8.50,0.28,8.63,1028.00,10221021.00,1021.00,1027.00
3298,0,0,0.00,0.00,1.22,0.00,7.81,0.52,8.31,1028.00,1022.00,1022.00,1028.00
3379,0,0,0.00,0.00,1.65,0.00,1.44,1.07,1.87,1026.00,1024.00,1024.00,1026.00
3473,0,0,0.00,0.00,1.06,0.00,-6.81,0.63,-6.19,1023.00,1027.00,1027.00,1023.00
3497,0,0,0.00,0.00,0.76,0.00,-7.81,0.28,-7.63,1023.00,1027.00,1027.00,1023.00
3517,0,0,0.00,0.00,0.53,0.00,-7.50,0.05,-7.37,1022.00,1026.00,1026.00,1022.00
3601,0,0,0.00,0.00,-0.10,0.00,-2.37,-0.64,-3.06,1024.00,1026.00,1026.00,1024.00
