micros,flip,phase,spf_roll,roll_rlv,roll,spf_r_rate,gxrs,error_roll,error_r_rate,m1,m2,m3,m4
86,0,0,0.00,0.00,1.81,0.00,-5.25,1.36,-5.12,1021.00,00,1023.00,1021.00
108,0,0,0.00,0.00,1.64,0.00,-5.81,1.20,-5.62,1021.00,1023.00,1023.00,1021.00
220,0,0,0.00,0.00,0.92,0.00,-3.25,0.38,-3.69,1021.00,1023.00,1023.00,1021.00
248,0,0,0.00,0.00,0.84,0.00,-0.56,0.29,-1.69,1022.00,1022.00,1022.00,1022.00
410,0,0,0.00,0.00,1.85,0.00,6.19,1.24,6.25,1025.00,1019.00,1019.00,1
430,0,0,0.00,0.00,1.99,0.00,5.44,1.38,5.69,1025.00,1019.00,1019.00,1025.00
497,0,0,0.00,0.00,2.24,0.00,0.00,1.70,1.06,1023.00,1021.00,1021.00,1023.00
574,0,0,0.00,0.00,1.82,0.00,-4.81,1.37,-4.50,1021.00,1023.00,1023.00,1021.00
668,0,0,0.00,0.00,1.01,0.00,-4.44,0.49,-4.81,1021.00,1023.00,1023.00,1021.00
767,0,0,0.00,0.00,0.87,0.00,2.81,0.26,2.50,1023.00,1021.00,1021.00,1023023.00
801,0,0,0.00,0.00,0.98,0.00,4.37,0.35,3.94,1023.00,1021.00,1021.00,1023.00
877,0,0,0.00,0.00,1.59,0.00,6.19,0.97,6.31,1025.00,1019.00,1019.00,1025.00
946,0,0,0.00,0.00,2.07,0.00,2.44,1.47,3.31,1024.00,1020.00,1020.00,1024.00
1027,0,0,0.00,0.00,1.82,0.00,-4.06,1.24,-3.75,1022.00,1022.00,1022.00,1022.00
1125,0,0,0.00,0.00,0.89,0.00,-4.37,0.35,-5.19,1021.00,1023.00,1023.00,10
1146,0,0,0.00,0.00,0.78,0.00,-3.25,0.29,-3.94,1021.00,1023.00,1023.00,1021.00
1208,0,0,0.00,0.00,0.70,0.00,1.19,0.13,-0.06,1022.00,1022.022.00,1022.00,1022.00
1230,0,0,0.00,0.00,0.77,0.00,2.44,0.16,1.75,1022.00,1022.00,1022.00,1022.00
1311,0,0,0.00,0.00,1.30,0.00,6.12,0.68,6.00,1024.00,1020.00,1020.00,1024.00
1473,0,0,0.00,0.00,2.01,0.00,-2.44,1.48,-2.25,1022.00,1022.00,1022.00,1022.00
1569,0,0,0.00,0.00,1.19,0.00,-5.25,0.74,-5.31,1021.00,1023.00,0,1021.00
1590,0,0,0.00,0.00,1.06,0.00,-4.19,0.59,-4.87,1021.00,1023.00,1023.00,1021.00
1736,0,0,0.00,0.00,1.42,0.00,5.87,0.80,5.75,1024.00,1020.00,1020.00,1024.00
1844,0,0,0.00,0.00,2.01,0.00,4.50,1.37,4.94,1024.00,1020.00,1020.00,1024.00
1865,0,0,0.00,0.00,2.12,0.00,2.75,1.54,3.69,1024.00,1020.00,1020.00,1024.00
1920,0,0,0.00,0.00,2.15,0.00,-0.37,1.59,0.06,1022.00,1022.00,1022.00,1022.00
2014,0,0,0.00,0.00,1.42,0.00,-5.31,0.98,-5.50,1021.00,10,1023.00,1021.00
2032,0,0,0.00,0.00,1.26,0.00,-5.12,0.81,-5.37,1021.00,1023.00,1023.00,1021.00
2123,0,0,0.00,0.00,0.81,0.00,-0.37,0.25,-0.69,1022.00,1022.00,1022.00,1022.00
