micros,flip,phase,spf_roll,roll_rlv,roll,spf_r_rate,gxrs,error_roll,error_r_rate,m1,m2,m3,m4
53084,0,0,0.00,0.00,0.47,0.00,13.81,-0.21,13.13,1019.00,10,1009.00,1019.00
53112,0,0,0.00,0.00,0.85,0.00,13.13,0.17,14.00,1019.00,1009.00,1009.00,1019.00
53380,0,0,0.00,0.00,0.82,0.00,-11.38,0.49,-10.56,1011.00,1017.00,1017.00,1011.00
53442,0,0,0.00,0.00,-0.07,0.00,-12.88,-0.50,-12.63,1009.00,1019.00,1019.00,1009.00
53553,0,0,0.00,0.00,17,0.00,-6.06,-1.67,-7.06,1024.00,1030.00,1030.00,1024.00
53772,0,0,0.00,0.00,1.73,0.00,-4.75,1.28,-3.06,1348.00,1348.00,1348.00,1348.00
53796,0,0,0.00,0.00,1.50,0.00,-7.81,1.17,-7.19,1359.00,1363.00,1363.00,1359.00
53912,0,0,0.00,0.00,0.23,0.00,-8.75,-0.17,-9.75,1416.00,1422.00,1422.00,1416.00
53931,0,0,0.00,0.00,0.06,0.00,-6.00,-0.40,-7.44,1444.00,1450.00,1450.00,1444.00
54369,0,0,0.00,0.00,0.93,0.00,3.87,0.30,4.25,1467.00,1465.00,1465.00,1467.00
54576,0,0,0.00,0.00,0.86,0.00,-2.25,0.36,-2.00,1466.00,1466.1466.00,1466.00,1466.00
54601,0,0,0.00,0.00,0.70,0.00,-5.62,0.25,-4.56,1465.00,1467.00,1467.00,1465.00
54760,0,0,0.00,0.00,0.21,0.00,-0.81,-0.34,-1.69,1502.00,1502.00,1502.00,1502.00
54952,0,0,0.00,0.00,0.68,0.00,3.19,0.13,2.94,1525.00,1523.00,1523.00,1525.00
55077,0,0,0.00,0.00,0.87,0.00,-2.50,0.36,-4.06,1541.00,1543.00,1543.00,1541.00
55155,0,0,0.00,0.00,0.31,0.00,-1.19,-0.24,-2.25,1564.00,1566.00,1566.00,1564.00
55174,0,0,0.00,0.00,0.33,0.00,1.12,-0.25,0.56,1576.00,1576.00,1576.00,1576.00
