micros,flip,phase,spf_roll,roll_rlv,roll,spf_r_rate,gxrs,error_roll,error_r_rate,m1,m2,m3,m4
370,0,0,0.00,0.00,2.03,0.00,18.12,1.86,18.94,1008.00,1000.00,1000.00,1008.00
453,0,0,0.00,0.00,3.16,0.00,1.69,3.16,3.62,1003.00,1000.00,1000.00,1003.00
513,0,0,0.00,0.00,2.57,0.00,-12.00-13.50,2.57,-12.00,1000.00,1003.00,1003.00,1000.00
554,0,0,0.00,0.00,1.62,0.00,-17.87,1.80,-16.56,1000.00,1005.00,1005.00,1000.00
578,0,0,0.00,0.00,0.69,0.00,-19.06,1.06,-19.19,1000.00,1006.00,1006.00,100
603,0,0,0.00,0.00,0.13,0.00,-18.62,0.50,-19.06,1000.00,1007.00,1007.00,1000.00
660,0,0,0.00,0.00,-0.53,0.00,-15.44,-0.37,3.00,1000.00,1005.00,1005.00,1000.00
707,0,0,0.00,0.00,-1.25,0.00,-3.00,-1.23,-7.69,1000.00,0,1001.00,1000.00
844,0,0,0.00,0.00,1.37,0.00,19.50,1.19,19.81,1008.00,1000.00,1000.00,1008.00
945,0,0,0.00,0.00,3.09,0.00,3.19,3.07,4.81,1003.00,1000.00,1000.00,1003.00
1042,0,0,0.00,0.00,1.36,0.00,-18.25,1.71,-17.06,1000.00,1000,1006.00,1000.00
1064,0,0,0.00,0.00,0.81,0.00,-19.00,1.18,-18.75,1000.00,1006.00,1006.00,1000.00
1192,0,0,0.00,0.00,-1.06,0.00,5.94,-1.19,4.12,1000.00,1000.00,1000.00,1000.00
1297,0,0,0.00,0.00,1.20,0.00,19.06,0.83,19.19,1008.00,1000.00,1000.00,1008.00
1317,0,0,0.00,0.00,1.89,0.00,17.56,1.73,18.62,1008.00,1000.00,1000.00,1008.00
1408,0,0,0.00,0.00,2.97,0.00,-2.44,3.02,0.81,1002.00,1000.00,1000.00,1002.00
1482,0,0,0.00,0.00,2.11,0.00,-14.50,2.39,-50,1000.00,1004.00,1004.00,1000.00
1515,0,0,0.00,0.00,1.10,0.00,-18.25,1.46,-17.37,1000.00,1006.00,1006.00,1000.00
1566,0,0,0.00,0.00,-0.41,0.00,-15,-0.41,-15.00,1000.00,1006.00,1006.00,1000.00
1635,0,0,0.00,0.00,-1.14,0.00,4.62,-1.21,1.62,1000.00,1000.00,1000.00,1000.00
1755,0,0,0.00,0.00,1.65,0.00,17.50,1.49,17.87,1007.00,1000.00,1000.00,1007.00
1880,0,0,0.00,0.00,2.10,0.00,-13.19,2.35,-11.19,1000.00,1,1004.00,1000.00
1936,0,0,0.00,0.00,0.29,0.00,-17.50,0.63,-17.62,1000.00,1006.00,1006.00,1000.00
1998,0,0,0.00,0.00,-0.93,00,-8.63,-0.93,-9.56,1000.00,1004.00,1004.00,1000.00
2017,0,0,0.00,0.00,-1.15,0.00,-5.62,-1.02,-8.63,1000.00,1,1002.00,1000.00
2072,0,0,0.00,0.00,-0.90,0.00,9.25,-0.99,7.75,1002.00,1000.00,1000.00,1002.00
2248,0,0,0.00,0.00,2.78,0.00,6.00,2.73,7.44,1004.00,1000.00,1000.00,1004.00
2271,0,0,0.00,0.00,2.83,0.00,0.13,2.85,1.37,1002.00,1000.00,1000.00,1002.00
2389,0,0,0.00,0.00,1.12,0.00,-16.81,1.45,-16.25,1000.00,1005.00,1005.00,1000.00
2460,0,0,0.00,0.00,0.47,0.00,-13.75,-0.34,-15.38,1000.00,1006.00,1006.00,1000.00
2539,0,0,0.00,0.00,-1.14,0.00,2.19,-1.16,0.69,1000.00,1000.00,1000.00,1000.00
2622,0,0,0.00,0.00,0.61,0.00,17.56,0.44,16.94,1006.00,1000.00,1000.00,1006.00
2714,0,0,0.00,0.00,2.76,0.00,1.37,2.75,2.56,1002.00,1000.00,1000.00,1002.00
2993,0,0,0.00,0.00,-0.37,0.00,12.38,-0.49,11.38,1,1000.00,1000.00,1004.00
3041,0,0,0.00,0.00,1.37,0.00,17.06,1.03,17.12,1007.00,1000.00,1000.00,1007.00
3110,0,0,0.00,0.00,2.77,0.00,6.37,2.64,9.13,1005.00,1000.00,1000.00,1005.00
3184,0,0,0.00,0.00,2.16,0.00,-12.00,2.28,-11.13,1000.00,1003.00,1003.00,1000.00
3229,0,0,0.00,0.00,1.44,0.00,-15.75,1.60,-14.50,1000.00,1004.00,1004.00,1000.00
3249,0,0,0.00,0.00,0.96,0.00,-16.37,1.28,-16.44,1000.00,1005.00,1005.00,1000.00
3411,0,0,0.00,0.00,-0.89,0.00,-5.75,-0.84,-7.19,1000.00,1003.00,1003.00,1000.00
3454,0,0,0.00,0.00,-0.97,0.00,1.06,-0.98,-1.56,1000.00,1001.00,1001.00,1000.00
3603,0,0,0.00,0.00,0.58,0.00,16.62,0.27,15.56,1006.00,1000.00,1000.00,1006.00
3753,0,0,0.00,0.00,2.54,0.00,8.75,2.40,9.88,1005.00,1000.00,1000.00,1005.00
3870,0,0,0.00,0.00,2.40,0.00,-7.56,2.47,-6.44,1000.00,1001.00,1001.00,1000.00
3940,0,0,0.00,0.00,1.43,0.00,-14.87,1.72,-13.63,1000.00,1004.00,1004.00,1000.00
3988,0,0,0.00,0.00,0.81,0.00,-16.19,0.97,-16.19,0,1006.00,1006.00,1000.00
4068,0,0,0.00,0.00,-0.35,0.00,-12.81,-0.22,-14.31,1000.00,1005.00,100,1000.00
4106,0,0,0.00,0.00,-0.67,0.00,-9.94,-0.57,-12.13,1000.00,1005.00,1005.00,1000.00
4174,0,0,0.00,0.00,-1.03,0.00,0.19,-1.02,-2.69,1000.00,1001.00,1001.00,1000.00
4291,0,0,0.00,0.00,-0.05,0.00,14.19,-0.31,12.56,1004.00,1000.00,1000.00,1004.00
4439,0,0,0.00,0.00,2.17,0.00,12.56,1.93,13.81,1006.00,1000.00,1000.00,1006.00
4635,0,0,0.00,0.00,2.13,0.00,-11.06,2.34,-8.69,1000.00,1002.00,1002.00,1000.00
4792,0,0,0.00,0.00,-0.02,0.00,-14.00,0.12,-14.87,1000.00,1005.00,1005.00,1000.00
4838,0,0,0.00,0.00,-0.59,0.00,-10.63,-0.38,-11.63,1000.00,1004.00,1004.00,00.00
4862,0,0,0.00,0.00,-0.80,0.00,-6.19,-0.66,-8.37,1000.00,1003.00,1003.00,1000.00
5023,0,0,0.00,0.00,-0.21,0.00,12.38,-0.44,10.44,1003.00,1000.00,1000.00,1003.00
5066,0,0,0.00,0.00,0.33,0.00,15.00,0.18,14.56,1005.00,1000.00,1000.00,1005.00
