millis,armed,roll,pitch,yaw,gx,gy,gz,err_roll,err_pitch,err_yaw,m1,m2,m3,m4
255262,0,-0.33,-1.98,-0.48,0.13,0.00,0.00,-0.33,-1.98,-0.48,1001.00,1001.00,1000.00,1000.00
255641,0,-0.33,-1.98,-0.48,-0.13,0.19,-0.06,-0.33,-1.98,-0.48,1001.00,1001.00,1000.00,1000.00
255721,0,-0.33,-1.98,-0.48,0.13,-0.19,0.00,-0.33,-1.98,-0.48,1001.00,1001.00,1000.00,1000.00
256101,0,-0.33,-1.98,-0.48,0.19,-0.31,0.06,-0.33,-1.98,-0.48,1001.00,1001.00,1000.00,1000.00
256181,0,-0.33,-1.98,-0.48,0.06,-0.06,0.13,-0.33,-1.98,-0.48,1001.00,1001.00,1000.00,1000.00
256561,0,-0.33,-1.98,-0.48,-0.19,-0.19,0.00,-0.33,-1.98,-0.48,1001.00,1001.00,1000.00,1000.00
256641,0,-0.33,-1.98,-0.48,0.00,0.06,0.00,-0.33,-1.98,-0.48,1001.00,1001.00,1000.00,1000.00
257021,0,-0.33,-1.98,-0.48,0.00,0.00,-0.19,-0.33,-1.98,-0.48,1001.00,1001.00,1000.00,1000.00
257101,0,-0.33,-1.98,-0.48,0.06,0.00,0.06,-0.33,-1.98,-0.48,1001.00,1001.00,1000.00,1000.00
257559,0,-0.33,-1.98,-0.48,-0.25,-0.06,0.06,-0.33,-1.98,-0.48,1001.00,1001.00,1000.00,1000.00
258019,0,-0.33,-1.98,-0.48,-0.06,0.06,0.13,-0.33,-1.98,-0.48,1001.00,1001.00,1000.00,1000.00
258479,0,-0.33,-1.98,-0.48,0.00,0.00,0.13,-0.33,-1.98,-0.48,1001.00,1001.00,1000.00,1000.00
258939,0,-0.33,-1.98,-0.48,0.06,0.06,0.06,-0.33,-1.98,-0.48,1001.00,1001.00,1000.00,1000.00
259399,0,-0.33,-1.98,-0.48,-0.19,0.06,0.19,-0.33,-1.98,-0.48,1001.00,1001.00,1000.00,1000.00
259859,0,-0.33,-1.98,-0.48,-0.06,0.00,0.00,-0.33,-1.98,-0.48,1001.00,1001.00,1000.00,1000.00
