millis,armed,flip,roll,pitch,yaw,gx,gy,gz,err_roll,err_pitch,err_yaw,u2,m1,m2,m3,m4
26464,1,0,-0.33,5.01,-0.62,0.88,-0.19,0.37,-0.40,4.38,-0.55,0.00000027,1072.00,1072.00,1072.00,1072.00
26490,1,0,-0.37,5.01,-0.62,1.31,0.13,-0.06,-0,4.38,-0.55,0.00000036,1017.00,1017.00,1017.00,1017.00
26612,1,0,-0.68,5.03,-0.63,1.94,-0.19,-0.31,-0.75,4.40,-0.56,0.00000056,1014.00,1016.00,1016.00,1014.00
26685,1,0,-0.75,5.03,-0.63,0.19,0.19,-0.,-0.82,4.40,-0.56,0.00000026,1014.00,1014.00,1014.00,1014.00
26851,1,0,-0.50,5.02,-0.62,-2.50,-0.19,-0.06,-0.57,4.39,-0.55,-0.00000030,1014.00,1014.00,1014.00,1014.00
27201,1,0,-0.63,5.02,-0.70,0.88,-0.06,0.44,-0.70,4.39,-0.63,0.00000035,1014.00,1014.00,1014.00,1014.00
27426,1,0,-0.53,5.02,-0.69,-1.87,0.00,0.06,-0.60,4.39,-0.62,-0.00000018,1014.00,1014.00,1014.00,1014.00
27762,1,0,-0.55,5.01,-0.70,-0.69,0.44,-0.13,-0.62,4.38,-0.63,0.00000004,1070.00,1070.00,1070.00,1070.00
27827,1,0,-0.50,5.01,-0.70,-1.37,0.31,-0.13,-0.57,4.38,-0.63,-0.00000010,1111.00,1111.00,1111.00,1111.00
27854,1,0,-0.45,5.01,-0.70,-2.37,-0.37,-0.06,-0.52,4.38,-0.63,-0.0000029,1125.00,1125.00,1125.00,1125.00
27999,1,0,0.27,5.01,-0.66,-9.13,-0.37,-2.37,0.20,4.38,-0.59,-0.00000173,1183.00,1177.00,1177.00,1183.00
28053,1,0,0.72,5.03,-0.68,-6.81,0.31,0.25,0.65,4.40,-0.61,-0.00000143,115.00,1191.00,1191.00,1195.00
28349,1,0,-0.88,5.14,-0.75,1.75,-2.25,0.50,-0.95,4.51,-0.68,0.00000059,1275.00,1277.00,1277.00,1275.00
28583,1,0,-0.22,5.14,-0.74,-4.06,0.75,0.19,-0.29,4.51,-0.67,-0.00000067,1294.00,1292.00,1292.00,1294.00
28811,1,0,0.09,5.11,-0.75,0.50,0.50,-0.06,0.02,4.48,-0.68,0.00000009,1295.00,1295.00,1295.00,1295.00
28994,1,0,-0.36,5.11,-0.75,1.69,-1.25,-0.06,-0.43,4.48,-0.68,0.00000043,1311.00,1311.00,1311.00,1311.00
29143,1,0,-0.12,5.13,-0.75,-4.19,1.00,-0.37,-0.19,4.50,-0.68,-0.00000072,1337.00,1335.00,1335.00,1337.00
29214,1,0,0.18,5.12,-0.76,-3.94,-0.37,-0.25,0.11,4.49,-0.69,-0.00000075,1341.00,1339.00,1339.00,1341.00
29377,1,0,0.16,5.12,-0.75,2.25,-0.62,0.44,0.09,4.49,-0.68,0.00000039,1356.00,1356.00,1356.00,1356.00
29427,1,0,0.05,5<42830,1,0,-0.02,5.13,-0.76,2.62,0.37,-0.31,-0.09,4.50,-0.69,0358.00
