millis,armed,fp,roll,pitch,yaw,mfr,gx,spr,err_roll,u2
41,0,0,0.15,5.80,-0.17,0.00,10.19,-0.18,0.33,0.000002
60,0,0,-0.18,5.80,-0.16,0.00,11.13,0.09,-0.27,0.000002
120,0,0,-0.99,5.80,-0.17,0.00,8.94,-0.18,-0.81,0.000002
168,0,0,-1.45,5.80,-0.17,0.00,2.44,-0.18,-1.27,0.000001
220,0,0,-1.40,5.80,-0.17,0.00,-3.75,0.09,-1.49,-0.000000
287,0,0,-0.84,5.79,-0.17,0.00,-9.81,-0.18,-0.66,-0.000002
381,0,0,0.64,5.79,-0.18,0.00,-8.50,-0.18,0.82,-0.000002
409,0,0,0.90,5.78,-0.18,0.00,-4.62,-0.18,1.08,-0.000001
423,0,0,0.96,5.78,-0.18,0.00,-2.81,-0.18,1.14,-0.000001
462,0,0,0.93,5.78,-0.18,0.00,1.87,-0.18,1.11,0.000000
509,0,0,0.45,5.78,-0.19,0.00,8.13,-0.18,0.63,0.000001
525,0,0,0.16,5.78,-0.19,0.00,10.00,-0.18,0.34,0.000002
565,0,0,-0.25,5.78,-0.19,0.00,10.69,-0.18,-0.07,0.000002
617,0,0,-0.96,5.78,-0.20,0.00,9.06,-0.18,-0.78,0.000002
664,0,0,-1.45,5.78,-0.19,0.00,3.44,-0.18,-1.27,0.000001
725,0,0,-1.41,5.78,-0.20,0.00,-3.62,-0.18,-1.23,-0.000000
760,0,0,-1.26,5.78,-0.20,0.00,-6.25,-0.18,-1.08,-0.000001
840,0,0,-0.15,5.77,-0.20,0.00,-11.00,-0.18,0.03,-0.000002
892,0,0,0.60,5.77,-0.20,0.00,-7.19,-0.18,0.78,-0.000001
906,0,0,0.70,5.77,-0.20,0.00,-5.37,-0.18,0.88,-0.000001
939,0,0,0.80,5.77,-0.21,0.00,-1.69,-0.18,0.98,-0.000001
996,0,0,0.51,5.77,-0.21,0.00,6.31,0.09,0.42,0.000001
1010,0,0,0.37,5.77,-0.21,0.00,7.37,0.09,0.28,0.000001
1043,0,0,-0.07,5.77,-0.21,0.00,9.75,0.09,-0.16,0.000002
1064,0,0,-0.39,5.76,-0.21,0.00,10.56,-0.18,-0.21,0.000002
1145,0,0,-1.40,5.76,-0.21,0.00,5.75,-0.18,-1.22,0.000001
1181,0,0,-1.54,5.76,-0.21,0.00,2.25,-0.18,-1.36,0.000001
1202,0,0,-1.55,5.76,-0.21,0.00,-1.19,-0.18,-1.37,0.000000
1247,0,0,-1.23,5.76,-0.21,0.00,-7.31,-0.18,-1.05,-0.000001
1293,0,0,-0.50,5.76,-0.21,0.00,-10.50,-0.18,-0.32,-0.000002
1310,0,0,-0.19,5.77,-0.21,0.00,-10.63,0.09,-0.28,-0.000002
1342,0,0,0.30,5.77,-0.21,0.00,-9.50,-0.18,0.48,-0.000002
1360,0,0,0.54,5.77,-0.21,0.00,-7.69,-0.18,0.72,-0.000002
1413,0,0,0.77,5.76,-0.21,0.00,-4.87,-0.18,0.95,-0.000001
