micros,flip,phase,spf_roll,roll_rlv,roll,spf_r_rate,gxrs,error_roll,error_r_rate,m1,m2,m3,m4
40,0,0,0.00,0.00,0.59,0.00,5.50,0.05,5.56,1021.00,1017.00,1017.00,1021.00
65,0,0,0.00,0.00,0.84,0.00,4.69,0.26,4.81,1021.00,1017.00,1017.00,1021.00
124,0,0,0.00,0.00,1.03,0.00,1.94,0.54,2.56,1020.00,1018.00,1018.00,1020.00
221,0,0,0.00,0.00,0.68,0.00,-4.06,0.23,-3.69,1018.00,1020.00,00,1018.00
240,0,0,0.00,0.00,0.54,0.00,-4.69,0.09,-4.56,1018.00,1020.00,1020.00,1018.00
332,0,0,0.00,0.00,-0.07,0.00,-1.69,-0.55,-2.56,1018.00,1020.00,1020.00,1018.00
353,0,0,0.00,0.00,-0.11,0.00,0.44,-0.60,-0.31,1019.00,1019.00,1019.00,1019.00
371,0,0,0.00,0.00,-0.09,0.00,1.75,-0.60,0.69,1019.00,1019.00,1019.00,1019.00
444,0,0,0.00,0.00,0.31,0.00,4.81,-0.27,4.62,1020.00,1018.00,1018.00,1020.00
510,0,0,0.00,0.00,0.78,0.00,3.69,0.26,4.31,1020.00,1018.00,1018.00,1020.00
675,0,0,0.00,0.00,0.38,0.00,-4.25,-0.02,-4.25,1018.00,1020.00,1020.00,1018.00
711,0,0,0.00,0.00,0.08,0.00,-3.81,-0.37,-3.75,1018.00,1020.00,1020.00,1018.00
804,0,0,0.00,0.00,-0.10,0.00,1.31,-0.60,1.44,1019.00,1019.00,1019.00,1019.00
866,0,0,0.00,0.00,0.30,0.00,4.56,-0.24,4.56,1020.00,1018.00,1018.00,1020.00
886,0,0,0.00,0.00,0.49,0.00,4.87,-0.05,4.62,1020.00,1018.00,1018.00,1020.00
959,0,0,0.00,0.00,0.96,0.00,0.88,0.46,1.75,1019.00,1019.00,1019.00,1019.00
1018,0,0,0.00,0.00,0.88,0.00,-2.19,0.43,-1.75,1019.00,00,1019.00,1019.00
