micros,flip,phase,spf_roll,roll_abs,roll,pitch,yaw,spf_r_rate,gxrs,error_roll,error_r_rate,m1,m2,m3,m4
86256,0,0,350.00,65.09,1.01,5.03,1.08,0.00,3.19,0.35,-1.62-3.19,1601.00,1603.00,1603.00,1601.00
86446,0,0,350.00,65.09,0.94,5.05,1.12,0.00,3.62,0.33,-7.44,1600.00,1604.00,1604.00,1600.00
86483,0,0,350.00,65.09,1.01,5.06,1.09,0.00,-5.69,0.22,-1.00,1602.00,1602.00,1602.00,1602.00
86794,1,1,16.50,-0.06,1.00,5.07,1.42,466.67,2.12,-16.56,-469.92,1408.00,1796.00,1796.00,1408.00
88077,1,0,350.00,70.49,-8.80,5.09,1.43,0.00,-532.31,-20.23,612.37,1800.00,1372.00,1372.00,1800.00
88329,1,0,350.00,70.49,-5.60,5.66,2.36,0.00,226.69,-1.47,-295.06,14800,1668.00,1668.00,1536.00
88397,1,0,350.00,70.49,-13.77,4.99,1.54,0.00,75.31,-13.68,-93.44,1558.00,1646.00,1646.00,1558.00
88443,1,0,350.00,70.49,-14.93,4.73,1.86,0.00,1.44,-15.36,-40.06,1578.00,1626.00,1626.00,1578.00
89096,1,0,350.00,70.49,2.33,4.81,2.04,0.00,-78.12,0.07,92.62,1638.00,1566.001571.00,1571.00,1633.00
91637,1,0,350.00,70.49,0.51,5.22,1.61,0.00,-0.31,-0.19,11.81,1567.00,1559.1562.00,1562.00,1562.00
92078,1,0,350.00,70.49,0.45,5.23,1.75,0.00,-14.94,-0.52,10.31,1488.00,1482.00,1482.00,1488.00
92125,1,0,350.00,70.49,0.98,5.21,1.75,0.00,-10.63,0.05,15.38,1468.00,1456.00,1456.00,1468.00
93589,0,0,350.00,70.49,-1.01,5.25,1.79,0.00,-0.50,-1.64,0.19,1014.00,1014.00,1014.00,1014.00
93615,0,0,350.00,70.49,-0.89,5.25,1.79,0.00,-6.75,-1.63,1.75,1014.00,1014.00,1014.00,1014.00
93803,0,0,350.00,70.49,-0.97,5.26,1.80,0.00,0.13,-1.65,-4.56,1012.00,1016.00,1016.00,1012.00
94844,0,0,350.00,70.49,-2.14,5.25,1.74,0.00,-7.50,-2.84,2.87,1014.00,1014.00,1014.00,1014.00
94885,0,0,350.00,70.49,-1.83,5.25,1.74,0.00,-7.37,-2.61,8.31,1015.00,1013.00,1013.00,1015.00
95648,0,0,350.00,70.49,-1.87,5.23,1.76,0.00,-1.31,-2.58,-0.69,1013.00,1015.00,1015.00,1013.00
95689,0,0,350.00,70.49,-1.68,5.23,1.76,0.00,-7.81,-2.53,3.06,1014.00,1014.00,1014.00,1014.00
95874,0,0,350.00,70.49,-0.73,5.22,1.77,0.00,-6.56,-1.49,6.81,1015.00,1013.00,1013.00,1015.00
96680,0,0,350.00,70.49,-0.89,5.14,1.77,0.00,3.50,-1.52,-4.50,1012.00,1016.00,1016.00,1012.00
97485,0,0,350.00,70.49,-1.03,4.94,1.78,0.00,8.06,-1.59,-5.87,1011.00,1017.00,1017.00,1011.00
98290,0,0,350.00,70.49,-1.33,4.79,1.77,0.00,3.56,-1.97,-2.00,1013.00,1015.00,1015.00,1013.00
