micros,flip,phase,spf_roll,roll_abs,roll,pitch,yaw,spf_r_rate,gxrs,error_roll,error_r_rate,m1,m2,m3,m4
1599,0,0,0.00,0.00,-0.58,4.46,-0.20,0.00,0.06,-1.28,-0.06,1017.00,1017.00,1017.00,10171017.00
1861,0,0,0.00,0.00,-0.58,4.46,-0.20,0.00,0.00,-1.28,0.06,1017.00,1017.00,1017.00,1017.00
1882,0,0,0.00,0.00,-0.58,4.46,-0.20,0.00,0.00,-1.28,0.13,1017.00,1017.00,1017.00,1017.00
1906,8,4.46,-0.20,0.00,0.06,-1.28,-0.06,1017.00,1017.00,1017.00,1016,1017.00,1017.00,1017.00,1017.00
2011,0,0,0.00,0.00,-0.58,4.46,-0.20,0.00,0.13,-1.28,-0.3-0.13,1017.00,1017.00,1017.00,1017.00
2152,0,0,0.00,0.00,-0.58,4.46,-0.20,0.00,-0.13,-1.28,0.00,1017.00,1017.00,1017.00,1017.00
2262,0,0,0.00,0.00,-0.58,4.46,-0.20,0.00,-0.13,-1.28,-0.13,1017.00,1017.00,1017.00,1017.00
2328,0,0,0.00,0.00,-0.58,4.46,-0.20,0.00,0.06,-1.28,0.19,1017.00,1017.1017.00,1017.00,1017.00
2532,0,0,0.00,0.00,-0.58,4.46,-0.20,0.00,0.00,-1.28,-0.31,1017.00,1017.00,1017.00,1017.00
2557,0,0,0.00,0.00,-0.58,4.46,-0.20,0.00,0.06,-1.28,-0.06,1017.00,1017.00,1017.00,1017.00
2871,0,0,0.00,0.00,-0.58,4.46,-0.20,0.00,0.25,-1.28,0.06,1017.00,1017.00,1017.00,1017.00
2894,0,0,0.00,0.00,-0.58,4.46,-0.20,0.00,-0.19,-1.21,0.25,1017.00,1017.00,1017.00,1017.00
2917,-0.58,4.46,-0.20,0.00,-0.06,-1.28,0.06,1017.00,1017.00,1017.8,0.06,1017.00,1017.00,1017.00,1017.00
2951,0,0,0.00,0.00,-0.58,4.46,-0.20,0.00,0.19,-1.28,-0.13,1017.00,1017.017.00,1017.00,1017.00
3152,0,0,0.00,0.00,-0.58,4.46,-0.20,0.00,0.00,-1.28,0.19,1017.00,1017.00,1017.00,1017.00
3179,0,0,0.00,0.00,-0.58,4.46,-0.20,0.00,0.13,-1.28,0.06,1017.00,1017.00,1017.00,1017.00
3348,0,0,0.00,0.00,-0.58,4.46,-0.20,0.00,-0.19,-1.28,-0.19,1017.017.00,1017.00,1017.00,1017.00
3587,0,0,0.00,0.00,-0.58,4.46,-0.20,0.00,-0.13,-1.28,-0.06,1017.00,1017.00,1017.00,1017.00
3613,0,0,0.00,0.00,-0.58,4.46,-0.20,0.00,-0.25,-1.28,0.25,1017.00,1017.00,1017.00,1017.00
3746,0,0,0.00,0.00,-0.58,4.46,-0.20,0.00,0.00,-1.28.28,0.00,1017.00,1017.00,1017.00,1017.00
3960,0,0,0.00,0.00,-0.58,4.46,-0.20,0.00,0.06,-1.28,-0.06,1017.00,1017.00,1017.00,1017.00
4071,0,0,0.00,0.00,-0.58,4.46,-0.20,0.00,0.00,-1.28,0.13,1017.00,1017.00,1017.00,1017.07.00
4111,0,0,0.00,0.00,-0.58,4.46,-0.20,0.00,0.19,-1.28,-0.06,1017.00,1017.00,1017.00,1017.00
4323,0,0,0.00,0.00,-0.58,4.46,-0.20,0.00,-0.13.00,-1.28,0.13,1017.00,1017.00,1017.00,1017.00
4502,0,0,0.00,0.00,-0.58,4.46,-0.20,0.00,-0.19,-1.28,0.31,1017.00,1017.00,1017.00,1017.001017.00
4528,0,0,0.00,0.00,-0.58,4.46,-0.20,0.00,-0.19,-1.28,0.31,1017.00,1017.00,1017.00,1017.00
4571,0,0,0.00,0.00,-0.58,4.46,-0.20,0.00,-0.31,-1.28,0.13,1017.00,1017.00,1017.00,1017.00
4625,0,0,.46,-0.20,0.00,-0.06,-1.28,0.13,1017.00,1017.00,1017.00,1017.0017.00,1017.00,1017.00,1017.00
4653,0,0,0.00,0.00,-0.58,4.46,-0.20,0.00,0.13,-1.28,-0.06,1017.00,1017.00,1017.017.00,1017.00
5108,0,0,0.00,0.00,-0.58,4.46,-0.20,0.00,0.13,-1.28,0.13,1017.00,1017.00,1017.00,1017.00
5146,0,0,0.00,0.00,-0.58,4.46,-0.20,0.00,0.13,-1.28,-0.13,1017.00,1017.00,1017.00,1017.00
5226,0,0,0.00,0.00,-0.58,4.46,-0.20,0.00,-0.13,-1.28,0.13,1017.00,1017.0017.00,1017.00,1017.00
5559,0,0,0.00,0.00,-0.58,4.46,-0.20,0.00,0.13,-1.28,0.13,1017.00,1017.00,1017.00,1017.00
5801,0,0,0.00,0.00,-0.58,4.46,-0.20,0.00,-0.06,-1.28,-0.19,1017.17.00,1017.00,1017.00,1017.00
6141,0,0,0.00,0.00,-0.58,4.46,-0.20,0.00,0.00,-1.28,-0.19,1017.00,1017.00,1017.00,1017.00
6180,0,0,0.00,0.00,-0.58,4.46,-0.20,0.00,0.25,-1.28,-0.06,1017.00,1017.00,1017.00,1017.00
6233,01,4.42,-0.20,0.00,4.37,-1.36,-2.19,1016.00,1018.00,1018.00,101.37,1015.00,1019.00,1019.00,1015.00
6265,0,0,0.00,0.00,-1.60,4.37,-0.22,0.00,36.06,-1.69,-16.12,1010.00,1024.01032.00,1032.00,1002.00
6942,0,0,0.00,0.00,-28.59,4.75,-0.78,0.00,9.88,-29.05,-6.37,1000.00,1035.00,1035.00,1000.00
7306,0,0,0.00,0.00,-28.63,5.25,-0.99,0.00,-0.50,-29.31,0.56,1001.00,1033.00,1033.00,1001.00
7335,0,0,0.00,0.00,-28.69,5.28,-1.00,0.00,3.50,-29.34,-0.44,1001.00,1033.00,1033.00,1001.00
7866,0,0,0.00,0.00,-27.49,4.99,-0.80,0.00,-3.00,-28.20,4.00,1003.00,1031.00,1031.00,1003.00
7998,0,0,0.00,0.00,-27.83,5.14,-0.86,0.00,-0.13,-28.50,-2.06,1001.00,1033.01032.00,1032.00,1002.00
8447,0,0,0.00,0.00,-21.88,5.05,-0.61,0.00,-50.31,-23.45,41.88,1020.00,1014.00,1014.00,1020.00
8478,0,0,0.00,0.00,-19.50,5.03,-0.55,0.00,-64.06,-21.45,60.81,1028.00,1006.00,1006.00,1028.00
8677,0,0,0.00,0.00,-10.11,4.88,-0.28,0.00,-19.12,-11.22,27.50,1021.00,1013.00,1013.00,1021.00
8793,0,0,0.00,0.00,-8.76,4.80,-0.79,0.00,-8.63,-9.63,10.56,10161016.00,1018.00,1018.00,1016.00
9018,0,0,0.00,0.00,-3.71,4.74,-0.09,0.00,-31.00,-5.00,30.87,1026.00,1008.00,1008.00,1026.00
9061,0,0,0.00,0.00,-2.91,4.69,-0.02,0.00,-28.31,-4.13,30.19,1026.00,1008.00,1008.00,1026.00
9522,0,0,0.00,0.00,-3.27,4.58,0.02,0.00,3.94,-3.89,-4.75,1013.00,1021.00,1021.00,1013.00
9846,0,0,0.00,0.00,0.0.06,4.47,0.07,0.00,1.50,-0.63,3.25,1017.00,1017.00,1017.00,1017.00
9950,0,0,0.00,0.00,-0.62,4.41,0.07,0.00,8.44,-1.24,-11.13,1012.00,1022.00,1022.00,1012.00
9975,0,0,0.00,0.00,-0.81,4.41,0.07,0.00,4.25,-1.44,-5.56,1014.00,1020.00,1020.00,1014.00
10032,0,0,0.00,0.00,-0.75,4.44,0.06,0.00,-2.69,-1.49,1.37,1017.00,1017.01017.00,1017.00,1017.00
10055,0,0,0.00,0.00,-0.66,4.40,0.07,0.00,-2.62,-1.41,3.25,1017.00,1017.00,1017.00,1017.17.00
10083,0,0,0.00,0.00,-0.62,4.44,0.07,0.00,-0.44,-1.32,1.56,1017.00,1017.00,1017.00,1017.00
10144,-0.76,4.46,0.06,0.00,4.44,-1.41,-3.87,1015.00,1019.00,1019.,-4.44,1015.00,1019.00,1019.00,1015.00
10170,0,0,0.00,0.00,-0.94,4.45,0.06,0.00,3.94,-1.56,-4.81,1015.00,1019.09.00,1019.00,1015.00
10426,0,0,0.00,0.00,-3.38,4.504.47,0.02,0.00,4.75,-4.08,-6.94,1012.00,1022.00,1022.00,1012.00
10506,0,0,0.00,0.00,-3.34,4.49,0.03,0.00,-9.69,-4.14,7.75,1017.00,1017.00,1017.00,1017.00
10750,0,0,0.00,0.00,0.13,4.41,0.10,0.00,-6.00,-0.63,12.44,1019.00,1015.00,1015.00,1019.00
10965,0,0,0.00,0.00,-2.13,4.40,0.09,0.00,16.87,-2.67,-16.75,1009.00,1025.00,1025.00,1009.00
11117,0,0,0.00,0.00,-2.96,4.42,0.09,0.00,2.06,-3.64,-2.44,1014.00,1020.00,1020.00,1014.05.00
11146,0,0,0.00,0.00,-2.98,4.40,0.09,0.00,1.31,-3.67,-1.56,1015.00,1019.00,1019.00,1015.00
11426,0,0,0.00,0.00,-0.09,4.28,0.09,0.00,-2.12,-0.81,6.87,1019.00,1015.00,1015.00,1019.00
11452,0,0,0.00,0.0000,-0.23,4.29,0.09,0.00,4.37,-0.82,-2.62,1016.00,1018.00,1018.00,1016.00
11548,0,0,0.00,0.00,-0.91,4.29,0.09,0.00,8.06,-1.45,-8.19,1013.00,1021.00,1021.00,1013.00
11588,0,0,0.00,0.00,-1.18,4.29,0.09,0.00,10.13,-1.78,-8.56,1013.00,1021.00,1021.00,1013.00
11786,0,0,0.00,0.00,-2.82,4.30,0.09,0.00,1.94,-3.51,-2.31.94,1015.00,1019.00,1019.00,1015.00
12004,0,0,0.00,0.00,-1.21,4.25,0.09,0.00,-9.25,-2.08,9.06,1019.00,1015.00,1015.00,1019.00
12125,0,0,0.00,0.00,-0.40,4.23,0.09,0.00,-1.00,-1.10,5.25,1018.00,1016.00,1016.00,1018.00
12160,0,0,0.00,0.00,-0.51,4.23,0.09,0.00,3.81,-1.13,-2.44,1016.00,1018.00,1018.00,1016.00
12240,0,0,0.00,0.00,-1.00,4.23,0.08,0.00,6.19,-1.59,-5.62,1014.00,1020.00,1020020.00,1014.00
12369,0,0,0.00,0.00,-2.19,4.22,0.09,0.00,9.50,-2.68,-11.5-9.50,1012.00,1022.00,1022.00,1012.00
12481,0,0,0.00,0.00,-2.69,4.22,0.09,0.00.00,2.25,-3.39,-3.00,1014.00,1020.00,1020.00,1014.00
12593,0,0,0.00,0.00,-2.22.10,4.22,0.08,0.00,-9.19,-2.99,9.25,1018.00,1016.00,1016.00,1018.00
12697,0,0,0.00,0.00,-1.49,4.21,0.09,0.00,-8.13,-2.26,7.94,1018.00,1016.00,1016.00,1018.00
12856,0,0,0.00,0.00,-1.25,4.21,0.09,0.00,13.94,-1.81,-11.50,1012.00,1022.00,1022.00,1012.00
13297,0,0,0.00,0.00,-4.07,4.37,1.71,0.00,0.37,-4.86,12.19,1019.00,1015.00,1015.00,1019.00
13323,0,0,0.00,0.00,-4.32,4.45,1.71,0.00,12.19,-4.83,-5.62,1013.00,1021.00,1021.00,1013.00
13735,0,0,0.00,0.00,-1.70,4.15,-0.64,0.00,9.31,-2.29,8.37,1019.00,1015.00,1015.00,1019.00
13772,0,0,0.00,0.00,-2.00,4.16,-0.58,0.00,11.31,-2.49,-9.75,1012.00,1022.00,1022.00,1012.00
13857,0,0,0.00,0.00,-2.79,4.32,0.28,0.00,4.81,-3.41,-7.69,1013.00,1021.20.00,1020.00,1014.00
14113,0,0,0.00,0.00,-2.98,4.4.23,1.31,0.00,4.12,-3.68,-3.37,1014.00,1020.00,1020.00,1014.00
14194,0,0,0.00,0.00,-3.47,4.11,-0.56,0.00,6.62,-4.08,-2.56,1014.00,1020.00,1020.00,1014.00
14629,0,0,0.00,0.00,-7.03,4.35,1.26,0.00,-2.56,-7.77,-1.06,1013.00,1021.00,1021.00,1013.00014.00
14656,0,0,0.00,0.00,-6.97,4.36,1.21,0.00,-1.62,-7.69,2.25,1014.00,1020.00,1020.00,1014.00
15013,0,0,0.00,0.00,-7.17,4.24.36,0.96,0.00,6.44,-7.87,-7.37,1010.00,1024.00,1024.00,1010.00
15107,0,0,0.00,0.00,-7.93,4.40,1.46,0.00,11.75,-8.39,-12.25,1008.00,1026.00,1026.00,1008.00
15253,0,0,0.00,0.00,-8.36,4.37,1.15,0.00,-0.37,-9.07,1.87,1013.00,1021.00,1021.00,1013.00.00
15279,0,0,0.00,0.00,-8.37,4.33,0.88,0.00,-0.56,-9.06,0.06,1012.00,1022.00,1022.00,1012.00
15348,0,0,0.00,0.00,-8.40,4.04,-0.83,0.00,-4.44,-9.15,1.75,1013.00,1021.000.00,1020.00,1014.00
15697,0,0,0.00,0.00,-9.60,4.41,1.44,0.00,2.44,-10.25,-3.62,1010.00,1024.00,1024.00,1010.00
15739,0,0,0.00,0.00,-9.53,4.39,1.35,0.00,-5.87,-10.31,-0.62,1011.00,1023.00,1023.00,1011.00
15822,0,0,0.00,0.00,-8.59,4.28,0.98,0.00,-5.50,-9.39,9.50,1016.00,1018020.00,1020.00,1014.00
16614,0,0,0.00,0.00,-8.33,4.05,-0.60,0.00,6.81,-8.96,-6.37,1010.00,1024.00,1024.00,1010.00
16652,0,0,0.00,0.00,-8.41,4.00,-0.61,0.00,-1.00,-9.11,-2.87,1011.00,1023.00,1023.00,1011.00
16732,0,0,0.00,0.00,-8.13,4.06,-0.61,0.00,-1.19,-8.85,1.56,1013.00,1021.021.00,1021.00,1013.00
17066,0,0,0.00,0.00,-6.69,4.05,-0.44,0.00,-2.44,-7.44,2.44,1014.00,1020.00,1020.00,1014.00
17106,0,0,0.00,0.00,-6.58,4.05,-0.44,0.00,-2.75,-7.34,2.56,1014.00,1020.00,1020.00,1014.00
17187,0,0,0.00,0.00,-6.23,4.03,-0.42,0.00,-5.12,-7.03,4.62,1015.00,1019.00,1019.0018.00,1016.00
17575,0,0,0.00,0.00,-2.45,4.05,0.09,0.00,-5.25,-3.25,6.06,1017.00,1017.00,1017.00,1017.00
17647,0,0,0.00,0.00,-2.36,4.05,0.09,0.00,1.44,-3.03,-0.06,1016.00,1018.00,1018019.00,1015.00
17779,0,0,0.00,0.00,-2.53,4.05,0.09,0.00,0.75,-3.22,-0.81,1011015.00,1019.00,1019.00,1015.00
18027,0,0,0.00,0.00,-2.44,4.05.05,0.09,0.00,-1.12,-3.14,1.19,1016.00,1018.00,1018.00,1016.00
18110,0,0,0.00,0.00,-2.36,4.05,0.09,0.00,0.50,-3.06,0.13,1016.00,1018.00,1018.00,1016.00
18234,0,0,0.00,0.00,-2.44,4.05,0.09,0.00,0.50,-3.14,-0.37,1016.00,1018.00,1018.00,1016.00
18267,0,0,0.00,0.00,-2.44,4.05,0.09,0.00,-0.37,-3.14,0.13,1016.00,1018.00,1018.00,1016.00
18337,0,0,0.00,0.00,-2.38,4.05,0.09,0.00,0.00,-3.08,0.69,1016.00,1018.00,1018.00,101016.00
18452,0,0,0.00,0.00,-2.43,4.05,0.09,0.00,-0.06,-3.13,-0.19,1016.00,101018.00,1018.00,1016.00
18697,0,0,0.00,0.00,-2.45,4.05,0.09,0.00.00,0.50,-3.15,-0.50,1016.00,1018.00,1018.00,1016.00
18829,0,0,0.00,0.00,-2.42.45,4.05,0.09,0.00,-0.06,-3.15,0.50,1016.00,1018.00,1018.00,1016.00
18905,0,0,0.00,0.00,-2.45,4.05,0.09,0.00,0.44,-3.15,-0.37,1016.00,1018.00,1018.00,1016.00
19064,0,0,0.00,0.00,-2.45,4.05,0.09,0.00,0.00,-3.15,0.31,1016.00,1018.00,1018.00,1016.00
19380,0,0,0.00,0.00,-2.45,4.05,0.09,0.00,0.10.00,-3.15,-0.19,1016.00,1018.00,1018.00,1016.00
19598,0,0,0.00,0.00,-2.45,4.05,0.09,0.00,0.00,-3.15,-0.13,1016.00,1018.00,1018.00,1016.00
19716,0,0,0.00,0.00,-2.45,4.05,0.09,0.00,-0.13,-3.15,0.19,1016.00,1018.00,1018.00,1016.00
19743,0,0,0.00,0.00,-2.45,4.05,0.09,0.00,-0.25,-3.08,0.19,1016.00,1018.00,1018.00,1016.00
19960,0,0,0.00,0.00,-2.45,4.05,0.09,0.00,-0.06,-3.15,0.06,1016.00,1018018.00,1018.00,1016.00
20066,0,0,0.00,0.00,-2.45,4.05,0.09,0.00,0.06,-3.15,-0.130.06,1016.00,1018.00,1018.00,1016.00
20403,0,0,0.00,0.00,-2.45,4.05,0.09,0.00,0.06,-3.15,0.00,1016.00,1018.00,1018.00,1016.00
20517,0,0,0.00,0.00,-2.45,4.05,0.09,0.00,0.06,-3.15,0.13,1016.00,1018.00,1018.00,1016.00
20559,0,0,0.00,0.00,-2.45,4.05,0.09,0.00,0.06,-3.15,0.25,1016.00,1018.00,1018.00,1016.00
21006,0,0,0.00,0.00,-2.45,4.05,0.09,0.000.00,0.06,-3.15,0.25,1016.00,1018.00,1018.00,1016.00
21233,0,0,0.00,0.00,-2.45,4.05,0.09,0.00,-0.06,-3.15,0.19,1016.00,1018.00,1018.00,1016.00
21302,0,0,0.00,0.00,-2.45,4.05,0.09,0.00,0.00,-3.15,-0.06,1016.00,1018.00,10181018.00,1016.00
21329,0,0,0.00,0.00,-2.45,4.05,0.09,0.00,0.06,-3.15,0.00,1016.00,1018.00,1018.00,1016.00
21366,0,0,0.00,0.00,-2.45,4.05,0.09,0.00,0.06,-3.15,0.19,1016.00,1018.00,1018.00,1016.00
21466,0,0,0.00,0.00,-2.45,4.05,0.09,0.00,0.06,-3.15,0.00,1016.00,1018.00,1018.08.00,1016.00
21695,0,0,0.00,0.00,-2.45,4.05,0.09,0.00,-0.06,-3.-3.15,0.06,1016.00,1018.00,1018.00,1016.00
21939,0,0,0.00,0.00,-2.42.45,4.05,0.09,0.00,0.19,-3.15,0.19,1016.00,1018.00,1018.00,1016.00
22012,0,0,0.00,0.00,-2.45,4.05,0.09,0.00,-0.06,-3.15,-0.13,1016.00,1018.00,1018.00,1016.00
22170,0,0,0.00,0.00,-2.45,4.05,0.09,0.00,0.06,-3.15,-0.06,1016.00,1018.00,1018.00,1016.00
22250,0,0,0.00,0.00,-2.45,4.05,0.09,0.00,-0.13,-3.15,0.06,1016.00,1018.00,10181018.00,1016.00
22374,0,0,0.00,0.00,-2.79,4.05,0.07,0.00,7.31,-3.42,-6.87,1013.13.00,1021.00,1021.00,1013.00
22705,0,0,0.00,0.00,3.13,3.92,0.37,0.00,-77.31,0.95,73.87,1046.00,1000.00,1000.00,1046.00
22838,0,0,0.00,0.00,13.18,3.69,0.58,0.00,-85.69,10.80,89.56,1058.00,1000.00,1000.00,1058.1057.00
23172,0,0,0.00,0.00,18.43,3.59,0.38,0.00,83.00,19.25,-66.87,1002.00,1032.00,1032.00,1002.00
23198,0,0,0.00,0.00,14.48,3.60,0.76,0.00,106.19,15.90,-98.56,1000.00,1046.00,1046.00,1000.00
23288,0,0,0.00,0.00,4.08,3.86,0.97,0.00,145.87,6.20,-140.12,1000.0000.00,1072.00,1072.00,1000.00
23980,0,0,0.00,0.00,-0.72,3.98,0.37,0.00,-149.75,-4.36,156.31,1076.00075.00,1000.00,1000.00,1075.00
24102,0,0,0.00,0.00,11.54,3.74,0.59,0.000.00,-56.00,10.84,63.19,1048.00,1000.00,1000.00,1048.00
24198,0,0,0.00,0.00,14.02,3.72,0.55,0.00,1.19,13.31,8.94,1028.00,1006.00,1006.00,1028.00
24319,0,0,0.00,0.00,10.26,3.82,0.20,0.00,55.00,10.59,-48.50,1004.00,1030.00,1030.00,1001001.00
24445,0,0,0.00,0.00,2.65,3.87,0.82,0.00,71.06,3.31,-71.19,1000.00,1041043.00,1043.00,1000.00
24660,0,0,0.00,0.00,-14.22,4.23,0.42,0.00,98.50,-13.03,-93.06,1000.00,1061.00,1061.00,1000.00
24913,0,0,0.00,0.00,-31.27,4.25,-0.60,0.00,13.06,-31.65,-26.50,1000.00,1045.00,1045.00,1000.00
25131,0,0,0.00,0.00,-15.28,4.17,0.03,0.00,-139.50,-18.65,131.25,1058.00,1000.00,1000.00,1058.00
25162,0,0,0.00,0.00,-9.68,4.07,0.17,0.00,-144.69,-13.19,143.44,1066.00,1000.00,1000.00,1066.00
25472,0,0,0.00,0.00,20.70,3.50,0.79,0.00,-23.87,19.60,31.19,1040.00,1000.00,1000.00,1040.007.00
25510,0,0,0.00,0.00,20.72,3.50,0.80,0.00,7.06,20.09,8.88,1031.00,1003.00,1003.00,1031.00
26385,0,0,0.00,0.00,-40.87,4.24,-0.74,0.00,8.63,-41.36,-16.19,1000.00,1046.00,1046.00,1000.00
26423,0,0,0.00,0.00,-40.79,4.25,-0.74,0.00,-5.62,-41.59,-0.69,1000.00,1040.00,1040.00,1000.00
26627,0,0,0.00,0.00,-36.33,4.33,-0.50,0.00,-32.69,-37.66,31.50,1009.00,1025.00,1025.00,1009.00
26652,0,0,0.00,0.00,-35.08,4.34,-0.47,0.00,-32.00,-36.40,32.19,1010.00,1024.00,1024.00,1010.00
26846,0,0,0.00,0.00,-31.38,4.32,-0.41,0.00,-8.37,-32.26,11.00,1004.00,1030.00,1030.00,1004.00
27650,0,0,0.00,0.00,-5.31,4.14,0.23,0.00,-17.37,-6.37,23.50,1022.00,1012.00,1012.00,1022.00
27751,0,0,0.00,0.00,-4.79,4.14,0.23,0.00,-1.06,-5.43,2.00,1015.00,1019.0019.00,1019.00,1015.00
27784,0,0,0.00,0.00,-4.82,4.14,0.23,0.00,1.44,-5.49,-0.06,1014.00,1020.00,1020.00,1014.00.00
27814,0,0,0.00,0.00,-4.91,4.14,0.23,0.00,4.25,-5.57,-2.31,1013.00,1021.00,1021.00,1013.00
27890,0,0,0.00,0.00,-5.29,4.14,0.23,0.00,0.75,-5.97,-3.06,1013.00,1021.020.00,1020.00,1014.00
28014,0,0,0.00,0.00,-4.99,4.14,0.23,0.00,-4.37,-5.73,3.69.37,1016.00,1018.00,1018.00,1016.00
28344,0,0,0.00,0.00,-5.58,4.15,0.30,0.00,4.12,-6.20,-4.62,1012.00,1022.00,1022.00,1012.00
28430,0,0,0.00,0.00,-5.77,4.10,0.31,0.00,3.12,-6.44,-1.81,1013.00,1021.00,1021.01021.00,1013.00
28460,0,0,0.00,0.00,-5.96,4.07,0.36,0.00,6.25,-6.55,-4.62,1012.00,1022.00,1022.00,1012.00
28489,0,0,0.00,0.00,-6.25,3.94,0.52,0.00,11.56,-6.74,-8.69,1010.00,1024.00,1024.00,1010.00
28563,-6.91,3.46,0.74,0.00,18.06,-7.29,-13.00,1008.00,1026.00,1026.61,-18.06,1006.00,1028.00,1028.00,1006.00
28800,0,0,0.00,0.00,-10.70,3.30,0.95,0.00,-5.00,-11.47,-0.50,1011.00,1023.00,1023.00,1011.00
28844,0,0,0.00,0.00,-10.40,3.35,0.88,0.00,-13.19,-11.23,7.63,1014.00,1020.00,1020.00,1014.00
29044,0,0,0.00,0.00,-4.54,4.70,1.57,0.0000,9.44,-5.24,-7.81,1011.00,1023.00,1023.00,1011.00
29286,0,0,0.00,0.00,-4.79,4.68,1.61,0.00,-7.75,-5.64,7.75,1017.00,1017.00,1017.00,1017.00
29310,0,0,0.00,0.00,-4.46,4.51,1.61,0.00,-13.44,-5.40,9.25,1017.00,1017.00,1017.00,1017.00
29723,0,0,0.00,0.00,-9.80,4.16,1.69,0.00,-4.00,-10.57,0.31,1012.00,1022.00,1022.00,1012.00
29765,0,0,0.00,0.00,-9.57,4.22,1.66,0.00,-10.19,-10.45,5.50,1014.00,1020.00,1020.00,1014.00
29861,0,0,0.00,0.00,-8.33,4.30,1.56,0.00,-15.19,-9.32,15.94,1018.00,1016.1017.00,1017.00,1017.00
30100,0,0,0.00,0.00,-7.37,4.26,1.58.58,0.00,-0.56,-8.07,-0.56,1013.00,1021.00,1021.00,1013.00
30300,0,0,0.00,0.00,-6.44,4.22,1.58,0.00,-6.75,-7.20,6.75,1016.00,1018.00,1018.00,1016.00
30329,0,0,0.00,0.00,-6.24,4.23,1.58,0.00,-6.37,-7.01,6.75,1016.00,1018.00,1018.00,1016.00
30676,0,0,0.00,0.00,-3.81,4.13,1.51,0.00.00,-4.94,-4.51,7.12,1017.00,1017.00,1017.00,1017.00
30873,0,0,0.00,0.00,-3.95,4.13,1.49,0.00,5.25,-4.55,-4.81,1013.00,1021.00,1021.00,1013.00
30988,0,0,0.00,0.00,-4.42,4.14,1.49,0.00,2.12,-5.08,-2.81,1014.00,1020.00,1020.00,1014.00
31024,0,0,0.00,0.00,-4.48,4.14,1.49,0.00,1.81,-5.16,-2.12,1014.00,1020.00,1020.00,1014.00
31370,0,0,0.00,0.00,-4.20,4.14,1.49,0.00,-0.0.31,-4.90,0.94,1015.00,1019.00,1019.00,1015.00
31585,0,0,0.00,0.00,-4.76,4.14,1.49,0.00,2.69,-5.41,-3.19,1013.00,1021.00,1021.00,1013.00
31683,0,0,0.00,0.00,-4.95,4.15,1.53,0.00,1.69,-5.62,-1.19,1014.00,1020.00,1020.00,1014.00
31719,0,0,0.00,0.00,-5.01,4.15,1.56,0.00,2.25,-5.60,-2.19,1013.00,1021.00,1021.00,1013.00
31799,0,0,0.00,0.00,-5.42,4.15,1.60,0.00,8.50,-6.03,-7.44,1011.00,1023.00,1023.003.00,1011.00
31917,0,0,0.00,0.00,-6.39,4.15,1.53,0.00,5.37,-6.98,-6.50,1011.00.00,1023.00,1023.00,1011.00
32170,0,0,0.00,0.00,-6.44,4.15,1.521.52,0.00,-0.44,-7.14,0.81,1014.00,1020.00,1020.00,1014.00
32274,0,0,0.00,0.00.00,-6.47,4.15,1.52,0.00,1.56,-7.14,-1.19,1013.00,1021.00,1021.00,1013.00
32367,0,0,0.00,0.00,-6.54,4.15,1.52,0.00,0.31,-7.24,-0.56,1013.00,1021.00,1021.00,1013.00
32397,0,0,0.00,0.00,-6.54,4.15,1.52,0.00,-0.25,-7.24,-0.37,1013.00,1021.00,1021.00,1013.00
32491,0,0,0.00,0.00,-6.53,4.15,1.52,0.00,0.13,-7.23,0.50,1014.00,1020.00,1020.00,1014013.00
32530,0,0,0.00,0.00,-6.53,4.15,1.52,0.00,0.56,-7.23,-0.37,1013.00,1021.00,1021.00,1013.00
32617,0,0,0.00,0.00,-6.60,4.15,1.52,0.00,1.44,-7.27,-1.50,1013.00,1021.01.00,1021.00,1013.00
32815,0,0,0.00,0.00,-6.44-6.41,4.15,1.52,0.00,-1.94,-7.14,2.06,1014.00,1020.00,1020.00,1014.00
32958,0,0,0.00,0.00,-6.37.37,4.15,1.52,0.00,0.44,-7.07,-0.94,1013.00,1021.00,1021.00,1013.00
33057,0,0,0.00,0.00,-6.37,4.15,1.52,0.00,-0.31,-7.07,0.25,1014.00,1020.00,1020.00,1014.00
33219,0,0,0.00,0.00,-6.27,4.15,1.52,0.00,0.13,-6.97,0.19,1014.00,1020.00,1020.00,1014.00
33291,0,0,0.00,0.00,-6.38,4.15,1.52,0.00,1.56,-7.05,-1.56,1013.00,1021.00,1021021.00,1013.00
33863,0,0,0.00,0.00,-6.60,3.36,-0.78,0.00,-24.75,-7.55,38.88,1028.00,1006.00,1006.00,1028.00
34324,0,0,0.00,0.00,-4.05,3.59,-0.70,0.00,22.56,-4.29,-18.12,1008.00,1026.00,1026.00,1008.00
34783,0,0,0.00,0.00,-3.95,3.89,1.26,0.00,5.44,-4.55,-2.31,1014.00,1020.00,1020.00,1014.00
35247,0,0,0.00,0.00,-5.76,4.02,1.72,0.00,5.12,-6.37,-3.31,1013.00,1021.00,1021.00,1013.00
35334,0,0,0.00,0.00,-5.88,4.01,1.66,0.00,-2.37,-6.62,1.25,1014.00,1020.00,10201019.00,1015.00
35361,0,0,0.00,0.00,-5.98,4.00,1.68,0.00,4.56,-6.57,-0.88,1013.00,1021.00,1021.00,1013.00
35397,0,0,0.00,0.00,-6.18,4.03,1.64,0.00,6.62,-6.75,-7.19,1011.00,1023.00,1023.00,1011.00
