micros,flip,phase,spf_roll,roll_rlv,roll,spf_r_rate,gxrs,error_roll,error_r_rate,m1,m2,m3,m4
74,0,0,0.00,0.00,-0.77,0.00,-0.37,-1.26,-0.37,1022.00,1022.00,1022.00,1022.00
109,0,0,0.00,0.00,-0.77,0.00,-0.06,-1.26,-0.19,1022.00,1022.00,1022.00,1022.00
177,0,0,0.00,0.00,-0.77,0.00,0.00,-1.26,0.25,1022.00,1022.00,1022.00,1022.00
254,0,0,0.00,0.00,-0.77,0.00,-0.25,-1.26,-0.06,1022.00,1022.00,1022.00,1022.00
275,0,0,0.00,0.00,-0.77,0.00,-0.50,-1.26,-0.44,1022.00,1022.00,1022.00,1022.00
355,0,0,0.00,0.00,-0.77,0.00,-0.31,-1.26,-0.19,1022.00,1022.00,1022.00,1022.00
451,0,0,0.00,0.00,-0.77,0.00,0.00,-1.26,0.19,1022.00,1022.00,1022.00,1022.00
609,0,0,0.00,0.00,-0.77,0.00,0.00,-1.26,-0.06,1022.00,1022.00,1022.00,1022.00
706,0,0,0.00,0.00,-0.77,0.00,0.19,-1.26,0.00,1022.00,1022.00,1022.00,1022.00
927,0,0,0.00,0.00,-0.77,0.00,0.00,-1.26,0.37,1022.00,1022.00,1022.00,1022.00
983,0,0,0.00,0.00,-0.77,0.00,0.44,-1.26,0.13,1,1022.00,1022.00,1022.00
1000,0,0,0.00,0.00,-0.77,0.00,0.06,-1.26,0.37,1022.00,1022.00,1022.00,1022.00
1085,0,0,0.00,0.00,-0.77,0.00,-0.06,-1.26,-0.06,1022.00,1022.00,1022.00,1022.00
1107,0,0,0.00,0.00,-0.77,0.00,0.00,-1.26,0.06,1022.00,1022.00,1022.00,1022.00
1197,0,0,0.00,0.00,-0.77,0.00,-0.13,-1.26,-0.06,1022.00,1022.00,1022.00,1022.00
1358,0,0,0.00,0.00,-0.77,0.00,-0.13,-1.26,0.00,1022.00,1022.00,1022.00,1022.00
1379,0,0,0.00,0.00,-0.77,0.00,-0.13,-1.26,0.00,1022.00,1022.00,1022.00,1022.00
1402,0,0,0.00,0.00,-0.77,0.00,0.06,-1.26,0.00,1022.00,1022.00,1022.00,1022.00
1505,0,0,0.00,0.00,-0.77,0.00,-0.19,-1.26,-0.25,1022.00,1022.00,1022.00,1022.00
1597,0,0,0.00,0.00,-0.77,0.00,-0.25,-1.26,-0.25,1022.00,1022.00,1022.00,1022.00
1700,0,0,0.00,0.00,-0.77,0.00,-0.25,-1.26,0.00,1022.00,1022.00,1022.00,1022.00
1779,0,0,0.00,0.00,-0.77,0.00,-0.19,-1.26,-0.25,1022.00,1022.00,1022.00,1022.00
1800,0,0,0.00,0.00,-0.77,0.00,-0.19,-1.26,-0.06,1022.00,1022.00,1022.00,1022.00
1825,0,0,0.00,0.00,-0.77,0.00,0.00,-1.26,-0.31,1022.00,1022.00,1022.00,1022.00
1925,0,0,0.00,0.00,-0.79,0.00,-0.75,-1.26,-0.44,1022.00,1022.00,1022.00,1022.00
2064,0,0,0.00,0.00,-0.91,0.00,2.75,-1.43,1.81,1022.00,1022.00,1022.00,1022.00
2256,0,0,0.00,0.00,-0.70,0.00,0.25,-1.19,0.06,1022.00,1022.00,1022.00,1022.00
2347,0,0,0.00,0.00,-0.91,0.00,-1.25,-1.39,-1.19,1021.00,1023.00,1023.00,1021.00
2368,0,0,0.00,0.00,-0.93,0.00,-0.37,-1.42,-0.44,1022.00,1022.00,1022.00,1022
2388,0,0,0.00,0.00,-0.96,0.00,-0.94,-1.43,-1.00,1021.00,1023.00,1023.00,1021.00
2464,0,0,0.00,0.00,-1.00,0.00,0.56,-1.49,0.37,1022.00,1022.00,1022.00,1
2483,0,0,0.00,0.00,-0.97,0.00,1.06,-1.48,0.81,1022.00,1022.00,1022.00,1022.00
2582,0,0,0.00,0.00,-0.79,0.00,0.62,-1.29,1.25,1022.00,1022.00,1022.00,1022.00
2654,0,0,0.00,0.00,-0.80,0.00,-0.37,-1.29,-0.37,1022.00,1022.00,1022.00,102
2672,0,0,0.00,0.00,-0.83,0.00,-1.12,-1.30,-0.62,1022.00,1022.00,1022.00,1022.00
2778,0,0,0.00,0.00,-1.02,0.00,0.06,-1.51,-0.19,10,1022.00,1022.00,1022.00
2807,0,0,0.00,0.00,-1.02,0.00,0.13,-1.51,0.06,1022.00,1022.00,1022.00,1022.00
2911,0,0,0.00,0.00,-0.86,0.00,2.56,-1.40,2.00,1022.00,1022.00,1022.00,1022.00
2937,0,0,0.00,0.00,-0.77,0.00,1.75,-1.28,2.19,1022.00,1022.00,1022.00,1022.00
2955,0,0,0.00,0.00,-0.73,0.00,1.25,-1.23,1.75,1022.00,1022.00,1022.00,1022.00
3032,0,0,0.00,0.00,-0.72,0.00,-0.56,-1.21,-0.44,1022.00,1022.00,1022.00,1022.00
3149,0,0,0.00,0.00,-0,0.00,-0.81,-1.32,-1.12,1021.00,1023.00,1023.00,1021.00
3277,0,0,0.00,0.00,-0.86,0.00,-0.94,-1.34,-0.56,1022.00,1022.00,1022.00,1022.00
3422,0,0,0.00,0.00,-0.93,0.00,-0.62,-1.42,-0.62,1021.00,1023.00,1023.00,1021.00
3607,0,0,0.00,0.00,-0.34,0.00,3.94,-0.88,4.44,1023.00,1021.00,1021.00,1023.00
3769,0,0,0.00,0.00,-0.46,0.00,-3.50,-0.92,-3.00,1021.00,1023.00,1023.00,1021.00
3810,0,0,0.00,0.00,-0.67,0.00,-4.56,-1.12,-4.50,1020.00,1024.00,1024.00,1020
3839,0,0,0.00,0.00,-0.81,0.00,-4.81,-1.21,-4.81,1020.00,1024.00,1024.00,1020.00
3996,0,0,0.00,0.00,-1.31,0.00,-2.62,-1.01,-3.12,1021.00,1023.00,1023.00,1021.00
4039,0,0,0.00,0.00,-1.34,0.00,0.94,-1.84,-0.69,1021.00,1023.00,1023.00,1021.00
4061,0,0,0.00,0.00,-1.27,0.00,2.94,-1.81,2.00,1022.00,1022.00,1022.00,1022.00
4156,0,0,0.00,0.00,-0.87,0.00,4.94,-1.45,4.94,1023.00,1021.00,1021.1021.00,1023.00
4181,0,0,0.00,0.00,-0.71,0.00,5.25,-1.30,5.25,1023.00,1021.00,1021.00,1023.00
4299,0,0,0.00,0.00,-0.24,0.00,1.37,-0.74,2.37,1022.00,1022.00,1022.00,1
4328,0,0,0.00,0.00,-0.27,0.00,-1.25,-0.73,-0.37,1022.00,1022.00,1022.00,1022.00
4514,0,0,0.00,0.00,-0.90,0.00,-4.94,-1.34,-5.12,.00,1024.00,1024.00,1020.00
4770,0,0,0.00,0.00,-0.99,0.00,4.37,-1.56,3.62,1022.00,1022.00,1022.00,1022.00
4868,0,0,0.00,0.00,-0.64,0.00,3.06,-1.19,3.56,1022.0022.00,1022.00,1022.00,1022.00
5109,0,0,0.00,0.00,-0.81,0.00,-3.56,-1.27,-3.44,1020.00,1024.00,1024.00,1020.00
5257,0,0,0.00,0.00,-1.32,0.00,-2.56,-1.77,-3.06,1020.00,1024.00,1024.00,1020.00
5331,0,0,0.00,0.00,-1.35,0.00,0.81,-1.85,0.13,1022.00,1022.00,1022.00,1022.00
5458,0,0,0.00,0.00,-1.04,0.00,4.87,-1.61,3.62,1022.00,1022.00,1022.00,1022.00
5604,0,0,0.00,0.00,-0.29,0.00,3.50,-0.85,4.31,1023.00,1021.00,1021.00,1023.00
5648,0,0,0.00,0.00,-0.22,0.00,0.94,-0.72,1.31,1022.00,1022.00,1022.00,1022.00
5667,0,0,0.00,0.00,-0.23,0.00,-1.19,-0.71,-0.50,1022.00,1022.00,1022.00,1022.00
5907,0,0,0,0.00,-1.05,0.00,-2.87,-1.49,-3.06,1020.00,1024.00,1024.00,1020.00
6023,0,0,0.00,0.00,-1.89,0.00,-13.81,-2.25,-12.63,1016.00,1028.00,1028.00,1016.00
6111,0,0,0.00,0.00,-3.06,0.00,-13.69,-3.28,-14.69,1015.00,1029.00,1029.00,1015.00
6140,0,0,0.00,0.00,-3.33,0.00,-6.19,-3.76,-12.06,1016.00,1028.00,1028.00,1016.00
6357,0,0,0,0.00,-0.23,0.00,21.87,-1.16,24.81,1031.00,1013.00,1013.00,1031.00
6482,0,0,0.00,0.00,1.31,0.00,4.06,0.71,9.13,1026.00,1018.00,1018.00,1026.00
6815,0,0,0.00,0.00,-1.27,0.00,16.25,-2.04,5,1027.00,1017.00,1017.00,1027.00
6874,0,0,0.00,0.00,0.17,0.00,30.06,-0.89,26.12,1031.00,1013.00,1013.00,1031.00
7076,0,0,0.00,0.00,2.74,0.00,-10.06,2.39,-1.75,1022.00,1022.00,1022.00,1022.00
7230,0,0,0.00,0.00,-1.71,0.00,-52.31,-1.70,-47.50,1003.00,1041.00,1041.00,1003.00
7349,0,0,0.00,0.00,-1.09,0.00,-0.88,-1.57,12.31,100,1028.00,1028.00,1016.00
7448,0,0,0.00,0.00,-0.25,0.00,33.69,-1.07,29.25,1032.00,1012.00,1012.00,1032.00
7495,0,0,0.00,0.00,0.45,0.00,3.56,-0.14,11.44,1026.00,1018.00,1018.00,1026.00
7647,0,0,0.00,0.00,1.01,0.00,3.94,0.49,8.63,1025.00,1019.00,1019.00,1025.00
7740,0,0,0.00,0.00,-0.39,0,2.25,-0.88,-5.44,1020.00,1024.00,1024.00,1020.00
7782,0,0,0.00,0.00,-0.54,0.00,-8.37,-0.82,-3.00,1021.00,1023.00,1023.00,1021.00
7885,0,0,0.00,0.00,-1.92,0.00,-19.06,-2.23,-23.25,1012.00,1032.00,1032.00,1012.00
8023,0,0,0.00,0.00,-2.33,0.00,-5.44,-2.76,-8.88,1017.00,1027.00,1027.00,1017.00
8209,0,0,0.00,0.00,-0.32,0.00,19.37,-1.00,9.56,1025.00,1019.00,1019.00,1025.00
8368,0,0,0.00,0.00,0.39,0.00,0.88,-0.09,-4.06,1021.00,1023.00,1023.00,1021.00
8406,0,0,0.00,0.00,0.54,0.00,3.50,0.02,4.75,1023.00,1021.00,1021.00,1023.00
8786,0,0,0.00,0.00,-1.85,0.00,2.31,-2.36,3.19,1022.00,1022.00,1022.00,1022.00
8954,0,0,0.00,0.00,-0.30,0.00,11.75,-0.90,14.38,1027.00,1017.00,1017.00,1027.00
9012,0,0,0.00,0.00,0.13,0.00,6.62,-0.47,4.31,1023.00,1021.00,1021.00,1023.00
9132,0,0,0.00,0.00,0.46,0.00,-9.50,0.13,-4.44,1021.00,1023.00,1023.00,1021.00
9248,0,0,0.00,0.00,-0.48,0.00,-11.19,-0.76,-7.87,1019.00,100,1026.00,1018.00
9358,0,0,0.00,0.00,-1.81,0.00,-6.25,-2.20,-9.31,1018.00,1026.00,1026.00,1018.00
9570,0,0,0.00,0.00,-1.57,0.00,13.44,-2.20,12.25,1025.00,1019.00,1019.00,1025
9598,0,0,0.00,0.00,-1.20,0.00,12.13,-1.81,12.81,1026.00,1018.00,1018.00,1026.00
9856,0,0,0.00,0.00,0.41,0.00,-3.62,-0.05,-4.69,1021.00,1023.00,1023.00,1021.00
9932,0,0,0.00,0.00,0.08,0.00,-6.50,-0.26,-5.37,1020.00,1024.00,1024.00,1020.00
10054,0,0,0.00,0.00,-1.05,0.00,-12.5,-1.54,-12.19,1017.00,1027.00,1027.00,1017.00
10098,0,0,0.00,0.00,-1.52,0.00,-6.62,-1.94,-7.37,1018.00,1026.00,1026.00,1018.00
10171,0,0,0.00,0.00,-2.03,0.00,-6.19,-2.40,-6.94,1018.00,1026.00,1026.00,1018.00
10484,0,0,0.00,0.00,0.28,0.00,7.25,-0.28,11.00,1026.00,1018.00,1018.00,0
10513,0,0,0.00,0.00,0.41,0.00,3.62,-0.12,5.62,1024.00,1020.00,1020.00,1024.00
10624,0,0,0.00,0.00,0.40,0.00,-3.69,-0.02,-1.50,1022.00,1022.00,1022.00,1022.00
10733,0,0,0.00,0.,-0.68,0.00,-11.38,-0.95,-11.75,1017.00,1027.00,1027.00,1017.00
10857,0,0,0.00,0.00,-1.73,0.00,-9.13,-2.05,-9.75,1017.00,1027.00,1027.00,1017.00
11014,0,0,0.00,0.00,-1.67,0.00,5.19,-2.26,4.87,1022.00,1022.00,1022.00,1022.00
11082,0,0,0.00,0.00,-1.15,0.00,10.31,0.85,8.56,1025.00,1019.00,1019.00,1025.00
11222,0,0,0.00,0.00,0.11,0.00,7.19,-0.44,7.69,1021.00,1017.00,1017.00,1021.00
11357,0,0,0.00,0.00,0.44,0.00,-4.00,-0.01,-0.88,1017.00,1017.00,1017.00,1017.00
11401,0,0,0.00,0.00,0.17,0.00,-8.63,-0.24,-7.94,1014.00,1020.00,1020.00,1014.00
11423,0,0,0.00,0.00,-0.21,0.00,-10.00,-0.50,-9.63,1013.00,1021.00,1021.00,1013.00
11572,0,0,0.00,0.00,-1.36,0.00,-10.38,-1.64,-10.50,1012.00,1022.00,1022.00,100
11602,0,0,0.00,0.00,-1.64,0.00,-9.75,-2.01,-10.38,1010.00,1020.00,1020.00,1010.00
11642,0,0,0.00,0.00,-1.95,0.00,-5.12,-2.36,-6.19,1012.00,1018.00,1018.00,1012.00
11665,0,0,0.00,0.00,-2.00,0.00,-1.87,-2.55,-3.06,1013.00,1017.00,1017.00,1013.00
11796,0,0,0.00,0.00,-1.54,0.00,5.75,-2.23,5.37,1015.00,1015.00,1015.00,1015.00
11892,0,0,0.00,0.00,-0.60,0,11.19,-1.09,12.50,1019.00,1011.00,1011.00,1019.00
11939,0,0,0.00,0.00,-0.03,0.00,9.25,-0.70,9.19,1018.00,1012.00,1012.00,1018.00
12113,0,0,0.00,0.00,0.40,0.00,-4.37,-0.01,-1.81,1012.00,1012.00,100,1011.00
12139,0,0,0.00,0.00,0.22,0.00,-7.31,-0.14,-5.31,1010.00,1014.00,1014.00,1010.00
12242,0,0,0.00,0.00,-0.85,0.00,-10.13,-1.22,-9.50,1008.00,100,1016.00,1008.00
