micros,flip,phase,spf_roll,roll_abs,roll,spf_r_rate,gxrs,error_roll,error_r_rate,m1,m2,m3,m4
20,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
41,0,0,0.00,0.00,0.00,0.00,0.00,105.00,0.00,1000.00,1000.00,1000.00,1000.00
63,0,0,0.00,0.00,0.00,0.00,0.00,105.00,0.00,1000.00,1000.00,1000.00,1000.00
84,0,0,0.00,0.00,0.00,0.00,0.00,-0.63,0.00,1022.00,1022.00,1022.00,1022.00
104,0,0,0.00,0.00,0.00,0.00,0.00,-0.56,0.00,1022.00,1022.00,1022.00,1022.00
124,0,0,0.00,0.00,0.00,0.00,0.00,-0.56,0.00,1022.00,1022.00,1022.00,1022.00
144,0,0,0.00,0.00,0.00,0.00,0.00,-0.63,0.00,1022.00,1022.00,1022.00,1022.00
164,0,0,0.00,0.00,0.00,0.00,0.00,-0.56,0.00,1022.00,1022.00,1022.00,1022.00
185,0,0,0.00,0.00,0.00,0.00,0.00,-0.56,0.00,1022.00,1022.00,1022.00,1022.00
204,0,0,0.00,0.00,0.00,0.00,0.00,-0.56,0.00,1022.00,1022.00,1022.00,1022.00
226,0,0,0.00,0.00,0.00,0.00,0.00,-0.56,0.00,1022.00,1022.00,1022.00,1022.00
248,0,0,0.00,0.00,0.00,0.00,0.00,-0.63,0.00,1022.00,1022.00,1022.00,1022.00
269,0,0,0.00,0.00,0.00,0.00,0.00,-0.63,0.00,1022.00,1022.00,1022.00,1022.00
290,0,0,0.00,0.00,0.00,0.00,0.00,-0.56,0.00,1022.00,1022.00,1022.00,1022.00
310,0,0,0.00,0.00,0.00,0.00,0.00,-0.63,0.00,1022.00,1022.00,1022.00,1022.00
332,0,0,0.00,0.00,0.00,0.00,0.00,-0.63,0.00,1022.00,1022.00,1022.00,1022.00
354,0,0,0.00,0.00,0.00,0.00,0.00,-0.63,0.00,1022.00,1022.00,1022.00,1022.00
376,0,0,0.00,0.00,0.00,0.00,0.00,-0.63,0.00,1022.00,1022.00,1022.00,1022.00
402,0,0,0.00,0.00,0.00,0.00,0.00,-0.63,0.00,1022.00,1022.00,1022.00,1022.00
423,0,0,0.00,0.00,0.00,0.00,0.00,-0.56,0.00,1022.00,1022.00,1022.00,1022.00
450,0,0,0.00,0.00,0.00,0.00,0.00,-0.56,0.00,1022.00,1022.00,1022.00,1022.00
475,0,0,0.00,0.00,0.00,0.00,-3.81,-0.56,0.00,1022.00,1022.00,1022.00,1022.00
499,0,0,0.00,0.00,0.00,0.00,-3.81,-0.56,-3.81,1021.00,1023.00,1023.00,1021.00
525,0,0,0.00,0.00,0.00,0.00,-7.94,-0.56,-3.81,1021.00,1023.00,1023.00,1021.00
550,0,0,0.00,0.00,0.00,0.00,-7.63,-0.56,-7.94,1019.00,1025.00,1025.00,1019.00
575,0,0,0.00,0.00,-0.03,0.00,-6.44,-0.56,-7.63,1019.00,1025.00,1025.00,1019.00
598,0,0,0.00,0.00,-0.13,0.00,-5.62,-0.59,-6.44,1020.00,1024.00,1024.00,1020.00
618,0,0,0.00,0.00,-1.36,0.00,-3.62,-0.69,-5.62,1020.00,1024.00,1024.00,1020.00
643,0,0,0.00,0.00,-1.39,0.00,-2.62,-1.99,-3.62,1020.00,1024.00,1024.00,1020.00
665,0,0,0.00,0.00,-1.39,0.00,-0.50,-1.95,-2.62,1020.00,1024.00,1024.00,1020.00
688,0,0,0.00,0.00,-1.38,0.00,0.06,-1.95,-0.50,1021.00,1023.00,1023.00,1021.00
710,0,0,0.00,0.00,-1.37,0.00,1.69,-2.01,0.06,1021.00,1023.00,1023.00,1021.00
732,0,0,0.00,0.00,-1.31,0.00,2.69,-2.00,1.69,1022.00,1022.00,1022.00,1022.00
753,0,0,0.00,0.00,-1.28,0.00,3.62,-1.94,2.69,1022.00,1022.00,1022.00,1022.00
776,0,0,0.00,0.00,-1.18,0.00,4.56,-1.91,3.62,1022.00,1022.00,1022.00,1022.00
797,0,0,0.00,0.00,-1.12,0.00,6.12,-1.81,4.56,1022.00,1022.00,1022.00,1022.00
816,0,0,0.00,0.00,-1.05,0.00,7.12,-1.75,6.12,1023.00,1021.00,1021.00,1023.00
994,0,0,0.00,0.00,0.88,0.00,-0.62,0.33,0.19,1022.00,1022.00,1022.00,1022.00
1087,0,0,0.00,0.00,0.24,0.00,-8.13,-0.16,-7.81,1019.00,1025.00,1025.00,1019.00
1167,0,0,0.00,0.00,-0.90,0.00,-5.06,-1.43,-6.56,1019.00,1025.00,1025.00,1019.00
1197,0,0,0.00,0.00,-1.04,0.00,-2.69,-1.65,-3.25,1020.00,1024.00,1024.00,1020.00
1289,0,0,0.00,0.00,-0.79,0.00,6.19,-1.48,5.69,1023.00,1021.00,1021.00,10231023.00
1313,0,0,0.00,0.00,-0.58,0.00,7.56,-1.28,7.19,1024.00,1020.00,1020.00,1024.00
1402,0,0,0.00,0.00,0.44,0.00,7.87,-0.20,8.94,1025.00,1019.00,1019.00,1025.00
1466,0,0,0.00,0.00,0.96,0.00,1.19,0.31,2.25,1023.00,1021.00,1021.00,1023.00
1678,0,0,0.00,0.00,-0.77,0.00,-1.81,-1.30,-2.56,1021.00,1023.00,1023.00,1021.00
1845,0,0,0.00,0.00,0.62,0.00,7.00,-0.01,7.63,1025.00,1019.00,1019.00,1025.00
1910,0,0,0.00,0.00,0.95,0.00,0.00,0.32,0.50,1022.00,1022.00,1022.00,1022.00
1980,0,0,0.00,0.00,0.51,0.00,-6.00,-0.06,-5.94,1020.00,1024.00,1024.00,1020.00
2105,0,0,0.00,0.00,-0.52,0.00,-1.75,-1.04,-2.69,1021.00,1023.00,1023.00,1021.00
2194,0,0,0.00,0.00,-0.13,0.00,5.62,-0.87,5.25,1023.00,1021.00,1021.00,1023.00
2218,0,0,0.00,0.00,0.12,0.00,6.87,-0.64,6.19,1024.00,1020.00,1020.00,1024.00
2287,0,0,0.00,0.00,0.60,0.00,6.25,-0.02,6.75,1024.00,1020.00,1020.00,1024.00
2324,0,0,0.00.00,0.00,0.93,0.00,3.75,0.26,3.81,1023.00,1021.00,1021.00,1023.00
2364,0,0,0.00,0.00,1.02,0.00,0.69,0.44,2.06,1023.00,1021.00,1021.00,1023.00
2391,0,0,0.00,0.00,0.99,0.00,-1.75,0.38,-0.31,1022.00,1022.00,1022.00,1022.00
2480,0,0,0.00,0.00,0.32,0.00,-5.87,-0.20,-5.75,1020.00,1024.00,1024.00,1020.00
2532,0,0,0.00,0.00,-0.11,0.00,-4.06,-0.59,-,1021.00,1023.00,1023.00,1021.00
2642,0,0,0.00,0.00,-0.2-0.18,0.00,2.44,-0.83,1.50,1022.00,1022.00,1022.00,1022.00
2682,0,0,0.00,0.00,0.01,0.00,3.87,-0.64,3.56,1023.00,1021.00,1021.00,1023.00
2708,0,0,0.00,0.00,0.22,0.00,5.87,-0.46,5.44,1023.00,1021.00,1021.00,1023.00
2958,0,0,0.00,0.00,0.57,0.00,-4.62,0.03,-4.87,1021.00,1023.00,1023.00,1021.00
3109,0,0,0.00,0.00,0.19,0.00,3.31,-0.47,2.62,1022.00,1022.00,1022.00,1022.00
3185,0,0,0.00,0.00,0.74,0.00,5.06,0.01,5.12,1024.00,1020.00,1020.00,1024.00
3218,0,0,0.00,0.0.00,1.03,0.00,3.50,0.40,4.25,1023.00,1021.00,1021.00,1023.00
3256,0,0,0.00,0.00,1.13,0.00,2.37,0.55,2.50,1023.00,1021.00,1021.00,1023.00
3283,0,0,0.00,0.00,1.15,0.00,0.62,0.60,1.19,1022.00,1022.00,1022.00,1022.00
3462,0,0,0.00,0.00,0.28,0.00,-2.75,-0.21,-3.19,1021.00,1023.00,1023.00,1021.00
3535,0,0,0.00,0.00,0.15,0.00,0.31,-0.40,-0.500.31,1022.00,1022.00,1022.00,1022.00
3653,0,0,0.00,0.00,0.56,0.00,4.37,-0.11,4.44,1023.00,1021.00,1021.00,1023.00
3729,0,0,0.00,0.00,0.92,0.00,2.69,0.32,3.06,1023.00,1021.00,1021.00,1023.00
