millis,armed,fp,roll,pitch,yaw,mfr,gx,spr,err_roll,u2
10882,0,0,0.00,0.00,0.00,0.00,0.00,-105.00,105.00,-0.000029
10898,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.000000
10912,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.000000
10943,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.000000
10958,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.000000
10972,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.000000
11000,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.000000
11014,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.000000
11030,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.000000
11045,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.000000
11068,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.000000
11083,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.000000
11123,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.000000
11137,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.000000
11152,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.000000
11166,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.000000
11195,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.000000
11226,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.000000
11262,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.000000
11274,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.000000
11291,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.000000
11303,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.000000
11316,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.000000
11351,0,0,0.00,0.00,0.00,0.00,-2.56,0.00,0.00,-0.000000
11362,0,0,0.00,0.00,0.00,0.00,-6.19,0.00,0.00,-0.000001
11382,0,0,0.00,0.00,0.00,0.00,-4.37,0.00,0.00,-0.000001
11393,0,0,0.00,0.00,0.00,0.00,-0.13,0.00,0.00,-0.000000
11422,0,0,0.03,-0.06,0.00,0.00,-0.62,0.00,0.03,-0.000000
11457,0,0,0.13,-0.05,-0.00,0.00,-3.00,0.00,0.13,-0.000001
11472,0,0,0.22,-0.06,-0.00,0.00,-10.63,0.00,0.22,-0.000002
11490,0,0,0.36,-0.06,-0.00,0.00,-13.25,0.00,0.36,-0.000003
11504,0,0,0.62,-0.06,0.01,0.00,-12.81,0.00,0.62,-0.000003
11526,0,0,0.71,-0.06,0.01,0.00,-10.19,0.00,0.71,-0.000002
11577,0,0,0.85,-0.09,0.01,0.00,-8.13,0.00,0.85,-0.000002
11594,0,0,0.90,-0.09,0.01,0.00,-5.19,0.00,0.90,-0.000001
11608,0,0,0.95,-0.08,0.01,0.00,-4.62,0.00,0.95,-0.000001
11622,0,0,1.07,-0.06,0.01,0.00,-5.56,0.00,1.07,-0.000001
11650,0,0,1.16,-0.08,0.01,0.00,-9.06,0.00,1.16,-0.000002
11664,0,0,1.39,-0.09,0.02,0.00,-12.75,0.00,1.39,-0.000003
11697,0,0,1.52,-0.09,0.02,0.00,-13.00,0.00,1.52,-0.000003
11715,0,0,1.64,-0.09,0.02,0.00,-12.00,0.00,1.64,-0.000003
11746,0,0,1.78,-0.10,0.02,0.00,-5.56,0.00,1.78,-0.000002
11763,0,0,1.80,-0.10,0.02,0.00,-2.50,0.00,1.80,-0.000001
11778,0,0,1.80,-0.08,0.02,0.00,0.00,0.00,1.80,-0.000000
11811,0,0,1.81,-0.08,0.02,0.00,-0.88,0.00,1.81,-0.000001
11826,0,0,1.83,-0.09,0.02,0.00,-1.87,0.00,1.83,-0.000001
11842,0,0,1.90,-0.11,0.02,0.00,-4.25,0.00,1.90,-0.000001
11858,0,0,1.94,-0.10,0.02,0.00,-4.69,0.00,1.94,-0.000001
11886,0,0,1.99,-0.08,0.02,0.00,-4.25,0.00,1.99,-0.000001
11919,0,0,2.02,-0.08,0.02,0.00,-0.62,0.00,2.02,-0.000001
11936,0,0,2.00,-0.08,0.02,0.00,2.25,0.00,2.00,-0.000000
11951,0,0,1.94,-0.08,0.02,0.00,5.37,0.00,1.94,0.000000
11964,0,0,1.78,-0.08,0.02,0.00,8.81,0.00,1.78,0.000001
11984,0,0,1.71,-0.08,0.02,0.00,8.19,0.00,1.71,0.000001
12033,0,0,1.64,-0.08,0.02,0.00,6.56,0.00,1.64,0.000001
12065,0,0,1.56,-0.08,0.02,0.00,3.44,0.00,1.56,0.000000
12077,0,0,1.53,-0.07,0.02,0.00,3.31,0.00,1.53,0.000000
12092,0,0,1.44,-0.08,0.02,0.00,5.31,0.00,1.44,0.000001
12106,0,0,1.37,-0.08,0.02,0.00,7.12,0.00,1.37,0.000001
12119,0,0,1.29,-0.08,0.02,0.00,9.31,0.00,1.29,0.000001
12156,0,0,1.06,-0.07,0.02,0.00,11.13,0.00,1.06,0.000002
12171,0,0,0.94,-0.06,0.02,0.00,12.44,0.00,0.94,0.000002
12186,0,0,0.83,-0.06,0.02,0.00,11.38,0.00,0.83,0.000002
12200,0,0,0.73,-0.06,0.02,0.00,9.50,0.00,0.73,0.000002
12223,0,0,0.62,-0.06,0.02,0.00,5.06,0.00,0.62,0.000001
12264,0,0,0.57,-0.06,0.02,0.00,4.06,0.00,0.57,0.000001
12277,0,0,0.53,-0.06,0.02,0.00,4.06,0.00,0.53,0.000001
12294,0,0,0.42,-0.06,0.02,0.00,6.50,0.00,0.42,0.000001
12309,0,0,0.34,-0.06,0.02,0.00,7.87,0.00,0.34,0.000001
12337,0,0,0.26,-0.05,0.02,0.00,8.94,0.00,0.26,0.000002
