micros,flip,phase,spf_roll,roll_rlv,roll_abs,roll,spf_r_rate,gxrs,m1,m2,m3,m4
183,0,0,0.00,0,0.00,1059.42,-0.46,0.06,1018.00,1019.00,1028.00,1027.00
465,0,0,0.00,0.00,1059.42,-0.46,0.00,1018.00,1019.00,00,1028.00,1027.00
606,0,0,0.00,0.00,1059.42,-0.46,0,0.06,1018.00,1019.00,1028.00,1027.00
756,0,0,0.00,00,0.00,1059.42,-0.46,-0.31,1018.00,1019.00,1028.00,1027.00
996,0,0,0.00,0.00,1059.42,-0.46,-0.13,1,1019.00,1020.00,1029.00,1028.00
1091,0,0,0.00,0.00,1059.42.00,1059.42,-0.46,-0.19,1019.00,1020.00,1029.00,1028.00
1146,0,0,0.00,00,0.00,1059.42,-0.46,-0.13,1019.00,1020.00,1029.00,1028.00
1424,0,0,0.00,0.00,1059.42,-0.46,0.19,1019.00,10,1020.00,1029.00,1028.00
1817,0,0,0.00,0.00,1059.42,-0.46,-0.06,1017.00,1018.00,1,1027.00,1026.00
2455,0,0,0.00,0.00,1059.42,.42,-0.63,-0.19,1059.00,1060.00,1069.00,1068.00
2784,0,0,0.00,0.00,1059.42,-0.54,-0.56,1227.00,1227.00,1235.00,100,1256.00
2918,0,0,0.00,0.00,1059.42,-0.53,1.37,1,1331.00,1329.00,1337.00,1339.00
3548,0,0,0.00,0.00,1059.42,-0.04,0.44,1465.00,1464.00,1472.00,0,1472.00
3946,0,0,0.00,0.00,1059.42,0.44,4.56,1539..00,1548.00,1543.00,1550.00,1555.00
4408,0,0,0.00,0.00,1059.42,0.9559.42,1.03,8.50,1592.00,1584.00,1592.00,1600.00
6013,0,0,0.00,0.00,1059.42,0.87,4.00,1648.00,1643.00,16643.00,1654.00,1658.00
6551,1,1,3.57,-0.02,1059.40,3,0.49,13.13,1510.00,1782.00,1792.00,1520.00
7178,1,3,315.3,321.23,185.01,1244.43,-77.07,1047.19,1963.00,1350.00,1339.00,1952.00
7471,1,0,0.00,0.00,1332.06,21.13,-494.69,1435.00,1800.00,1800.00,1800.00,1446.00
7692,1,0,0.00,0.00,1332.06,-13.43,299.62,1736.00,1560.00,1566.00,1742.0,1797.00
7928,1,0,0.00,0.00,1332.06,32.06,-0.05,-185.00,1566.00,1729.00,1733.00,1576.00
8390,1,0,0.00,0.00,1332.06,0.07,-5.03,-31.13,1629.00,1665.00,1674.00,1636.00
8609,1,0,0.00,0.00,1332.06,-1.96,59.75,1673.00,1622.00,1628.00,1680.00,00
8851,1,0,0.00,0.00,1332.06,0.66,-47.00,1633.00,1655.00,4.00,1675.00,1627.00
9087,1,0,0.00,000,0.00,1332.06,-1.74,28.25,1660.00,1635.00,1642.00,1667.00
9465,1,0,0.00,0.00,1332.06,-2.08,-16.37,1638.005.38,1638.00,1655.00,1665.00,1647.00
9543,1,0,0.00,0.00,1332.06,-2.37,4,5.06,1649.00,1647.00,1654.00,1654.00
9775,1,0,0.0,0.00,0.00,1332.06,-0.52,1.69,1646.00,1647.00,1656.00,1655.00
10486,1,0,0.00,.00,0.00,1332.06,-1.08,-3.50,1147.00,1153.00,1162.00,1155.00
11152,0,0,0.00,0.00,100,1332.06,-1.14,-7.75,1006.00,1013.00,1022.00,1015.00
