millis,armed,roll,pitch,yaw,gx,gy,gz,err_roll,err_pitch,err_yaw,m1,m2,m3,m4
148,0,-0.71,-2.15,-0.01,-0.13,0.190.06,0.00,-0.71,-2.15,-0.01,1001.00,1001.00,1000.00,1000.00
274,0,-0.71,-2.15,-0.01,-0.13,-0.19,0.00,-0.71,-2.15,-0.01,1001.00,1001.00,1000.00,1000.00
362,0,-0.71,-2.15,-0.01,0.25,0.06,0.06,-0.71,-2.15,-0.01,1001.00,1002.00,1000.00,1000.00
382,0,-0.71,-2..15,-0.01,0.13,0.25,0.00,-0.71,-2.15,-0.01,1001.00,1002.00,1000.00,1000.00
408,0,-0.71,-2.15,-0.01,0.13,0.31,-0.06,-0.71,-2.15,-0.01,1001.00,1001.00,1000.00,1000.00
427,0,-0.71,-2.15,-0.01,0.06,0.25,0.06,-0.71,-2.15,-0.01,1001.00,1001.00,1000.00,1000.00
447,0,-0.71,-2.15,--0.01,0.00,0.25,0.00,-0.71,-2.15,-0.01,1001.00,1001.00,1000.00,1000.00
488,0,-0.71,-2.15,-0.01,-0.06,0.31,0.19,-0.71,-2.15,-0.01,1001.00,1001.00,1000.00,1000.00
510,0,-0.71,-2.15,-0.01,0.19,0.31,0.06,-0.71,-2.15,-0.01,1001.00,1001.00,1000.00,1000.00
564,0,-0.71,-2.15,-0.01,0.06,0.13,-0.06,-0.71,-2.15,-0.01,1001.00,1001.00,1000.00,1000.00
589,0,-0.71,-2.15,-0..01,0.13,0.06,-0.06,-0.71,-2.15,-0.01,1001.00,1001.00,1000.00,1000.00
638,0,-0.71,-2.15,-0.01,0.06,-0.25,-0.06,-0.71,-2.15,-0.01,1001.00,1002.00,1000.00,1000.00
700,0,-0.71,-2.15,-0.01,-0.06,-0.13,0.06,-0.71,-2.15,-0.01,1001.00,1002.00,1000.00,1000.000.00
726,0,-0.71,-2.15,-0.01,0.00,-0.31,-0.19,-0.71,-2.15,-0.01,1001.00,1002.00,1000.00,1000.00
751,0,-0.7171,-2.15,-0.01,0.00,-0.06,-0.06,-0.71,-2.15,-0.01,1001.00,1002.00,1000.00,1000.00
799,0,-0.71,-2.15,-0.01,-0.13,-0.06,-0.19,-0.71,-2.15,-0.01,1001.00,1002.00,1000.00,1000.00
851,0,-0.71,-2.15,-0.01,0.06,0.13,0.13,-0.71,-2.15,-0.01,1001.00,1001.00,1000.000.00,1000.00
872,0,-0.71,-2.15,-0.01,-0.13,0.06,-0.06,-0.71,-2.15,-0.01,1001.00,1001.00,1000.00,1000.00
