millis,armed,roll,pitch,yaw,gx,gy,gz,err_roll,err_pitch,err_yaw,m1,m2,m3,m4
10315,0,-0.19,-2.97,-0.34,-0.37,4.37,-0.31,-0.19,-2.97,-0.34,1001.00,1001.00,1000.00,1000.00
10813,0,-0.23,-2.78,-0.40,-0.31,-3.75,0.00,-0.23,-2.78,-0.40,1003.00,1003.00,1000.00,1000.00
53,0,-0.23,-2.86,-0.40,-0.25,-0.69,0.00,-0.23,-2.86,-0.40,1002.00,1002.00,1000.00,1000.00
10893,0,-0.23,-2.83,-0.40,-0.44,1.62,0.00,-0.23,-2.83,-0.40,1001.00,1001.00,1000.00,1000.00
11273,0,-0.22,-2.10,-0.40,-0.13,-4.62,0.19,-0.22,-2.10,-0.40,1002.00,1002.00,1000.00,1000.00
13,0,-0.22,-2.29,-0.40,-0.31,-4.94,0.19,-0.22,-2.29,-0.40,1003.00,1003.00,1000.00,1000.00
11353,0,-0.22,-2.50,-0.40,-0.25,-5.06,0.19,-0.22,-2.50,-0.40,1003.00,1003.00,1000.00,1000.00
11732,0,-0.22,-1.87,-0.40,-0.44,1.87,-0.06,-0.22,-1.87,-0.40,1000.00,1000.00,1000.00,1000.00
11752,0,-.22,-1.86,-0.40,0.06,-0.62,0.00,-0.22,-1.86,-0.40,1001.00,1001.00,1000.00,1000.00
11811,0,-0.22,-1.92,-0.40,-0.13,-1.94,0.00,-0.22,-1.92,-0.40,1001.00,1002.00,1000.00,1000.00
12271,0,-0.21,-1.98,-0.40,-0.19,3.31,-0.06,-0.21,-1.98,-0.40,1000.00,1000.00,1000.00,1000.00
12847,0,-0.20,-2.07,-0.40,-0.06,3.44,-0.19,-0.20,-2.07,-0.40,1000.00,1000.00,1000.00,1000.00
13227,0,-0.20,-2.52,-0.40,-0.50,-0.75,0.00,-0.20,-2.52,-0.40,1002.00,1002.00,1000.00,1000.00
13307,0,-0.20,-2.47,-0.40,-0.19,2.06,-0.06,-0.20,-2.47,-0.40,1001.00,1001.00,1000.00,1000.00
13766,0,-0.20,-2.39,-0.40,-0.06,-2.19,0.06,-0.20,-2.39,-0.40,1002.00,1002.00,1000.00,1000.00
14225,0,-0.20,-2.04,-0.40,-0.19,-2.87,0.00,-0.20,-2.04,-0.40,1002.00,1002.00,1000.00,1000.00
14723,0,-0.20,-1.89,-0.40,-0.19,0.44,0.00,-0.20,-1.89,-0.40,1001.00,1001.00,1000.00,1000.00
14802,0,-0.20,-1.97,-0.40,-0.56,-1.69,-0.06,-0.20,-1.97,-0.40,1001.00,1001.00,1000.00,1000.00
15201,0,-0,-2.06,-0.40,-0.37,2.75,-0.13,-0.20,-2.06,-0.40,1000.00,1000.00,1000.00,1000.00
15261,0,-0.20,-1.96,-0.40,-0.50,2.00,-0.06,-0.20,-1.96,-0.40,1000.00,1000.00,1000.00,1000.00
15720,0,-0.20,-2.25,-0.40,-0.44,1.75,0.06,-0.20,-2.25,-0.40,1001.00,1001.00,1000.00,1000.00
16298,0,-0.20,-2.27,-0.40,-0.19,1.50,0.13,-0.20,-2.27,-0.40,1001.00,1001.00,1000.00,1000.00
16677,0,-0.20,-2.13,-0.40,-0.44,-1.87,0.00,-0.20,-2.13,-0.40,1002.00,1002.00,1000.00,1000.00
