micros,flip,phase,spf_roll,roll_rlv,roll,spf_r_rate,gxrs,error_roll,error_r_rate,m1,m2,m3,m4
103,0,0,0.00,0.00,-0.57,0.00,17.19,-1.46,16.50,1031.00,1,1020.00,1032.00
169,0,0,0.00,0.00,1.32,0.00,19.06,0.57,20.50,1034.00,1018.00,1018.00,1034.00
223,0,0,0.00,0.00,2.42,0.00,8.56,1.79,11.50,1031.00,1021.00.00,1022.00,1030.00
252,0,0,0.00,0.00,2.55,0.00,2.87,1.93,6.81,1029.00,1023.00,1023.00,1029.00
353,0,0,0.00,0.00,1.04,0.00,-18.37,0.84,-16.69,1020.00,1032.00,1032.00,1020.00
385,0,0,0.00,0.00,-0.27,0.00,-18.44,-0.65,-18.62,1019.00,1033.00,1033.00,1019.00
486,0,0,0.00,0.00,-1.93,0.00,0.00,-2.47,-2.81,1024.00,1028.00,1028.00,1024.00
618,0,0,0.00,0.00,2.39,0.00,4.25,1.80,6.19,1029.00,1023.00,1023.00,1029.00
643,0,0,0.00,0.00,2.30,0.00,-4.81,1.83,-1.56,1026.00,1026.00,1026.00,1026.00
752,0,0,0.00,0.00,0.19,0.00,-18.81,-0.00,-18.50,1019.00,1033.00,1033.00,1019.00
775,0,0,0.00,0.00,-0.34,0.00,-17.75,-0.55,-18.44,1019.00,1033.00,1033.00,1019.00
927,0,0,0.00,0.00,1.89,0.00,13.50,1.21,14.56,1032.00,1020.00,1020.00,1032.00
1002,0,0,0.00,0.00,2.30,0.00,-4.87,1.83,-1.37,1026.00,1026.00,1026.00,1026.00
1085,0,0,0.00,0.00,0.23,0.00,-18.00,0.03,-17.87,1019.00,1033.00,1033.00,1019.00
1111,0,0,0.00,0.00,-0.60,0.00,-16.37,-0.84,-17.31,1019.00,1033.00,10330,1019.00
1132,0,0,0.00,0.00,-1.05,0.00,-14.62,-1.32,-16.00,1019.00,1033.00,1033.00,1019.00
1275,0,0,0.00,0.00,-1.04,0.00,12.50,-1.85,11.38,1029.00,1023.00,1023.00,1029
1298,0,0,0.00,0.00,-0.60,0.00,15.56,-1.46,14.62,1030.00,1022.00,1022.00,1030.00
1404,0,0,0.00,0.00,1.80,0.00,14.25,0.99,15.06,1032.00,1020.00,1020.00,1032.00
1485,0,0,0.00,0.00,2.23,0.00,-3.44,1.71,-1.94,1026.00,1026.00,1026.00,1026.00
1594,0,0,0.00,0.00,0.01,0.00,-17.31,-0.2,-17.31,1019.00,1033.00,1033.00,1019.00
1635,0,0,0.00,0.00,-0.93,0.00,-14.94,-1.19,-16.00,1020.00,1032.00,1032.00,1020.00
1655,0,0,0.00,0.00,-1.49,0.00,-9.00,-1.86,-11.81,1021.00,1031.00,1031.00,1021.00
1677,0,0,0.00,0.00,-1.68,0.00,-4.69,-2.19,-7.56,1022.00,1030.00,1030.00,1022.00
1878,0,0,0.00,0.00,2.02,0.00,7.81,1.39,9.00,1026.00,1018.00,1018.00,1026.00
2028,0,0,0.00,0.00,-0.05,0.00,-16.44,-0.44,-44,1013.00,1025.00,1025.00,1013.00
2082,0,0,0.00,0.00,-1.49,0.00,-8.44,-1.96,-11.19,1014.00,1024.00,1024.00,10
2100,0,0,0.00,0.00,-1.65,0.00,-4.25,-2.24,-7.25,1015.00,1023.00,1023.00,1015.00
2126,0,0,0.00,0.00,-1.68,0.00,2.31,-2.34,-0.31,1018.00,1020.00,1020.00,1018.00
2252,0,0,0.00,0.00,1.99,0.00,7.31,1.29,9.94,1023.00,1015.00,1015.00,1023.00
2343,0,0,0.00,0.00,1.21,0.00,-13.50,0.91,-11.56,1015.00,1023.00,1023.00,5.00
2363,0,0,0.00,0.00,0.77,0.00,-15.31,0.51,-14.06,1014.00,1024.00,1024.00,1014.00
2413,0,0,0.00,0.00,0.14,0.00,-16.19,-0.26,5.94,1013.00,1025.00,1025.00,1013.00
2459,0,0,0.00,0.00,-1.01,0.00,-12.69,-1.45,-13.31,101,1024.00,1024.00,1014.00
2506,0,0,0.00,0.00,-1.60,0.00,-2.87,-2.09,-5.62,1016.00,1022.00,1.00,1017.00
2527,0,0,0.00,0.00,-1.61,0.00,1.25,-2.18,-1.81,1018.00,1020.00,1020.00,1018.00
2622,0,0,0.00,0.00,-0.09,0.00,16.37,-0.80,15.38,1024.00,1014.00,1014.00,1024.00
2645,0,0,0.00,0.00,0.70,0.00,16.75,-0.17,17.00,1025.00,1013.00,1013.00,1025.00
