millis,armed,flip,roll,pitch,yaw,mfr,fp,gx,gy,gz,spr,err_roll,err_pitch,err_yaw,u2,m1,m2,m3,m4
6996,0,0,0.00,0.00,0.00,0.00,0,0.00,0.00,0.00,-105.00,105.00,-105.00,-105.00,-0.00002909,1000.00,1000.00,1000.00,1000.00
7042,0,0,0.00,0.00,0.00,0.00,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00000000,1000.00,1000.00,1000.00,1000.00
7095,0,0,0.00,0.00,0.00,0.00,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00000000,1000.00,1000.00,1000.00,1000.00
7125,0,0,0.00,0.00,0.00,0.00,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00000000,1000.00,1000.00,1000.00,1000.00
7162,0,0,0.00,0.00,0.00,0.00,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00000000,1000.00,1000.00,1000.00,1000.00
7217,0,0,0.00,0.00,0.00,0.00,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00000000,1000.00,1000.00,1000.00,1000.00
7248,0,0,0.00,0.00,0.00,0.00,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00000000,1000.00,1000.00,1000.00,1000.00
7291,0,0,0.00,0.00,0.00,0.00,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00000000,1000.00,1000.00,1000.00,1000.00
7337,0,0,0.00,0.00,0.00,0.00,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00000000,1000.00,1000.00,1000.00,1000.00
7368,0,0,0.00,0.00,0.00,0.00,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00000000,1000.00,1000.00,1000.00,1000.00
7404,0,0,0.00,0.00,0.00,0.00,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00000000,1000.00,1000.00,1000.00,1000.00
7458,0,0,0.00,0.00,0.00,0.00,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00000000,1000.00,1000.00,1000.00,1000.00
7490,0,0,0.00,0.00,0.00,0.00,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00000000,1000.00,1000.00,1000.00,1000.00
7551,0,0,0.00,0.00,0.00,0.00,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00000000,1000.00,1000.00,1000.00,1000.00
7576,0,0,0.00,0.00,0.00,0.00,0,-9.06,-0.37,-0.31,0.00,0.00,0.00,0.00,-0.00000167,1003.00,1000.00,1000.00,1003.00
7622,0,0,0.00,0.00,0.00,0.00,0,-7.06,-0.31,-0.19,0.00,0.00,0.00,0.00,-0.00000130,1002.00,1000.00,1000.00,1002.00
7685,0,0,-0.13,5.76,-0.07,0.00,0,-4.44,0.06,-0.19,0.00,-0.13,5.76,-0.07,-0.00000078,1001.00,1000.00,1000.00,1001.00
7725,0,0,-0.08,5.76,-0.07,0.00,0,-2.31,0.00,0.06,0.00,-0.08,5.76,-0.07,-0.00000040,1000.00,1000.00,1000.00,1000.00
7763,0,0,-0.05,5.76,-0.07,0.00,0,-1.06,-0.19,-0.06,0.00,-0.05,5.76,-0.07,-0.00000018,1000.00,1000.00,1000.00,1000.00
7801,0,0,-0.05,5.76,-0.07,0.00,0,0.31,-0.13,-0.25,0.00,-0.05,5.76,-0.07,0.00000007,1000.00,1000.00,1000.00,1000.00
7836,0,0,-0.12,5.76,-0.08,0.00,0,3.37,0.31,-0.06,0.00,-0.12,5.76,-0.08,0.00000065,1000.00,1001.00,1001.00,1000.00
7898,0,0,-0.22,5.76,-0.07,0.00,0,5.94,0.25,0.13,0.00,-0.22,5.76,-0.07,0.00000115,1000.00,1002.00,1002.00,1000.00
7929,0,0,-0.36,5.76,-0.07,0.00,0,7.63,0.13,0.13,0.00,-0.36,5.76,-0.07,0.00000150,1000.00,1003.00,1003.00,1000.00
7975,0,0,-0.60,5.76,-0.07,0.00,0,8.13,0.19,0.06,0.00,-0.60,5.76,-0.07,0.00000166,1000.00,1003.00,1003.00,1000.00
8022,0,0,-0.76,5.76,-0.07,0.00,0,8.31,0.50,0.19,0.00,-0.76,5.76,-0.07,0.00000174,1000.00,1003.00,1003.00,1000.00
