millis,armed,fp,roll,pitch,yaw,mfr,gx,spr,err_roll,u2
63,0,0,-0.11,5.83,-0.29,0.00,-6.37,0.07,-0.18,-0.000001
120,0,0,0.25,5.83,-0.30,0.00,-5.12,0.07,0.18,-0.000001
191,0,0,0.42,5.82,-0.30,0.00,-0.75,0.07,0.35,-0.000000
276,0,0,0.08,5.82,-0.31,0.00,4.56,0.07,0.01,0.000001
369,0,0,-0.76,5.82,-0.31,0.00,4.75,0.07,-0.83,0.000001
437,0,0,-1.00,5.82,-0.32,0.00,1.69,0.07,-1.07,0.000001
490,0,0,-0.96,5.82,-0.32,0.00,-2.94,0.07,-1.03,-0.000000
521,0,0,-0.86,5.82,-0.32,0.00,-3.94,0.07,-0.93,-0.000000
554,0,0,-0.68,5.82,-0.32,0.00,-5.31,0.07,-0.75,-0.000001
586,0,0,-0.46,5.82,-0.32,0.00,-6.25,0.07,-0.53,-0.000001
626,0,0,-0.23,5.81,-0.33,0.00,-6.50,0.07,-0.30,-0.000000001
642,0,0,-0.06,5.81,-0.33,0.00,-6.19,0.07,-0.13,-0.000001
730,0,0,0.24,5.82,-0.33,0.00,-3.25,0.07,0.17,-0.000001
748,0,0,0.29,5.82,-0.34,0.00,-1.69,0.07,0.22,-0.000000
793,0,0,0.23,5.82,-0.34,0.00,2.00,0.07,0.16,0.000000
836,0,0,0.09,5.81,-0.34,0.00,3.81,0.07,0.02,0.000001>1
852,0,0,-0.11,5.81,-0.34,0.00,5.25,0.07,-0.18,0.000001
905,0,0,-0.34,5.81,-0.34,0.00,5.62,0.07,-0.41,0.000001
920,0,0,-0.51,5.81,-0.34,0.00,5.62,0.07,-0.58,0.000001
952,0,0,-0.79,5.81,-0.34,0.00,5.06,0.07,-0.86,0.000001
973,0,0,-0.92,5.81,-0.34,0.00,4.06,0.07,-0.99,0.000001
1011,0,0,-1.05,5.81,-0.35,0.00,2.19,0.07,-1.12,0.000001
1029,0,0,-1.10,5.81,-0.34,0.00,0.94,0.07,-1.17,0.000000
1061,0,0,-1.09,5.81,-0.35,0.00,-1.37,0.07,-1.16,0.000000
