millis,armed,flip,roll,pitch,yaw,mfr,fp,gx,gy,gz,spr,err_roll,err_pitch,err_yaw,u2,m1,m2,m3,m4
626,0,0,-0.34,5.48,-0.14,0.00,0,-1.44,0.13,-0.19,0.00,-0.34,5.48,-0.14,-0.00000017,1000.00,1000.00,1000.00,1000.00
697,0,0,-0.24,5.48,-0.14,0.00,0,-2.25,0.06,-0.19,0.00,-0.24,5.48,-0.14,-00035,1000.00,1000.00,1000.00,1000.00
1551,0,0,-0.47,5.48,-0.19,0.00,0,-0.81,-0.13,-0.06,0.00,-0.47,5.48,-0.19,-0.00000002,1000.00,1000.00,1000.00,1000.00
2217,0,0,-0.26,5.47,-0.22,0.00,0,-1.37,-0.06,-0.06,0.00,-0.26,5.47,-0.22,-0.00000018,1000.00,1000.00,1000.00,1000.00
2296,0,0,-0.18,5.47,-0.22,0.00,0,-0.81,0.00,-0.06,0.00,-0.18,5.47,-0.22,-0.00000010,1000.00,1000.00,1000.00,1000.00
3139,0,0,-0.13,5.47,-0.23,0.00,0,-1.25,0.06,0.00,0.00,-0.13,5.47,-0.23,-0.00019,1000.00,1000.00,1000.00,1000.00
3272,0,0,-0.07,5.46,-0.24,0.00,0,0.25,0.13,0.00,0.00,-0.07,5.46,-0.24,0.00000006,1000.00,1000.00,1000.00,1000.00
4005,0,0,-0.27,5.46,-0.27,0.00,0,-1.62,0.00,0.06,0.00,-0.27,5.46,-0.27,-0.00000023,1000.00,1000.00,1000.00,1000.00
4909,0,0,-0.20,5.46,-0.30,0.00,<15931,0,0,-0.18,5.46,-0.30,0.00,0,-0.88,-0.06,-0.13,0.00,-0.10.00
7233,0,0,-.17,5.45,-0.36,0.00,0,0.62,0.13,0.00,0.00,-0.17,5.45,-0.36,0.00000016,1000.00,1000.00,1000.00,1000.00
7925,0,0,-0.12,5.44,-0.38,0.00,0,0.50,0.06,0.06,0.00,-0.12,5.44,-0.38,0.00000013,1000.00,1000.00,1000.00,1000.00
8586,0,0,-0.23,5.44,-0.<19611,0,0,-0.24,5.44,-0.40,0.00,0,0.37,0.13,0.06,0.00,-0.24,5.00,1000.00
8826,0,0,-0.35,5.44,-0.41,0.00,0,0.19,-0.06,0.06,0.00,-0.35,5.44,-0.41,.00000013,1000.00,1000.00,1000.00,1000.00
9072,0,0,-0.19,5.44,-0.41,0.00,0,-1.06,0.06,0.00,0.00,-0.19,5.44,-0.41,-0.00000014,1000.00,1000.00,1000.00,1000.00
10222,0,0,-0.27,5.44,-0.45,0.00,0,0.37,-0.06,-0.13,0.00,-0.27,5.44,-0.45,0.00000014,1000.00,1000.00,1000.00,1000.00
10262,0,0,-0.28,5.44,-0.45,0.00,0,0.06,0.13,0.00,0.00,-0.28,5.44,-0.45,0.00000009,1000.00,1000.00,1000.00,1000.00
11826,0,0,-0.31,5.43,-0.,0.00,0,-0.81,-0.13,-0.06,0.00,-0.31,5.43,-0.49,-0.00000006,1000.00,1000.00,1000.00,1000.00
11920,0,0,-0.27,5.43,-0.50,0.00,0,-1.00,-0.06,0.00,0.00,-0.27,5.43,-0.50,-0.00000011,1000.00,10,1000.00,1000.00
12745,0,0,-0.12,5.43,-0.50,0.00,0,-0.31,-0.13,0.00,0.00,-0.12,5.43,-0.50,-0.00000002,1000.00,1000.00,1000.00,1000.00
13648,0,0,-<24672,0,0,-0.33,5.43,-0.54,0.00,0,0.25,0.06,0.00,0.00,-0.33,50,1000.00,1000.00,1000.00
13890,0,0,-0.39,5.43,-0.54,0.00,0,-0.56,-0.13,006,0.00,-0.39,5.43,-0.54,0.00000000,1000.00,1000.00,1000.00,1000.00
14593,0,0,-0.23,5.43,-0.54,0.00,0,-0.31,0.00,-0.06,0.00,-0.23,5.43,-0.54,0.00000001,1000.00,1000.00,1000.00,1000.00
15505,0,0,-0.24,5.43,-0.58,0.00,0,-0.75,0.06,0.00,0.00,-0.24,5.43,-0.58,-0.00000007,1000.00,1000.00,1000.00,1000.00
15549,0,0,-0.23,5.43,-0.58,0.00,0,-0.6,0.00,-0.06,0.00,-0.23,5.43,-0.58,-0.00000006,1000.00,1000.00,1000.00,1000.00
16872,0,0,-0.13,5.42,-0.59,0.00,0,-0.94,0.13,-0.13,0.00,-0.13,5.42,-0.59,-0.,1000.00,1000.00,1000.00,1000.00
17351,0,0,-0.30,5.42,-0.62,0.00,0,-0.31,0.00,0.13,0.00,-0.30,5.42,-0.62,0.00000002,1000.00,1000.00,1000.00,1000.00
17472,0,0,-0.34,5.42,-0.62,0.00,0,-0.56,0.06,0.06,0.00,-0.34,5.42,-0.62,-0.00000001,1000.00,1000.00,1000.00,1000.00
