millis,armed,roll,pitch,yaw,gx,gy,gz,err_roll,err_pitch,err_yaw,m1,m2,m3,m4
1874,0,-1.00,-1.70,-0.25,-0.13,-0.06,0.00,-1.00,-1.70,-0.25,1000.00,1001.00,1000.00,1000.00
1928,0,-1.00,-1.70,-0.25,-0.13,-0.06,0.00,-1.00,-1.70,-0.25,1000.00,1001.00,1000.00,1000.00
2226,0,-1.00,-1.70,-0.25,-0.06,0.00,0.00,-1.00,-1.70,-0.25,1000.00,1001.00,1000.00,1000.00
2272,0,-1.00,-1.70,-0.25,-0.13,0.06,-0.06,-1.00,-1.70,-0.25,1000.00,1001.00,1000.00,1000.00
2526,0,-1.00,-1.70,-0.25,-0.06,-0.06,0.06,-1.00,-1.70,-0.25,1000.00,1001.00,1000.00,1000.00
2592,0,-1.00,-1.70,-0.25,-0.19,0.06,0.00,-1.00,-1.70,-0.25,1000.00,1001.00,1000.00,1000.00
2829,0,-1.00,-1.70,-0.25,0.00,0.13,-0.06,-1.00,-1.70,-0.25,1000.00,1001.00,1000.00,1000.00
2875,0,-1.00,-1.70,-0.25,0.06,0.06,0.00,-1.00,-1.70,-0.25,1000.00,1001.00,1000.00,1000.00
3215,0,-1.00,-1.70,-0.25,0.00,0.00,-0.06,-1.00,-1.70,-0.25,1000.00,1001.00,1000.00,1000.00
3484,0,-1.00,-1.70,-0.25,0.06,-0.13,0.19,-1.00,-1.70,-0.25,1000.00,1001.00,1000.00,1000.00
4508,0,-1.00,-1.70,-0.25,0.00,0.19,0.06,-1.00,-1.70,-0.25,1000.00,1001.00,1000.00,1000.00
4592,0,-1.00,-1.70,-0.25,0.06,0.00,0.06,-1.00,-1.70,-0.25,1000.00,1001.00,1000.00,1000.00
4981,0,-1.00,-1.70,-0.25,0.13,-0.13,0.06,-1.00,-1.70,-0.25,1000.00,1001.00,1000.00,1000.00
5062,0,-1.00,-1.70,-0.25,0.00,0.06,0.00,-1.00,-1.70,-0.25,1000.00,1001.00,1000.00,1000.00
5144,0,-1.00,-1.70,-0.25,0.00,-0.13,0.00,-1.00,-1.70,-0.25,1000.00,1001.00,1000.00,1000.00
5509,0,-1.00,-1.70,-0.25,0.00,-0.13,-0.13,-1.00,-1.70,-0.25,1000.00,1001.00,1000.00,1000.00
6094,0,-1.00,-1.70,-0.25,0.06,0.06,0.19,-1.00,-1.70,-0.25,1000.00,1001.00,1000.00,1000.00
6548,0,-1.00,-1.70,-0.25,-0.06,-0.19,0.00,-1.00,-1.70,-0.25,1000.00,1001.00,1000.00,1000.00
7010,0,-1.00,-1.70,-0.25,0.13,0.06,0.13,-1.00,-1.70,-0.25,1000.00,1001.00,1000.00,1000.00
7461,0,-1.00,-1.70,-0.25,0.00,0.06,-0.06,-1.00,-1.70,-0.25,1000.00,1001.00,1000.00,1000.00
