millis,armed,flip,roll,pitch,yaw,mfr,fp,gx,gy,gz,spr,err_roll,err_pitch,err_yaw,u2,m1,m2,m3,m4
25859,0,0,0.27,5.34,0.03,0.00,0,0.00,-13,0.00,0.00,0.27,5.34,0.03,-0.00000007,1000.00,1000.00,1000.00,1000.00
26086,0,0,0.27,5.34,0.03,0.00,0,-0.06,0.00,-0.13,0.00,0.27,5.34,0.03,-0.00000009,1000.00,1000.00,1000.00,1000.00
27688,0,0,0.27,5.34,0.03,0.00,0,-0.06,0.00,-0.06,0.00,0.27,5.34,0.03,-0.00000009,1000.00,1000.00,1000.00,1000.00
28162,1,0,0.27,5.34,0.03,0.00,0,0.13,-0.06,0.00,0.00,0.27,5.34,0.03,-0.00000005,1000.00,1000.00,1000.00,1000.00
29772,1,0,0.27,5.34,0.03,0.00,0,-0.31,0.00,-0.13,0.00,0.27,5.34,0.03,-0.00000013,1000.00,1000.00,1000.00,1000.00
30901,0,0,0.27,5.34,0.03,0.00,0,0.19,-0.06,-0.13,0.00,0.27,5.34,0.03,-0.00004,1000.00,1000.00,1000.00,1000.00
31146,0,0,0.27,5.34,0.03,0.00,0,-0.19,0.00,0.00,0,0.27,5.34,0.03,-0.00000011,1000.00,1000.00,1000.00,1000.00
31377,0,0,0.27,5.34,0.03,0.00,0,-0.13,0.00,0.06,0.00,0.27,5.34,0.03,-0.00000010,1000.00,1000.00,1000.00,1000.00
32980,0,0,0.27,5.34,0.03,0.00,0,0.00,0.06,-0.06,0.00,27,5.34,0.03,-0.00000007,1000.00,1000.00,1000.00,1000.00
33337,0,0,0.27,5.34,0.03,0.00,0,0.19,-0.06,0.13,0.00,0.27,5.34,0.03,-0.00000004,1000.00,1000.00,1000.00,1000.00
33447,0,0,0.27,5.34,0.03,0.00,0,0.25,-0.06,-0.19,0.00,0.27,5.34,0.03,-0.00000003,1000.00,1000.00,1000.00,1000.00
34583,0,0,0.27,5.34,0.03,0.00,0,0.06,-0.13,-0.06,0.00,0.27,5.34,03,-0.00000006,1000.00,1000.00,1000.00,1000.00
34758,0,0,0.27,5.34,0.03,0.00,0,0.06,-0.06,0.13,0.00,0.27,5.34,0.03,-0.00000006,1000.00,1000.00,1000.00,1000.01000.00
34813,0,0,0.27,5.34,0.03,0.00,0,-0.13,0.00,0.00,0.00,0.27,5.34,0.03,-0.00000010,1000.00,1000.00,1000.00,1000.00
35064,0,0,07,5.34,0.03,0.00,0,0.13,-0.06,0.19,0.00,0.27,5.34,0.03,-0.00000005,1000.00,1000.00,1000.00,1000.00
35291,0,0,0.27,5.34,0.03,0.00,0,0.06,0.00,0.00,0.00,0.27,5.34,0.03,-0.00000006,1000.00,1000.00,1000.00,1000.00
35980,0,0,0.27,5.34,0.03,0.00,0,0.06,0.06,0.00,0.00,0.27,5.34,0.03,-0.00000006,1000.00,1000.00,1000.00,1000.00
36675,0,0,0.27,5.34,0.03,0.00,0,3,-0.06,0.00,0.00,0.27,5.34,0.03,-0.00000005,1000.00,1000.00,1000.00,1000.00
36895,0,0,0.27,5.34,0.03,0.00,0,-0.19,0.00,0.06,0.00,0.27,5.34,0.03,-0.00000011,1000.00,1000.00,1000.00,1000.00
38024,0,0,0.27<48806,0,0,0.27,5.34,0.03,0.00,0,0.19,0.00,0.00,0.00,0.27,5.340,1000.00,1000.00,1000.00
38496,0,0,0.27,5.34,0.03,0.00,0,0.06,0.00,-0.06,0.00,0.27,5.34,0.03,-0.00000006,1000.00,1000.00,1000.00,1000.00
