millis,armed,roll,pitch,yaw,gx,gy,gz,err_roll,err_pitch,err_yaw,m1,m2,m3,m4
83,0,1.16,5.17,117.98,-0.13,0.00,-0.06,1.30,4.33,117.07,1041.00,1000.00,1046.00,1000.00
171,0,1.16,5.17,117.98,0.06,-0.06,0.00,1.30,4.33,117.14,1041.00,1000.00,1046.00,1000.00
295,0,1.16,5.17,117.98,-0.13,0.06,-0.06,1.30,4.33,117.07,1041.00,1000.00,1046.00,1000.00
353,0,1.16,5.17,117.98,-0.19,0.19,0.06,1.30,4.33,117.07,1041.00,1000.00,1046.00,1000.00
381,0,1.6,5.17,117.98,-0.13,0.06,0.00,1.30,4.33,117.07,1041.00,1000.00,1046.00,1000.00
419,0,1.16,5.17,117.98,0.06,0.00,-0.06,1.30,4.33,117.07,1041.00,1000.00,1046.00,1000.00
450,0,1.16,5.17,117.98,0.06,0.06,-0.06,1.30,4.33,117.14,1041.00,1000.00,1046.00,1000.00
484,0,1.16,5.17,117.98,-0.13,0.00,-0.19,1.30,4.26,117.14,1041.00,1000.00,1046.00,1000.00
648,0,1.16,5.17,117.98,-0.13,0.13,-0.19,1.30,43,117.07,1041.00,1000.00,1046.00,1000.00
676,0,1.16,5.17,117.98,0.13,0.19,-0.06,1.30,4.33,117.07,1041.41.00,1000.00,1046.00,1000.00
735,0,1.16,5.17,117.98,0.19,-0.06,0.00,1.30,4.33,117.07,101.00,1000.00,1046.00,1000.00
793,0,1.16,5.17,117.98,0.00,0.00,-0.06,1.30,4.33.33,117.14,1041.00,1000.00,1046.00,1000.00
817,0,1.16,5.17,117.98,0.00,0.06,-0.06,1.30,4.33,117.07,1041.00,1000.0,1046.00,1000.00
896,0,1.16,5.17,117.98,-0.06,0.25,0.06,1.30,4.33,117.07,1041.00,1000.00,1046.00,1000.00
923,0,1.16,5.17,117.98,0.00,-0.06,-0.06,1.30,4.33,117.07,1041.00,1000.00,1046.00,1000.00
954,0,1.16,5.17,117.98,-0.06,0.13,0.13,1.30,4.33,117.07,1041.00,1000..00,1046.00,1000.00
980,0,1.16,5.17,117.98,0.19,-0.13,-0.06,1.30,4.33,117.07,1041.00,1000.00,1046.00,1000.00
1006,0,1.16,5.17,117.98,0.31,-0.13,-0.06,1.30,4.33,117.07,1041.00,1000.00,1046.00,1000.00
1035,0,1.16,5.15.17,117.98,0.00,0.00,-0.06,1.30,4.33,117.07,1041.00,1000.00,1046.00,1000.00
1065,0,1.16,5.17,117.98,0.00,-0.06,-0.06,1.30,4.33,117.07,1041.00,1000.00,1046.00,1000.00
1094,0,1.16,5.17,117.98,-0.13,-0.06,0.06,1.30,4.33,117.14,1041.00,1000.00,1046.00,1000.00
1132,0,1.16,5.17,117.98,-0.06,0.06,0.06,1.30,4.33,117.07,1041.00,1000.00,1046.00,1000.00
1161,0,1.16,5.17,117.98,0.00,0.13,0.06,1.30,4.33,117.07,1041.00,1000.00,1046.00,1000.00
1187,0,1.16,5.17,117.98,0.13,0.06,0.06,1.30,4.33,117.07,1041.00,1000.00,1046.00,1000.00
1332,0,1.16,5.17,117.98,0..00,0.00,-0.13,1.30,4.33,117.14,1041.00,1000.00,1046.00,1000.00
1392,0,1.16,5.17,117.98,0.06,-0.19,0.19,1.30,4.33,117.07,1041.00.00,1000.00,1046.00,1000.00
1459,0,1.16,5.17,117.98,0.13,0.13,-0.06,1.30,4.33,117.07,104100,1000.00,1046.00,1000.00
1519,0,1.16,5.17,117.98,0.25,0.06,0.00,1.30,4.33,11117.14,1041.00,1000.00,1046.00,1000.00
1548,0,1.16,5.17,117.98,0.13,-0.19,0.00,1.30,4.33,117.07,1041.00,1000.00,106.00,1000.00
1629,0,1.16,5.17,117.98,-0.13,-0.19,0.06,1.30,4.33,117.14,1041.00,1000.00,1046.00,100.00
1657,0,1.16,5.17,117.98,-0.19,0.06,0.00,1.30,4.33,117.14,1041.00,1000.00,1046.00,1000.00
1717,0,1.16,5.17,117.98,0.06,0.00,0.06,1.30,4.33,117.14,1041.00,1000.00,1046.00,1000.00
1768,0,1.16,5.17,117117.98,0.00,0.06,0.06,1.30,4.33,117.07,1041.00,1000.00,1046.00,1000.00
1800,0,1.16,5.17,117.98,0.00,0.13,0.06,1.30,4.33,117.07,1041.00,1000.00,1046.00,1000.00
