micros,arm,flip,phase,spf_roll,roll_abs,roll,spf_r_rate,gxrs,error_roll,error_r_rate,u2ch_thr,m1,m2,m3,m4
596,0,0,0,0.00,0.00,-1.96,0.00,3.56,-2.58,-5.81,0.00000,1017,1014.00,1020.00,1015.00
918,0,0,0,0.00,0.00,0.87,0.00,7.69,0.32,-5.31,0.00000,1017,100,1020.00,1014.00
2404,0,0,0,0.00,0.00,0.79,0.00,-7.44,-0.06,9.31,-0.00000,1017,1020.00,1014.00,1.00
2742,0,0,0,0.00,0.00,-1.69,0.00,-1.87,-2.42,-0.06,0.00000,1017,1016.00,1018.00,1018.0
3063,0,0,0,0.00,0.00,0.33,0.00,9.56,-0.18,-8.56,0.00000,1017,1014.00,1020.0,1013.00
3559,0,0,0,0.00,0.00,0.67,0.00,6.12,0.08,-4.37,0.00000,10,1019.00,1019.00,1015.00
6008,0,0,0,0.00,0.00,0.24,0.00,7.75,-0.32,-600,1017,1014.00,1020.00,1020.00,1014.00
6469,0,0,0,0.00,0.00,-0.04,0.00,-9.44,-0,-0.00000,1017,1020.00,1014.00,1014.00,1020.00
6927,0,0,0,0.00,0.00,-1.21,0.00,5.19,-1.81,-5.87,017,1015.00,1019.00,1019.00,1015.00
7593,0,0,0,0.00,0.00,-0.85,0.00,7.00,-1.48,-7.56,0.00000,.00,1020.00,1020.00,1014.00
8078,0,0,0,0.00,0.00,0.63,0.00,-1.87,-0.08,3.44,-17,1017.00,1017.00,1017.00,1017.00
8515,0,0,0,0.00,0.00,-1.04,0.00,-4.50,-1.82,3.44,-0.00000,10.00,1016.00,1016.00,1018.00
8959,0,0,0,0.00,0.00,-0.07,0.00,7.25,-0.62,-7.06,0.00000,1017,1020.00,1020.00,1014.00
9659,0,0,0,0.00,0.00,0.16,0.00,6.00,-0.40,-5.75,0.00000,1017,10150,1019.00,1015.00
10119,0,0,0,0.00,0.00,-0.03,0.00,-7.69,-0.87,7.81,-0.00000,100,1015.00,1015.00,1019.00
10575,0,0,0,0.00,0.00,-0.97,0.00,4.12,-1.59,-4.87,0.00000,1017,1015.00,019.00,1015.00
11038,0,0,0,0.00,0.00,0.56,0.00,1.37,-0.12,-0.19,0.00000,1017,10170,1018.00,1016.00
12185,0,0,0,0.00,0.00,-0.77,0.00,-3.62,-1.54,3.19,-0.00000,1350,1350.00,1350.00,1350.00
12644,0,0,0,0.00,0.00,-0.17,0.00,5.56,-0.82,-5.69,0.00000,1350,1348.00,1352.00,135.00
13106,0,0,0,0.00,0.00,0.20,0.00,-5.31,-0.54,5.75,-0.00000,1350,1351.00,1349.00,1351.00
13555,0,0,0,0.00,0.00,-0.91,0.00,1.06,-1.58,-2.06,0.00000,1351,1349.00,1351.00,1351.00
14260,0,0,0,0.00,0.00,-0.78,0.00,2.62,-1.43,-3.25,0.00000,1350,1348.00,1352.00,1352.00
14714,0,0,0,0.00,0.00,0.43,0.00,1.31,-0.24,-0.13,0.00000,1350,1350.00,1350.00,1300
15176,0,0,0,0.00,0.00,-0.52,0.00,-4.56,-1.27,4.25,-0.00000,1019,1019.00,1019.00,1019.000
16094,0,0,0,0.00,0.00,0.32,0.00,-2.50,-0.40,3.50,-0.00000,1023,1024.00,1022.00,104.00
