micros,arm,flip,phase,spf_roll,roll_abs,roll,spf_r_rate,gxrs,error_roll,error_r_rate,u2ch_thr,m1,m2,m3,m4
16784,0,0,0,0.00,0.00,0.12,0.00,-3.87,-0.65,4.50,-0.00000,1023,1024.00,1022.00,1022.00
18160,0,0,0,0.00,0.00,-0.08,0.00,-4.31,-0.86,4.37,-0.00000,1023,1024.00,1022.00,1022.00
26031,0,0,0,0.00,0.00,-0.39,5,-1.10,-0.37,0.00000,1019,1019.00,1019.00,1019.00,1019.00
35688,0,0,0,0.00,0.00,0.41,0.00,-1.50,-0.33,00,1019,1019.00,1019.00,1019.00,1019.00
36149,0,0,0,0.00,0.00,-0.25,0.00,-8.88,-1.12,7.81,-0.022,1024.00,1020.00,1020.00,1024.00
50373,1,0,0,0.00,0.00,1.12,0.00,-1.94,0.40,-0.56,-0.00000,1,1305.00,1305.00,1305.00
56138,1,0,0,350.00,31.85,2.02,0.00,2.56,1.34,0.37,-0.00000,1015,1015.00,1015.00,10014.00
58210,1,0,0,350.00,31.85,1.39,0.00,0.44,0.70,-0.25,-0.00000,135.00,1354.00,1354.00,1354.00
60282,1,0,0,350.00,31.85,1.94,0.00,0.31,1.24,-2.00,0.00000,1439,143439.00,1439.00,1439.00
61198,1,0,0,350.00,31.85,2.12,0.00,0.06,1.43,-1.81,-0.00000,1426,1426.00,1426.06.00,1426.00
62104,1,0,0,350.00,31.85,2.31,0.00,-0.44,1.61,0.25,-0.00000,1413,1414.00,1412.00,1412.04.00
63266,1,0,0,350.00,31.85,2.71,0.00,-1.69,1.99,1.62,-0.00000,1403,14041402.00,1402.00,1404.00
75960,0,0,0,350.00,43.66,-0.26,0.00,3.50,-0.-2.56,0.00000,1019,1018.00,1020.00,1020.00,1018.00
77076,0,0,0,350.00,43.66,0.59,0.00,-2.75,-0.15,3.19,-0.00000,1019,1020.1019.00,1019.00,1019.00
78030,0,0,0,350.00,43.66,0.42,0.00,3.25,-0.269,0.00000,1019,1018.00,1020.00,1020.00,1018.00
78719,0,0,0,350.00,43.66,0.51,0.00,2.19,-0..81,0.00000,1019,1018.00,1020.00,1020.00,1018.00
80101,0,0,0,350.00,43.66,0.60,0.00,-0.37,-0.091,0.00000,1019,1019.00,1019.00,1019.00,1019.00
83783,0,0,0,350.00,43.66,0.50,0.00,0..20,-0.56,0.00000,1019,1019.00,1019.00,1019.00,1019.00
90917,0,0,0,350.00,43.66,0.29,0.00,-1.94-0.39,1.75,-0.00000,1019,1019.00,1019.00,1019.00,1019.00
91369,0,0,0,350.00,43.66,0.03,0.00,0.37,-0.67,-0.56,0.00000,1011019.00,1019.00,1019.00,1019.00
92956,0,0,0,350.00,43.66,0.12,0.00,-1.31,-0.60,1.37,-0.00000,1019,1019.00,1019.001019.00,1019.00
97129,0,0,0,350.00,43.66,0.16,0.00,0.44,-0.-0.19,0.00000,1019,1019.00,1019.00,1019.00,1019.00
107676,0,0,0,350.00,43.66,0.19,0.00,0.06,-0.51,-0.06,0.00000,1019,1019.00,1019.00,1019.0019.00
109322,0,0,0,350.00,43.66,0.21,0.00,0.44,-00.00,0.00000,1019,1019.00,1019.00,1019.00,1019.00
112776,0,0,0,350.00,43.66,0.21,0.0019,-0.49,0.00,0.00000,1019,1019.00,1019.00,1019.00,1019.00
113895,0,0,0,350.00,43.66,0.21,0.00,-0.19,-0.49,0.19,0.00000,1019,1019.0019.00,1019.00,1019.00
115989,0,0,0,350.00,43.66,0.21,0.00,-0.13,-0.49,-0.06,0.00000,10119.00,1019.00,1019.00,1019.00
117370,0,0,0,350.00,43.66,0.21,0.00,0.13,-0.49,-0.19,0.00000,101919.00,1019.00,1019.00,1019.00
120107,0,0,0,350.00,43.66,0.21,0.00,-0.06,-0.49,0.13,0.00000,1019,10191019.00,1019.00,1019.00
121058,0,0,0,350.00,43.66,0.21,0.00,0-0.49,0.06,0.00000,1019,1019.00,1019.00,1019.00,1019.00
123132,0,0,0,350.00,43.66,0.21,0.00,0.009,-0.13,0.00000,1019,1019.00,1019.00,1019.00,1019.00
123555,0,0,0,350.00,43.66,0.21,0.00,0.06,-0.49,0.06,0.00000,1019,1019.0019.00,1019.00,1019.00
127696,0,0,0,350.00,43.66,0.21,0.00,0.06,-0.49,-0.25,0.00000,1019,10191019.00,1019.00,1019.00
129343,0,0,0,350.00,43.66,0.21,0.00,-0.49,-0.13,0.00000,1019,1019.00,1019.00,1019.00,1019.00
129767,0,0,0,350.00,43.66,0.21,0.00,-0.06,-0.49,0.00,0.00000,1019,1019.009.00,1019.00,1019.00
130722,0,0,0,350.00,43.66,0.21,0.00,0.000.49,0.19,0.00000,1019,1019.00,1019.00,1019.00,1019.00
131137,0,0,0,350.00,43.66,0.21,0.00,-0.06,-0.49,-0.06,0.00000,1019,1019.0019.00,1019.00,1019.00
131837,0,0,0,350.00,43.66,0.21,0.00,0.00,-0.49,-0.13,0.00000,1019,1019.019.00,1019.00,1019.00
132794,0,0,0,350.00,43.66,0.21,0.001,-0.49,0.00,0.00000,1070,1070.00,1070.00,1070.00,1070.00
133210,0,0,0,350.00,43.66,0.21,0.00,0.06,-0.49,0.25,0.00000,1070,1070.0070.00,1070.00,1070.00
136937,0,0,0,350.00,43.66,0.21,0.0013,-0.49,0.00,0.00000,1070,1070.00,1070.00,1070.00,1070.00
137362,0,0,0,350.00,43.66,0.21,0.00,0.13,-0.49,0.13,0.00000,1070,1070.0070.00,1070.00,1070.00
147018,0,0,0,350.00,43.66,0.21,0.00,-0.06,-0.49,0.00,0.00000,1070,1070.01070.00,1070.00,1070.00
149096,0,0,0,350.00,43.66,0.21,0.00,0.13,-0.42,-0.06,0.00000,1070,10701070.00,1070.00,1070.00
153266,0,0,0,350.00,43.66,0.21,0.00,-0.13,-0.49,-0.25,0.00000,107070.00,1070.00,1070.00,1070.00
157408,0,0,0,350.00,43.66,0.21,0.00,-0.31,-0.49,-0.06,0.00000,11070.00,1070.00,1070.00,1070.00
158751,0,0,0,350.00,43.66,0.21,0.00,-0.13,-0.49,0.13,0.00000,1070,1070.0070.00,1070.00,1070.00
160822,0,0,0,350.00,43.66,0.21,0.00,0.06,-0.49,0.13,0.00000,1070,1070.1070.00,1070.00,1070.00
161523,0,0,0,350.00,43.66,0.21,0.00,0.13,-0.49,-0.19,0.00000,1070,1070.0070.00,1070.00,1070.00
162477,0,0,0,350.00,43.66,0.21,0.00,0-0.49,0.00,0.00000,1070,1070.00,1070.00,1070.00,1070.00
162904,0,0,0,350.00,43.66,0.21,0.00,0.00,-0.42,0.19,0.00000,1070,1070.0070.00,1070.00,1070.00
164548,0,0,0,350.00,43.66,0.21,0.00,0.2.49,-0.19,0.00000,1070,1070.00,1070.00,1070.00,1070.00
164990,0,0,0,350.00,43.66,0.21,0.00,0.25,-0.49,-0.13,0.00000,1070,1070.0070.00,1070.00,1070.00
167043,0,0,0,350.00,43.66,0.21,0.00,0.19,-0.49,0.00,0.00000,1070,1070.01070.00,1070.00,1070.00
168690,0,0,0,350.00,43.66,0.21,0.09,-0.49,-0.25,0.00000,1070,1070.00,1070.00,1070.00,1070.00
169115,0,0,0,350.00,43.66,0.21,0.00,0.00,-0.49,0.13,0.00000,1070,1070.1070.00,1070.00,1070.00
170070,0,0,0,350.00,43.66,0.21,0.013,-0.49,0.06,0.00000,1070,1070.00,1070.00,1070.00,1070.00
171214,0,0,0,350.00,43.66,0.21,0.00,-0.06,-0.49,-0.06,0.00000,10070.00,1070.00,1070.00,1070.00
172594,0,0,0,350.00,43.66,0.21,0.00,-0.06,-0.49,0.13,0.00000,10770.00,1070.00,1070.00,1070.00
174216,0,0,0,350.00,43.66,0.21,0.0013,-0.49,0.00,0.00000,1070,1070.00,1070.00,1070.00,1070.00
176710,0,0,0,350.00,43.66,0.21,0.00,0.00,-0.49,-0.13,0.00000,1070,1070.070.00,1070.00,1070.00
182494,0,0,0,350.00,43.66,0.21,0.00,0.00,-0.49.06,0.00000,1070,1070.00,1070.00,1070.00,1070.00
182917,0,0,0,350.00,43.66,0.21,0.00,0.00,-0.49,-0.13,0.00000,1070,1070.00,1070.00.00,1070.00
183872,0,0,0,350.00,43.66,0.21,0.00,0.00,-0.49,-0.00000,1070,1070.00,1070.00,1070.00,1070.00
184564,0,0,0,350.00,43.66,0.21,0.00,0.06,-0.49,0..00000,1070,1070.00,1070.00,1070.00,1070.00
184987,0,0,0,350.00,43.66,0.21,0.00,-0.06,-0.49,0.00,0.00000,1070,1070.00,1070.00,1070.0070.00
186368,0,0,0,350.00,43.66,0.21,0.00,0.06,-0.49,0.06,0.00000,1070,1070.00,1070.00,1070.070.00
188018,0,0,0,350.00,43.66,0.21,0.00,-0.19,-0.4913,0.00000,1070,1070.00,1070.00,1070.00,1070.00
188433,0,0,0,350.00,43.66,0.21,0.00,0.19,-0.49,-0.13,0.00000,1070,1070.00,1070.070.00,1070.00
194231,0,0,0,350.00,43.66,-0.13,0.00,-0.060.83,0.00,0.00000,1070,1070.00,1070.00,1070.00,1070.00
194687,0,0,0,350.00,43.66,-0.13,0.00,0.25,-0.83,0.000.00000,1070,1070.00,1070.00,1070.00,1070.00
221807,0,0,0,350.00,43.66,-0.13,0.00,0.13,-0.76,0.06,0.00000,1070,1070.001070.00,1070.00,1070.00
222271,0,0,0,350.00,43.66,-0.13,0.00,-0.06,-0.83,0.13,0.00000,1070,1070.00,1070.001070.00,1070.00
222725,0,0,0,350.00,43.66,-0.13,0.00,-0.37,-0.83,0.06,0.00000,1070,1070.00,1070.00,1070.01070.00
230583,0,0,0,350.00,43.66,-0.13,0.00,0.13,-0.83,-0.250.00000,1070,1070.00,1070.00,1070.00,1070.00
231473,0,0,0,350.00,43.66,-0.13,0.00,0.00,-0.83,0.00,0.00000,1070,1070.00070.00,1070.00,1070.00
234003,0,0,0,350.00,43.66,-0.13,0.00,0.00,-0.83,0.06,0.00000,1070,1070.1070.00,1070.00,1070.00
236103,0,0,0,350.00,43.66,-0.13,0.00,-0.06,-0.83,0.00,0.00000,10701070.00,1070.00,1070.00,1070.00
237719,0,0,0,350.00,43.66,-0.13,0.00,0.00,-0.83,-0.130.00000,1070,1070.00,1070.00,1070.00,1070.00
238613,0,0,0,350.00,43.66,-0.13,0.00,0.13,-0.83,0.00,0.00000,1070,1070.001070.00,1070.00,1070.00
242323,0,0,0,350.00,43.66,-0.13,0.00,-0.25-0.83,-0.06,0.00000,1070,1070.00,1070.00,1070.00,1070.00
245768,1,0,0,350.00,43.66,-0.31,0.00,0.44,-1.00,-0.13,0.000001019,1019.00,1019.00,1019.00,1019.00
246228,1,0,0,350.00,43.66,-0.35,0.00,-0.06,-1.05,0.19,0.00000,1019019.00,1019.00,1019.00,1019.00
252407,1,0,0,350.00,43.66,0.01,0.00,0.00,-0.69,-0.37,0.00000,1250,1250.00,1250.050.00,1250.00
256587,1,0,0,350.00,43.66,0.05,0.00,-1.75,-0.602.94,-0.00000,1463,1454.00,1454.00,1454.00,1454.00
257465,1,0,0,350.00,43.66,0.18,0.00,0.06,-0.52,-0.19,0.00000,1523,1523.00,1523.00,1523.001524.00
262109,1,0,0,350.00,43.66,-0.03,0.00,-0.44,-0.73,0.060.00000,1501,1501.00,1501.00,1501.00,1501.00
267403,1,1,0,350.00,58.77,3.00,0.00,-4.19,-4.12,0.00000,1501,1501.00,1501.00,1501.00,1501.00
268782,1,1,0,350.00,58.77,1.35,0.00,-0.56,0.72,-3.0.00000,1295,1306.00,1304.00,1304.00,1306.00
270396,0,0,0,350.00,58.77,0.93,0.00,-0.22,-0.62,0.00000,1014,1014.00,1014.00,1014.00,1014.00
276604,0,0,0,350.00,58.77,0.00,0.00,-0.44,-0.63,0.3700000,1014,1014.00,1014.00,1014.00,1014.00
278447,1,0,0,350.00,58.77,0.06,0.00,0.56,-0.64.44,0.00000,1015,1015.00,1015.00,1015.00,1015.00
281334,1,0,0,350.00,58.77,0.33,0.00,-0.75,-0.31,0.88,-0.00000,1367,1355.00,1355.00,1367.00
293366,0,0,0,350.00,68.28,-0.58,0.00,1.56,-1.26,-1.12,0.00000,1014,1013.00,1015.001015.00,1013.00
295475,0,0,0,350.00,68.28,-0.63,0.00,0.62,-1.26-0.81,0.00000,1014,1013.00,1015.00,1015.00,1013.00
