micros,flip,phase,spf_roll,roll_rlv,roll,spf_r_rate,gxrs,error_roll,error_r_rate,m1,m2,m3,m4
108,0,0,0.00,0.00,0.00,0.00,-4.12,-0.47,-4.12,1021.00,1023.00,1023.00,1021
128,0,0,0.00,0.00,-0.14,0.00,-4.37,-0.61,-4.50,1020.00,1024.00,1024.00,1020.00
219,0,0,0.00,0.00,-0.57,0.00,-0.81,-1.11,-1.44,1021.00,1023.00,1023.00,1021.00
241,0,0,0.00,0.00,-0.56,0.00,1.00,-1.13,0.56,1022.00,1022.00,1022.00,1022.00
257,0,0,0.00,0.00,-0.51,0.00,2.06,-1.09,1.69,1022.00,1022.00,1022.00,1022.00
326,0,0,0.00,0.00,-0.06,0.00,4.75,-0.67,4.87,1023.00,1021.00,1021.00,1023.00
398,0,0,0.00,0.00,0.45,0.00,3.06,-0.14,3.69,1023.00,1021.00,1021.00,1023.00
488,0,0,0.00,0.00,0.49,0.00,-2.25,-0.03,-1.75,1022.00,1022.00,1022.00,1022.00
517,0,0,0.00,0.00,0.37,0.00,-2.94,-0.16,-2.75,1021.00,1023.00,1023.00,1021.00
537,0,0,0.00,0.00,0.28,0.00,-3.31,-0.25,-3.37,1021.00,1023.00,1023.00,1021.00
629,0,0,0.00,0.00,-0.13,0.00,-2.87,-0.66,-3.19,1021.00,1023.00,1023.00,1021.00
800,0,0,0.00,0.00,-0.06,0.00,3.50,-0.68,2.81,1022.00,1022.00,1022.00,1022.00
879,0,0,0.00,0.00,0.39,0.00,3.94,-0.24,4.31,1023.00,1021.00,1021.00,1023.00
1038,0,0,0.00,0.00,0.34,0.00,-3.06,-0.19,-2.62,1014.00,1016.00,1016.00,1014.00
1085,0,0,0.00,0.00,0.05,0.00,-3.25,-0.44,-3.25,1013.00,1015.00,1015.00,1013.00
1164,0,0,0.00,0.00,-0.22,0.00,-1.94,-8,-1.94,1013.00,1015.00,1015.00,1013.00
1216,0,0,0.00,0.00,-0.31,0.00,-0.31,-0.85,-1.19,1014.00,1014.00,1014.00,1014.00
1297,0,0,0.00,0.00,-0.08,0.00,3.31,-0.68,3.00,1014.00,1014.00,00,1014.00
1314,0,0,0.00,0.00,0.01,0.00,3.69,-0.59,3.75,1015.00,1013.00,1013.00,1015.00
1388,0,0,0.00,0.00,0.34,0.00,2.44,-0.24,3.06,1015.00,1013.00,1013.00,1015.00
1478,0,0,0.00,0.00,0.36,0.00,-1.56,-0.10,-0.75,1014.00,1014.00,1014.00,1014.00
1563,0,0,0.00,0.00,-0.12,0.00,-2.81,-0.58,-2.81,1000,1015.00,1015.00,1013.00
1581,0,0,0.00,0.00,-0.20,0.00,-2.56,-0.73,-2.75,1013.00,1015.00,1015.00,1013.00
1699,0,0,0.00,0.00,-0.08,0.00,3.00,-0.67,2.75,1014.00,1014.00,1014.00,1014.00
1768,0,0,0.00,0.00,0.29,0.00,2.87,-0.33,3.19,1015.00,1013.00,1013.00,1015.00
1952,0,0,0.00,0.00,0.11,0.00,-2.37,-0.41,-2.50,1013.00,1015.00,100,1013.00
1973,0,0,0.00,0.00,0.01,0.00,-2.44,-0.48,-2.50,1013.00,1015.00,1015.00,1013.00
2063,0,0,0.00,0.00,-0.23,0.00,-0.31,-0.71,-0.56,1014.00,1014.00,1014.00,1014.00
2162,0,0,0.00,0.00,0.02,0.00,3.00,-0.56,2.81,1014.00,1014.00,1014.00,1014.00
2357,0,0,0.00,0.00,0.14,0.00,-1.87,-0.37,-1.50,1015.00,1015.00,1015.00,1015
2378,0,0,0.00,0.00,0.09,0.00,-1.94,-0.44,-2.12,1013.00,1015.00,1015.00,1013.00
2462,0,0,0.00,0.00,-0.19,0.00,-1.37,-0.71,-1.81,1014.00,1016.00,1016.00,0
2480,0,0,0.00,0.00,-0.23,0.00,-0.81,-0.76,-1.19,1041.00,1041.00,1041.00,1041.00
2501,0,0,0.00,0.00,-0.27,0.00,0.06,-0.82,-0.50,1081.00,1081.00,1081.00,1081.00
2581,0,0,0.00,0.00,0.09,0.00,9.75,-0.57,5.81,1248.00,1246.00,1246.00,1248.00
2645,0,0,0.00,0.00,1.19,0.00,4.31,0.52,9.31,1282.00,1276.00,1276.00,1282.00
2724,0,0,0.00,0.00,0.71,0.00,-7.81,0.31,-8.19,1283.00,1289.00,1289.00,1283.00
2746,0,0,0.00,0.00,0.37,0.00,-6.25,-0.14,-11.38,1282.00,1290.00,1290.00,1282.00
