micros,flip,phase,spf_roll,roll_rlv,roll,spf_r_rate,gxrs,error_roll,error_r_rate,m1,m2,m3,m4
100,0,0,0.00,0.00,-0.18,0.00,-0.06,-0.18,-,1000.00,1000.00,1000.00,1000.00
180,0,0,0.00,0.00,-0.18-0.18,0.00,0.00,-0.81,0.06,1027.00,1027.00,1027.00,1027.00
271,0,0,0.00,0.00,-0.18,0.00,-0.13,-0.81,0.13,1027.00,1027.00,1027.00,1027
296,0,0,0.00,0.00,-0.18,0.00,0.00,-0.81,-0.13,1027.00,1027.00,1027.00,1027.00
479,0,0,0.00,0.00,-0.18,0.00,-0.06,-0.81,0.19,1027.00,1027.00,1027.00,1027.00
677,0,0,0.00,0.00,-0.18,0.00,0.19,-0.81,0.06,1027.00,1027.00,1027.00,102
701,0,0,0.00,0.00,-0.18,0.00,0.25,-0.81,0.06,1027.00,1027.00,1027.00,1027.00
941,0,0,0.00,0.00,-0.18,0.00,-0.06,-0.81,0.13,1027.00,1027.00,1027.00,1027.00
1124,0,0,0.00,0.00,-0.18,0.00,0.00,-0.81,0.13,1027.00,1027.00,1027.00,00
1145,0,0,0.00,0.00,-0.18,0.00,-0.06,-0.74,0.06,1027.00,1027.00,1027.00,1027.00
1364,0,0,0.00,0.00,-0.18,0.00,-0.25,-0.81,-0.13,1027.00,1027.00,1027.00,1027.00
1461,0,0,0.00,0.00,-0.18,0.00,-0.19,-0.81,-0.06,1027.00,1027.00,1027.00,1027.00
1513,0,0,0.00,0.00,-0.18,0.00,-0.06,-0.81,0.00,1027.00,1027.00,1027.00,1027.00
1590,0,0,0.00,0.00,-0.18,0.00,0.06,-0.81,0.13,100,1027.00,1027.00,1027.00
1611,0,0,0.00,0.00,-0.18,0.00,0.06,-0.81,-0.25,1027.00,1027.00,1027.00,1027.00
1645,0,0,0.00,0.00,-0.18,0.00,-0.13,-0.81,-0.06,1027.00,1027.00,1027.00,1027.00
1773,0,0,0.00,0.00,-0.18,0.00,0.06,-0.81,0.00,1027.00,1027.00,1027.00,1027.00
1869,0,0,0.00,0.00,-0.18,0.00,-0.06,-0.81,-0.19,1027.00,1027.00,1027.00,1027.00
1891,0,0,0.00,0.00,-0.18,0.00,-0.13,-0.81,-0.13,1027.00,1027.00,1027.00,1027.00
2017,0,0,0.00,0.00,-0.18,0.00,-0.25,-0.81,0.31,1027.00,1027.00,1027.00,1027.00
2103,0,0,0.00,0.00,-0.18,0.00,0.06,-0.81,0.00,1027.00,1027.00,1027.00,1027.00
2186,0,0,0.00,0.00,-0.18,0.00,-0.13,-0.74,0.06,1027.00,1.00,1027.00,1027.00
2207,0,0,0.00,0.00,-0.18,0.00,0.06,-0.74,-0.13,1027.00,1027.00,1027.00,1027.00
2342,0,0,0.00,0.00,-0.18,0.00,-0.13,-0.81,0.00,1027.00,1027.00,1027.00,1027.00
2368,0,0,0.00,0.00,-0.18,0.00,-0.13,-0.81,-0.06,1027.00,1027.00,1027.00,1027.
2389,0,0,0.00,0.00,-0.18,0.00,-0.06,-0.74,-0.25,1027.00,1027.00,1027.00,1027.00
2569,0,0,0.00,0,-0.18,0.00,0.13,-0.81,-0.19,1027.00,1027.00,1027.00,1027.00
2635,0,0,0.00,0.00,-0.18,0.00,-0.06,-0.81,-0.06,1027.00,1027.00,1027.00,1027.00
2686,0,0,0.00,0.00,-0.18,0.00,-0.06,1,-0.06,1027.00,1027.00,1027.00,1027.00
2718,0,0,0.00,0.00,-0.18,0.00,-0.13,-0.81,0.06,1027.00,1027.00,1027.00,1027.00
2818,0,0,0.00,0.00,-0.18,0.00,0.19,-0.81,0.19,1027.00,1027.00,1027.00,1027.00
2899,0,0,0.00,0.00,-0.18,0.00,-0.13,-0.81,0.13,1027.00,1027.00,1027.00,1027.00
2922,0,0,0.00,0.00,-0.18,0.00,0.06,-0.81,0.06,1027.00,1027.00,1027.00,1027.00
3009,0,0,0.00,0.00,-0.18,0.00,0.00,-0.81,0.25,1027.00,1027.00,1027.00,1027.00
3098,0,0,0.00,0.00,-0.18,0.00,0.00,-0.74,-0.13,1027.00,1027.00,1027.00,1027.00
3200,0,0,0.00,0.00,-0.18,0.00,-0.06,-0.74,-0.25,1027.00,1027.00,7.00,1027.00
3226,0,0,0.00,0.00,-0.18,0.00,0.06,-0.81,-0.06,1027.00,1027.00,1027.00,1027.00
3315,0,0,0.00,0.00,-0.18,0.00,-0.13,-0.81,0.06,1027.00,1027.00,1027.00,1027.00
3335,0,0,0.00,0.00,-0.18,0.00,0.13,-0.81,0.06,1027.00,1027.00,1027.00,1027.00
3351,0,0,0.00,0.00,-0.18,0.00,0.06,-0.81,0.06,1027.00,1027.00,1027.00,1027.00
3427,0,0,0.00,0.00,-0.18,0.00,0.06,-0.81,0.19,1027.00,1027.00,1027.00,1027.00
3518,0,0,0.00,0.00,-0.18,0.00,0.00,-0.74,0.06,1027.00,1027.00,1027.00,1027.00
3682,0,0,0.00,0.00,-0.18,0.00,0.00,-0.81,-0.06,1027.00,00,1027.00,1027.00
3706,0,0,0.00,0.00,-0.18,0.00,-0.13,-0.74,-0.13,1027.00,1027.00,1027.00,1027.00
3904,0,0,0.00,0.00,-0.18,0.00,-0.19,-0.74,-0.06,1030.00,1030.00,1030.00,100
3927,0,0,0.00,0.00,-0.18,0.00,0.06,-0.81,0.13,1031.00,1031.00,1031.00,1031.00
4094,0,0,0.00,0.00,-0.18,0.00,0.00,-0.81,0.00,1037.00,1037.00,1037.00,1037.00
