micros,flip,phase,spf_roll,roll_rlv,roll,spf_r_rate,gxrs,error_roll,error_r_rate,m1,m2,m3,m4
136,0,0,0.00,0.00,-0.14,0.00,1.50,-0.72,0.88,1022.00,1022.00,1022.00,1022.00
333,0,0,0.00,0.00,0.42,0.00,1.62,-0.21,1.81,1022.00,1022.00,1022.00,1022.00
432,0,0,0.00,0.00,0.26,0.00,-2.25,-0.32,-2.00,1022.00,10,1023.00,1021.00
450,0,0,0.00,0.00,0.18,0.00,-2.50,-0.33,-2.31,1021.00,1023.00,1023.00,1021.00
530,0,0,0.00,0.00,-0.12,0.00,-1.75,-0.71,-1.94,1021.00,00,1023.00,1021.00
575,0,0,0.00,0.00,-0.19,0.00,-0.06,-0.75,-0.69,1022.00,1022.00,1022.00,.00
596,0,0,0.00,0.00,-0.19,0.00,0.37,-0.82,0.31,1022.00,1022.00,1022.00,1022.00
687,0,0,0.00,0.00,0.05,0.00,2.81,-0.54,2.94,1022.00,1022.00,1022.00,1022.00
814,0,0,0.00,0.00,0.47,0.00,2.06,-0.20,2.50,1022.00,1022.00,1022.00,1022.00
920,0,0,0.00,0.00,0.50,0.00,-1.44,-0.12,-1.00,1022.00,1022.00,1022.00,10
944,0,0,0.00,0.00,0.44,0.00,-2.12,-0.16,-1.62,1022.00,1022.00,1022.00,1022.00
1037,0,0,0.00,0.00,0.09,0.00,-2.00,-0.51,-2.31,1021.00,1023.00,1023.00,1021.00
1145,0,0,0.00,0.00,0.14,0.00,2.25,-0.44,1.87,1022.00,1022.00,1022.00,1022.00
1208,0,0,0.00,0.00,0.34,0.00,3.00,-0.32,3.12,1023.00,0,1021.00,1023.00
1229,0,0,0.00,0.00,0.41,0.00,3.12,-0.18,3.06,1023.00,1021.00,1021.00,1023.00
1453,0,0,0.00,0.00,0.21,0.00,-2.25,-0.39,-2.25,1021.00,1023.00,1023.00,1021.00
1551,0,0,0.00,0.00,-0.05,0.00,-0.88,-0.67,-1.06,1022.00,1022.00,1022.00,1
1571,0,0,0.00,0.00,-0.07,0.00,-0.25,-0.63,-0.25,1022.00,1022.00,1022.00,1022.00
1676,0,0,0.00,0.00,0.11,0.00,2.94,-0.49,2.62,1022.00,1022.00,1022.00,0
1697,0,0,0.00,0.00,0.18,0.00,3.00,-0.42,2.94,1022.00,1022.00,1022.00,1022.00
1781,0,0,0.00,0.00,0.42,0.00,1.62,-0.24,2.06,1022.00,1022.00,1022.00,1022.00
1867,0,0,0.00,0.00,0.41,0.00,-0.94,-0.14,-0.75,1025.00,1025.00,1025.00,10
1890,0,0,0.00,0.00,0.36,0.00,-1.25,-0.18,-1.00,1026.00,1026.00,1026.00,1026.00
2017,0,0,0.00,0.00,-0.04,0.00,-1.94,-0.56,-2.25,1027.00,1029,1029.00,1027.00
2047,0,0,0.00,0.00,-0.10,0.00,-1.50,-0.69,-1.81,1027.00,1029.00,1029.00,1027.00
2146,0,0,0.00,0.00,-0.09,0.00,1.50,-0.67,1.00,1029.00,1029.00,1029.00,1029.00
2173,0,0,0.00,0.00,-0.01,0.00,2.25,-0.66,2.12,1029.00,1029.00,1029.00,1029.00
2191,0,0,0.00,0.00,0.06,0.00,2.31,-0.59,2.37,1029.00,1029.00,1029.00,1029.00
2273,0,0,0.00,0.00,0.38,0.00,2.56,-0.21,2.37,1031.00,1031.00,1031.00,1031.00
2367,0,0,0.00,0.00,0.51,0.00,0.19,-0.05,0.44,1044.00,1044.00,1044.00,1044.00
2477,0,0,0.00,0.00,0.27,0.00,-2.19,-0.31,-1.94,1045.00,1045.00,1045.00,1045.00
2601,0,0,0.00,0.00,-0.09,0.00,0.56,-0.64,0.31,1045.00,1045.00,1045.00,1045.00
2680,0,0,0.00,0.00,0.08,0.00,2.87,-0.57,2.56,1045.00,1045.00,1045.00,1045.00
2827,0,0,0.00,0.00,0.39,0.00,0.81,-0.17,1.19,1045.00,1045.00,1045.00,1045.00
2931,0,0,0.00,0.00,0.23,0.00,-1.81,-0.31,-1.75,1045.00,1045.00,1045.00,1045.00
3043,0,0,0.00,0.00,-0.15,0.00,-0.25,-0.69,-0.88,1045.00,1045.00,1045.00,1045.00
3161,0,0,0.00,0.00,-0.01,0.00,2.37,-0.62,2.00,1045.00,1045.00,1045.00,1045.00
3327,0,0,0.00,0.00,0.43,0.00,-0.81,-0.11,-0.25,1045.00,1045.00,1045.00,1045.00
3428,0,0,0.00,0.00,0.18,0.00,-1.87,-0.42,-2.25,1044.00,1046.00,1046.00,1044.00
3467,0,0,0.00,0.00,0.07,0.00,-1.06,-0.48,-1.37,1045.00,1045.00,1045.00,1045.00
3548,0,0,0.00,0.00,0.06,0.00,0.88,-0.50,0.88,1045.00,1045.00,1045.00,1045.00
3729,0,0,0.00,0.00,0.51,0.00,1.31,-0.06,1.75,1045.00,1045.00,1045.00,1045.00
3834,0,0,0.00,0.00,0.31,0.00,-1.81,-0.21,-1.62,1022.00,1022.00,1022.00,1022.00
