micros,flip,phase,spf_roll,roll_rlv,roll,spf_r_rate,gxrs,error_roll,error_r_rate,m1,m2,m3,m4
34,0,0,0.00,0.00,1.02,0.00,1.87,0.43,1.94,1265.00,1263.00,1263.00,1265.00
93,0,0,0.00,0.00,1.11,0.00,0.44,0.55,0.62,1264.00,1264.00,1264.04.00,1264.00
114,0,0,0.00,0.00,1.11,0.00,-0.25,0.55,0.31,1264.00,1264.00,1264.00,1264.00
422,0,0,0.00,0.00,0.97,0.00,1.56,0.39,1.69,1264.00,1264.00,1264.00,1264.00
517,0,0,0.00,0.00,1.08,0.00,1.31,0.51,1.37,1264.00,1264.00,1264.00,1264.00
589,0,0,0.00,0.00,1.08,0.00,0.06,0.53,0.13,1264.00,1264.00,1264.00,1264.00
678,0,0,0.00,0.00,0.94,0.00,-0.88,0.41,-0.94,1264.00,1264.00,1264.00,1264.00
915,0,0,0.00,0.00,0.88,0.00,1.25,0.31,1.31,1264.00,1264.00,1264.00,1264.00
1015,0,0,0.00,0.00,0.95,0.00,0.94,0.45,1.25,1264.00,1264.00,1264.00,1264.00
1087,0,0,0.00,0.00,0.94,0.00,0.19,0.39,0.19,1264.00,1264.264.00,1264.00,1264.00
1115,0,0,0.00,0.00,0.93,0.00,-0.13,0.38,0.13,1264.00,1264.00,1264.00,1264.00
1216,0,0,0.00,0.00,0.90,0.00,-0.50,0.34,-0.50,1264.00,1264.00,1264.00,1264.00
1349,0,0,0.00,0.00,0.98,0.00,0.94,0.40,0.62,1264.00,1264.00,1264.00,1264.064.00
1380,0,0,0.00,0.00,1.01,0.00,0.75,0.44,1.12,1264.00,1264.00,1264.00,1264.00
1459,0,0,0.00,0.00,1.07,0.00,0.56,0.58,0.56,1264.00,1264.00,1264.00,1264.00
1519,0,0,0.00,0.00,1.02,0.00,0.19,0.47,-0.06,1264.00,1261264.00,1264.00,1264.00
1538,0,0,0.00,0.00,1.00,0.00,-0.19,0.52,0.00,1264.00,1264.00,1264.00,1264.00
1617,0,0,0.00,0.00,0.94,0.00,-0.19,0.45,0.06,1264.00,1264.00,1264.00,1264.00
1675,0,0,0.00,0.00,0.88,0.00,0.31,0.33,0.44,1264.00,1264.00,1264.00,1264.00
1695,0,0,0.00,0.00,0.87,0.00,0.69,0.31,0.56,1264.00,1264.00,1264.00,1264.00
1791,0,0,0.00,0.00,0.89,0.00,0.69,0.39,0.75,1264.00,1264.00,1264.00,1264.00
1895,0,0,0.00,0.00,0.85,0.00,0.44,0.30,0.44,1264.00,1264.00,1264.00,1264.00
1983,0,0,0.00,0.00,0.80,0.00,-0.50,0.24,-0.69,1264.00,1264.00,1264.00,1264.00
2276,0,0,0.00,0.00,0.70,0.00,-0.06,0.14,0.06,1263.00,1263.00,1263.00,1263.00
2325,0,0,0.00,0.00,0.70,0.00,-0.19,0.14,-0.31,1252.00,0,1250.00,1250.00
2342,0,0,0.00,0.00,0.70,0.00,-0.31,0.14,-0.13,1249.00,1249.00,1249.00,1249.00
