micros,flip,phase,spf_roll,roll_rlv,roll,spf_r_rate,gxrs,error_roll,error_r_rate,m1,m2,m3,m4
66,0,0,0.00,0.00,1.52,0.00,9.13,0.79,9.75,1026.00,1018.00,1018.00,1026.00
97,0,0,0.00.00,0.00,1.84,0.00,2.25,1.24,3.87,1024.00,1020.00,1020.00,1024.00
130,0,0,0.00,0.00,1.83,0.00,-1.19,1.29,0.81,1023.00,1021.00,1021.00,1023.00
149,0,0,0.00,0.00,1.68,0.00,-4.56,1.17,-3.69,1022.00,1022.00,1022.00,1022.00
237,0,0,0.00,0.00,0.35,0.00,-9.44,-0.12,-9.94,1019.00,1025.00,1025.00,1019.00
302,0,0,0.00,0.00,-0.35,0.00,-5.31,-,-5.31,1020.00,1024.00,1024.00,1020.00
341,0,0,0.00,0.00,-0.49,0.00,0.06,-1.04,-1.81,1021.00,1023.00,1023.00,1021.00
416,0,0,0.00,0.00,0.07,0.00,8.63,-0.65,7.37,1024.00,1020.00,1020.00,1024.00
455,0,0,0.00,0.00,0.44,0.00,10.50,-0.22,10.13,1025.00,1019.00,1019.00,1025.00
477,0,0,0.00,0.00,0.74,0.00,10.81,0.08,10.81,1026.00,1018.00,1018.00,1026.00
560,0,0,0.00,0.00,1.67,0.00,4.75,1.02,7.12,1025.00,1019.00,1019.00,1025.00
635,0,0,0.00,0.00,1.56,0.00,-5.31,1.05,-4.56,1021.00,1023.00,1023.00,1021.00
709,0,0,0.00,0.00,0.55,0.00,-9.94,0.19,-9.38,1019.00,1025.00,1025.00,1019.00
789,0,0,0.00,0.00,-0.36,0.00,-4.44,-0.88,-6.12,1020.00,00,1024.00,1020.00
875,0,0,0.00,0.00,-0.38,0.00,4.06,-1.00,2.44,1022.00,1022.00,1022.00,1022.00
975,0,0,0.00,0.00,0.44,0.00,10.00,-0.21,9.69,1025.00,1019.00,1019.00,1025.00
1092,0,0,0.00,0.00,1.64,0.00,5.00,1.03,5.87,1024.00,1020.00,1020.00,1024.00
1176,0,0,0.00,0.00,1.51,0.00,-4.81,1.04,-3.69,1022.00,1022.00,1022.00,1022.00
1285,0,0,0.00,0.00,0.16,0.00,-8.69,-0.31,-8.88,1019.00,100,1025.00,1019.00
1303,0,0,0.00,0.00,-0.06,0.00,-7.37,-0.55,-8.25,1019.00,1025.00,1025.00,1019.00
1503,0,0,0.00,0.00,1.16,0.00,9.25,0.51,9.56,1026.00,1018.00,1018.00,1026.00
1569,0,0,0.00,0.00,1.76,0.00,1.12,1.20,2.00,1023.00,1021.00,1021.00,1023.00
1685,0,0,0.00,0.00,1.02,0.00,-8.88,0.64,-7.87,1020.00,1024.00,1024.00,1020.00
1806,0,0,0.00,0.00,-0.27,0.00,-1.62,-0.80,-2.44,1021.00,1023.00,1023.00,1021.00
1970,0,0,0.00,0.00,1.30,0.00,8.13,0.67,8.88,1025.00,1019.00,1019.00,1025.00
1993,0,0,0.00,0.00,1.55,0.00,6.19,0.94,6.69,1025.00,1019.00,1019.00,1025.00
2081,0,0,0.00,0.00,1.75,0.00,1.25,1.18,1.62,1023.00,1021.00,1021.00,1023.00
2132,0,0,0.00,0.00,1.50,0.00,-5.37,1.06,-3.81,1022.00,1022.00,1022.00,1022.00
2183,0,0,0.00,0.00,0.83,0.00,-8.69,0.43,-8.06,1020.00,10,1025.00,1019.00
2201,0,0,0.00,0.00,0.56,0.00,-8.75,0.17,-8.75,1019.00,1025.00,1025.00,1019.00
2293,0,0,0.00,0.00,-0.22,0.00,-3.37,-0.71,-4.56,1020.00,1,1023.00,1021.00
2345,0,0,0.00,0.00,-0.16,0.00,3.50,-0.80,2.94,1022.00,1022.00,1022.00,1022.00
2405,0,0,0.00,0.00,0.61,0.00,9.13,-0.04,8.69,1025.00,1019.00,1019.00,1025.00
2469,0,0,0.00,0.00,1.49,0.00,5.81,0.88,7.00,1025.00,1019.00,1019.00,1025.00
2546,0,0,0.00,0.00,1.48,0.00,-4.37,0.97,-3.75,1022.00,1022.00,1022.00,1022.00
2644,0,0,0.00,0.00,0.02,0.00,-6.00,-0.41,-6.87,1020.00,1024.00,1024.00,1020.00
2742,0,0,0.00,0.00,-0.13,0.00,4.19,-0.74,2.50,1022.00,1022.00,1022.00,1022.00
2885,0,0,0.00,0.00,1.02,0.00,8.44,0.38,8.69,1025.00,1019.00,1019.00,1025.00
