millis,armed,roll,pitch,yaw,gx,gy,gz,err_roll,err_pitch,err_yaw,m1,m2,m3,m4
44,0,-1.00,-1.70,-0.25,-0.13,0.06,0.19,-1.00,-1.70,-0.25,1000.00,1001.00,1000.00,1000.00
91,0,-1.00,-1.70,-0.25,-0.25,-0.13,0.19,-1.00,-1.70,-0.25,1000.00,1001.00,1000.00,1000.00
341,0,-1.00,-1.70,-0.25,0.31,-0.25,-0.06,-1.00,-1.70,-0.25,1000.00,1001.00,1000.00,1000.00
378,0,-1.00,-1.70,-0.25,0.25,0.00,-0.19,-1.00,-1.70,-0.25,1000.00,1001.00,1000.00,1000.00
693,0,-1.00,-1.70,-0.25,0.00,0.06,0.06,-1.00,-1.70,-0.25,1000.00,1001.00,1000.00,1000.00
1030,0,-1.00,-1.70,-0.25,-0.06,0.00,0.00,-1.00,-1.70,-0.25,1000.00,1001.00,1000.00,1000.00
1075,0,-1.00,-1.70,-0.25,0.00,0.06,-0.06,-1.00,-1.70,-0.25,1000.00,1001.00,1000.00,1000.00
1338,0,-1.00,-1.70,-0.25,0.13,-0.06,0.06,-1.00,-1.70,-0.25,1000.00,1001.00,1000.00,1000.00
1362,0,-1.00,-1.70,-0.25,0.13,0.06,-0.06,-1.00,-1.70,-0.25,1000.00,1001.00,1000.00,1000.00
1391,0,-1.00,-1.70,-0.25,-0.19,0.13,0.00,-1.00,-1.70,-0.25,1000.00,1001.00,1000.00,1000.00
1624,0,-1.00,-1.70,-0.25,0.00,0.06,0.06,-1.00,-1.70,-0.25,1000.00,1001.00,1000.00,1000.00
1644,0,-1.00,-1.70,-0.25,-0.13,0.00,0.00,-1.00,-1.70,-0.25,1000.00,1001.00,1000.00,1000.00
1669,0,-1.00,-1.70,-0.25,-0.13,0.06,0.06,-1.00,-1.70,-0.25,1000.00,1001.00,1000.00,1000.00
1982,0,-1.00,-1.70,-0.25,0.06,-0.06,-0.06,-1.00,-1.70,-0.25,1000.00,1001.00,1000.00,1000.00
2263,0,-1.00,-1.70,-0.25,-0.06,-0.06,-0.06,-1.00,-1.70,-0.25,1000.00,1001.00,1000.00,1000.00
2585,0,-1.00,-1.70,-0.25,-0.19,0.06,0.06,-1.00,-1.70,-0.25,1000.00,1001.00,1000.00,1000.00
2630,0,-1.00,-1.70,-0.25,-0.13,0.00,0.00,-1.00,-1.70,-0.25,1000.00,1001.00,1000.00,1000.00
2811,0,-1.00,-1.70,-0.25,-0.13,-0.06,0.06,-1.00,-1.70,-0.25,1000.00,1001.00,1000.00,1000.00
2861,0,-1.00,-1.70,-0.25,0.00,0.00,-0.06,-1.00,-1.70,-0.25,1000.00,1001.00,1000.00,1000.00
2913,0,-1.00,-1.70,-0.25,0.06,0.13,-0.06,-1.00,-1.70,-0.25,1000.00,1001.00,1000.00,1000.00
3073,0,-1.00,-1.70,-0.25,0.13,0.00,0.00,-1.00,-1.70,-0.25,1000.00,1001.00,1000.00,1000.00
3120,0,-1.00,-1.70,-0.25,-0.06,0.00,-0.06,-1.00,-1.70,-0.25,1000.00,1001.00,1000.00,1000.00
3185,0,-1.00,-1.70,-0.25,0.25,-0.19,0.06,-1.00,-1.70,-0.25,1000.00,1001.00,1000.00,1000.00
3361,0,-1.00,-1.70,-0.25,-0.13,0.06,-0.06,-1.00,-1.70,-0.25,1000.00,1001.00,1000.00,1000.00
3446,0,-1.00,-1.70,-0.25,-0.19,0.00,-0.13,-1.00,-1.70,-0.25,1000.00,1001.00,1000.00,1000.00
3535,0,-1.00,-1.70,-0.25,0.06,-0.06,-0.06,-1.00,-1.70,-0.25,1000.00,1001.00,1000.00,1000.00
3901,0,-1.00,-1.70,-0.25,0.00,0.00,0.00,-1.00,-1.70,-0.25,1000.00,1001.00,1000.00,1000.00
4360,0,-1.00,-1.70,-0.25,0.06,-0.13,0.06,-1.00,-1.70,-0.25,1000.00,1001.00,1000.00,1000.00
4828,0,-1.00,-1.70,-0.25,-0.06,-0.06,-0.06,-1.00,-1.70,-0.25,1000.00,1001.00,1000.00,1000.00
5286,0,-1.00,-1.70,-0.25,-0.13,0.13,0.00,-1.00,-1.70,-0.25,1000.00,1001.00,1000.00,1000.00
5741,0,-1.00,-1.70,-0.25,0.19,0.00,0.00,-1.00,-1.70,-0.25,1000.00,1001.00,1000.00,1000.00
6246,0,-1.00,-1.70,-0.25,0.00,-0.06,0.00,-1.00,-1.70,-0.25,1000.00,1001.00,1000.00,1000.00
6287,0,-1.00,-1.70,-0.25,-0.13,0.13,0.13,-1.00,-1.70,-0.25,1000.00,1001.00,1000.00,1000.00
6319,0,-1.00,-1.70,-0.25,-0.06,0.06,0.06,-1.00,-1.70,-0.25,1000.00,1001.00,1000.00,1000.00
6713,0,-1.00,-1.70,-0.25,0.06,0.06,0.06,-1.00,-1.70,-0.25,1000.00,1001.00,1000.00,1000.00
6752,0,-1.00,-1.70,-0.25,0.06,0.13,-0.13,-1.00,-1.70,-0.25,1000.00,1001.00,1000.00,1000.00
6787,0,-1.00,-1.70,-0.25,-0.31,-0.13,-0.06,-1.00,-1.70,-0.25,1000.00,1001.00,1000.00,1000.00
7172,0,-1.00,-1.70,-0.25,0.06,0.13,-0.06,-1.00,-1.70,-0.25,1000.00,1001.00,1000.00,1000.00
7211,0,-1.00,-1.70,-0.25,0.06,0.00,0.06,-1.00,-1.70,-0.25,1000.00,1001.00,1000.00,1000.00
7245,0,-1.00,-1.70,-0.25,0.00,0.19,0.00,-1.00,-1.70,-0.25,1000.00,1001.00,1000.00,1000.00
7630,0,-1.00,-1.70,-0.25,0.13,0.00,-0.06,-1.00,-1.70,-0.25,1000.00,1001.00,1000.00,1000.00
7671,0,-1.00,-1.70,-0.25,0.25,-0.06,-0.06,-1.00,-1.70,-0.25,1000.00,1001.00,1000.00,1000.00
7707,0,-1.00,-1.70,-0.25,-0.25,0.19,-0.06,-1.00,-1.70,-0.25,1000.00,1001.00,1000.00,1000.00
8096,0,-1.00,-1.70,-0.25,-0.06,-0.13,-0.06,-1.00,-1.70,-0.25,1000.00,1001.00,1000.00,1000.00
8133,0,-1.00,-1.70,-0.25,-0.25,-0.13,0.00,-1.00,-1.70,-0.25,1000.00,1001.00,1000.00,1000.00
8167,0,-1.00,-1.70,-0.25,-0.19,0.13,0.00,-1.00,-1.70,-0.25,1000.00,1001.00,1000.00,1000.00
8545,0,-1.00,-1.70,-0.25,0.00,0.13,0.00,-1.00,-1.70,-0.25,1000.00,1001.00,1000.00,1000.00
8586,0,-1.00,-1.70,-0.25,0.00,0.00,0.19,-1.00,-1.70,-0.25,1000.00,1001.00,1000.00,1000.00
8618,0,-1.00,-1.70,-0.25,0.00,0.06,-0.06,-1.00,-1.70,-0.25,1000.00,1001.00,1000.00,1000.00
9010,0,-1.00,-1.70,-0.25,0.00,-0.13,0.00,-1.00,-1.70,-0.25,1000.00,1001.00,1000.00,1000.00
