millis,armed,fp,roll,pitch,yaw,mfr,gx,spr,err_roll,u2
51,0,0,-0.84,5.85,-0.25,0.00,-6.44,0.00,-0.84,-0.000001
124,0,0,-0.27,5.85,-0.26,0.00,-8.25,0.00,-0.27,-0.000001
157,0,0,0.10,5.85,-0.26,0.00,-8.06,0.00,0.10,-0.000002
173,0,0,0.34,5.85,-0.26,0.00,-6.12,0.00,0.34,-0.000001
228,0,0,0.57,5.85,-0.27,0.00,-2.19,0.00,0.57,-0.000001
250,0,0,0.57,5.85,-0.27,0.00,0.19,0.00,0.57,-0.000000
287,0,0,0.47,5.85,-0.28,0.00,3.06,0.00,0.47,0.000000
302,0,0,0.33,5.84,-0.28,0.00,4.69,0.00,0.33,0.000001
351,0,0,-0.21,5.84,-0.28,0.00,7.50,0.00,-0.21,0.000001
424,0,0,-0.87,5.85,-0.28,0.00,6.69,0.000,-0.93,0.000001
447,0,0,-0.99,5.85,-0.28,0.00,5.69,0.00,-0.99,0.000001
499,0,0,-1.25,5.85,-0.28,0.00,0.44,0.00,-1.25,0.000000
548,0,0,-1.16,5.85,-0.28,0.00,-3.56,0.00,-1.16,-0.000000
575,0,0,-0.93,5.85,-0.29,0.00,-6.25,0.00,-0.93,-0.000001
618,0,0,-0.65,5.84,-0.29,0.00,-7.81,0.00,-0.65,-0.000.000001
634,0,0,-0.43,5.84,-0.29,0.00,-8.19,0.00,-0.43,-0.000001
697,0,0,0.13,5.84,-0.29,0.00,-6.87,0.00,0.13,-0.000001
716,0,0,0.29,5.84,-0.29,0.00,-5.44,0.00,0.29,-0.000001
794,0,0,0.48,5.84,-0.30,0.00,-0.75,0.00,0.48,-0.000000
850,0,0,0.13,5.84,-0.30,0.00,5.31,0.00,0.13,0.000001
883,0,0,-0.13,5.84,-0.31,0.00,6.75,0.00,-0.13,0.000001
953,0,0,-0.72,5.84,-0.31,0.00,6.87,0.00,-0.72,0.000001
967,0,0,-0.91,5.84,-0.31,0.00,6.25,0.00,-0.91,0.000001
1020,0,0,-1.25,5.84,-0.31,0.00,2.00,0.00,-1.25,0.000001
1059,0,0,-1.28,5.84,-0.31,0.00,-0.25,0.00,-1.28,0.000000
1084,0,0,-1.14,5.84,-0.31,0.00,-4.00,0.00,-1.14,-0.000000
1100,0,0,-1.04,5.84,-0.31,0.00,-5.06,0.00,-1.04,-0.000001
1135,0,0,-0.73,5.84,-0.31,0.00,-7.00,0.00,-0.73,-0.000001
1206,0,0,0.08,5.84,-0.31,0.00,-6.87,0.00,0.08,-0.000001
1261,0,0,0.44,5.84,-0.31,0.00,-3.19,0.00,0.44,-0.000001
1351,0,0,0.31,5.84,-0.32,0.00,3.87,0.00,0.31,0.000001
1423,0,0,-0.39,5.83,-0.32,0.00,7.19,0.00,-0.39,0.000001
1531,0,0,-1.20,5.83,-0.33,0.00,2.19,0.00,-1.20,0.000001
1567,0,0,-1.23,5.83,-0.33,0.00,-0.94,0.00,-1.21,0.000000
1581,0,0,-1.17,5.83,-0.33,0.00,-2.75,0.00,-1.17,-0.000000
1691,0,0,-0.33,5.83,-0.33,0.00,-7.69,0.00,-0.33,-0.000001
1745,0,0,0.16,5.83,-0.34,0.00,-5.56,0.00,0.16,-0.000001
1850,0,0,0.38,5.83,-0.34,0.00,0.44,0.00,0.38,-0.000000
1932,0,0,-0.05,5.83,-0.35,0.00,5.75,0.00,-0.05,0.000001
1961,0,0,-0.37,5.83,-0.35,0.00,6.75,0.00,-0.37,0.000001
2037,0,0,-1.04,5.83,-0.35,0.00,4.75,0.00,-1.04,0.000001
2094,0,0,-1.22,5.83,-0.35,0.00,0.44,0.00,-1.22,0.000000
2191,0,0,-0.63,5.83,-0.35,0.00,-6.75,0.00,-0.63,-0.000001
2216,0,0,-0.35,5.83,-0.35,0.00,-7.50,0.00,-0.35,-0.000001
2261,0,0,-0.07,5.83,-0.35,0.00,-7.00,0.00,-0.07,-0.000001
2279,0,0,0.11,5.83,-0.35,0.00,-5.87,0.00,0.11,-0.000001
2304,0,0,0.34,5.83,-0.35,0.00,-3.62,0.00,0.34,-0.000001
2320,0,0,0.42,5.83,-0.35,0.00,-1.87,0.00,0.42,-0.000000
2351,0,0,0.44,5.83,-0.35,0.00,0.25,0.00,0.44,-0.000000
2368,0,0,0.37,5.83,-0.35,0.00,2.56,0.00,0.37,0.000000
2402,0,0,0.22,5.83,-0.35,0.00,4.25,0.00,0.22,0.000001
2430,0,0,0.07,5.83,-0.35,0.00,5.50,0.00,0.07,0.000001
2445,0,0,-0.18,5.83,-0.35,0.00,6.56,0.00,-0.18,0.000001
2477,0,0,-0.44,5.83,-0.35,0.00,6.87,0.00,-0.44,0.000001
2562,0,0,-0.98,5.83,-0.35,0.00,3.00,0.00,-0.98,0.000001
2598,0,0,-1.05,5.83,-0.35,0.00,0.88,0.00,-1.05,0.000000
2650,0,0,-0.93,5.83,-0.35,0.00,-3.81,0.00,-0.93,-0.000000
2669,0,0,-0.79,5.83,-0.35,0.00,-5.19,0.00,-0.79,-0.000001
2732,0,0,-0.22,5.83,-0.35,0.00,-6.87,0.00,-0.22,-0.000001
2767,0,0,0.04,5.83,-0.35,0.00,-7.00,0.00,0.0.15,-0.000001
2783,0,0,0.25,5.83,-0.35,0.00,-5.75,0.00,0.25,-0.000001
2802,0,0,0.38,5.83,-0.35,0.00,-4.44,0.00,0.38,-0.000001
2873,0,0,0.50,5.83,-0.36,0.00,-0.31,0.00,0.50,-0.000000
2886,0,0,0.46,5.82,-0.36,0.00,1.25,0.00,0.46,0.000000
2920,0,0,0.44,5.82,-0.36,0.00,2.12,0.00,0.44,0.000000
2935,0,0,0.37,5.82,-0.37,0.00,3.19,0.00,0.37,0.000000
3008,0,0,-0.31,5.83,-0.37,0.00,6.37,0.00,-0.31,0.000001
3062,0,0,-0.81,5.83,-0.37,0.00,5.06,0.00,-0.81,0.000001
3139,0,0,-1.09,5.83,-0.38,0.00,-0.62,0.00,-1.09,0.000000>-0.000000
3154,0,0,-1.03,5.83,-0.37,0.00,-2.81,0.00,-1.03,-0.000000
3234,0,0,-0.47,5.83,-0.38,0.00,-6.44,0.00,-0.47,-0.000001
3294,0,0,0.02,5.82,-0.38,0.00,-6.19,0.00,0.02,-0.000001
3307,0,0,0.12,5.82,-0.39,0.00,-5.56,0.00,0.12,-0.000001
3341,0,0,0.33,5.82,-0.39,0.00,-2.87,0.00,0.33,-0.000001
3394,0,0,0.34,5.82,-0.39,0.00,0.31,0.00,0.34,-0.000000
3447,0,0,0.04,5.82,-0.40,0.00,4.94,0.00,0.04,0.000001
3499,0,0,-0.45,5.82,-0.40,0.00,6.06,0.00,-0.45,0.000001
3514,0,0,-0.57,5.82,-0.40,0.00,6.19,0.00,-0.57,0.000001
3550,0,0,-0.86,5.83,-0.40,0.00,5.06,0.00,-0.86,0.000001
3606,0,0,-1.11,5.83,-0.40,0.00,1.25,0.00,-1.11,0.000001
3623,0,0,-1.13,5.82,-0.40,0.00,0.19,0.00,-1.13,0.000000
3657,0,0,-1.04,5.83,-0.40,0.00,-3.25,0.00,-1.04,-00
3674,0,0,-0.98,5.82,-0.41,0.00,-3.94,0.00,-0.98,-0.000000
3707,0,0,-0.80,5.82,-0.40,0.00,-5.56,0.00,-0.80,-0.000001
3765,0,0,-0.27,5.82,-0.41,0.00,-6.50,0.00,-0.27,-0.000000001
3781,0,0,-0.10,5.82,-0.41,0.00,-6.37,0.00,-0.10,-0.000001
3841,0,0,0.22,5.82,-0.42,0.00,-3.31,0.00,0.22,-0.000001
3879,0,0,0.27,5.82,-0.42,0.00,0.69,0.00,0.27,0.000000
3907,0,0,0.17,5.82,-0.42,0.00,2.94,0.00,0.17,0.000000
3921,0,0,0.10,5.82,-0.42,0.00,3.69,0.00,0.10,0.000001
3971,0,0,-0.15,5.81,-0.42,0.00,5.37,0.00,-0.15,0.000001
3984,0,0,-0.33,5.82,-0.42,0.00,6.12,0.00,-0.33,0.000001
4071,0,0,-1.02,5.82,-0.42,0.00,3.62,0.00,-1.02,0.000001
4088,0,0,-1.08,5.82,-0.43,0.00,2.75,0.00,-1.08,0.000001
4160,0,0,-1.10,5.82,-0.43,0.00,-1.37,0.00,-1.10,0.000000
4235,0,0,-0.62,5.81,-0.42,0.00,-6.06,0.00,-0.62,-0.000001
4263,0,0,-0.43,5.81,-0.43,0.00,-6.37,0.00,-0.43,-0.000001
4326,0,0,0.05,5.81,-0.42,0.00,-5.25,0.00,0.05,-0.000001
4355,0,0,0.22,5.82,-0.42,0.00,-4.00,0.00,0.22,-0.000001
4397,0,0,0.34,5.82,-0.43,0.00,-0.19,0.00,0.34,-0.000000
4428,0,0,0.29,5.82,-0.43,0.00,1.75,0.00,0.29,0.000000
4445,0,0,0.15,5.82,-0.43,0.00,3.56,0.00,0.15,0.000001
4473,0,0,0.01,5.81,-0.43,0.00,4.62,0.00,0.01,0.000001
4503,0,0,-0.21,5.81,-0.44,0.00,5.69,0.00,-0.21,0.000001
4568,0,0,-0.83,5.81,-0.44,0.00,4.50,0.00,-0.83,0.000001
4630,0,0,-1.02,5.81,-0.44,0.00,0.56,0.00,-1.02,0.000000
4668,0,0,-1.02,5.81,-0.44,0.00,-1.31,0.00,-1.02,0.000000
4717,0,0,-0.76,5.81,-0.45,0.00,-5.12,0.00,-0.76,-0.000.000001
4733,0,0,-0.62,5.81,-0.44,0.00,-5.69,0.00,-0.62,-0.000001
4806,0,0,-0.35,5.81,-0.45,0.00,-6.2.31,0.00,-0.23,-0.000001
4825,0,0,-0.18,5.81,-0.45,0.00,-6.00,0.00,-0.18,-0.000001
4903,0,0,0.21,5.82,-0.45,0.00,-3.37,0.00,0.21,-0.000001
4925,0,0,0.27,5.82,-0.46,0.00,-2.12,0.00,0.27,-0.000000
5015,0,0,0.23,5.82,-0.46,0.00,1.50,0.00,0.23,0.000000
5031,0,0,0.20.17,5.82,-0.46,0.00,2.62,0.00,0.17,0.000000
5047,0,0,0.10,5.82,-0.46,0.00,3.19,0.00,0.10,0.000001
5265,0,0,-0.99,5.81,-0.47,0.00,2.87,0.00,-0.99,0.000001
5314,0,0,-1.06,5.81,-0.47,0.00,1.12,0.00,-1.06,000
5356,0,0,-1.04,5.81,-0.47,0.00,-0.94,0.00,-1.04,0.000000
5391,0,0,-0.98,5.81,-0.47,0.00,-2.50,0.00,-0.98,-0.000000
5449,0,0,-0.66,5.81,-0.47,0.00,-5.37,0.00,-0.66,-0.000001
5506,0,0,-0.43,5.81,-0.47,0.00,-6.00,0.00,-0.43,-0.000001
5521,0,0,-0.25,5.81,-0.47,0.00,-5.94,0.00,-0.25,-0.000001
5657,0,0,0.28,5.82,-0.47,0.00,-3.06,0.00,0.28,-0.000001
5678,0,0,0.33,5.82,-0.47,0.00,-1.06,0.00,0.33,-0.000000
5747,0,0,0.31,5.82,-0.47,0.00,1.00,0.00,0.31,0.000000
5776,0,0,0.20,5.82,-0.47,0.00,2.75,0.00,0.20,0.000000
5854,0,0,-0.16,5.81,-0.48,0.00,5.12,0.00,-0.16,0.000001
5876,0,0,-0.33,5.81,-0.48,0.00,5.37,0.00,-0.33,0.000001
5960,0,0,-0.75,5.81,-0.49,0.00,4.37,0.00,-0.75,0.000001
5999,0,0,-0.91,5.81,-0.49,0.00,3.19,0.00,-0.91,0.000001
6050,0,0,-1.01,5.81,-0.49,0.00,1.37,0.00,-1.01,0.000001
6083,0,0,-1.03,5.81,-0.49,0.00,-0.56,0.00,-1.03,0.000000
6190,0,0,-0.73,5.81,-0.49,0.00,-4.81,0.00,-0.73,-0.000001
6297,0,0,-0.15,5.81,-0.49,0.00,-5.62,0.00,-0.15,-0.000001
6351,0,0,0.02,5.81,-0.50,0.00,-4.25,0.00,0.02,-0.000001
6400,0,0,0.15,5.81,-0.50,0.00,-2.31,00.00,0.16,-0.000000
6415,0,0,0.18,5.81,-0.50,0.00,-1.62,0.00,0.18,-0.000000
6459,0,0,0.16,5.81,-0.50,0.00,0.94,0.00,0.16,0.000000
6508,0,0,0.06,5.81,-0.50,0.00,2.56,0.00,0.06,0.000000
6585,0,0,-0.24,5.81,-0.50,0.00,4.75,0.00,-0.24,0.000001
6656,0,0,-0.67,5.81,-0.51,0.00,5.19,0.00,-0.67,0.000001
6755,0,0,-1.06,5.81,-0.51,0.00,1.81,0.00,-1.06,0.000001
6789,0,0,-1.08,5.81,-0.51,0.00,0.44,0.00,-1.08,0.000000
6879,0,0,-0.93,5.81,-0.51,0.00,-3.25,0.00,-0.93,-0.000000
6928,0,0,-0.80,5.81,-0.51,0.00,-4.56,0.00,-0.80,-0.000001
