millis,armed,flip,phase,sp_r_r,gx,er,sp_r,roll,ch_thr,m1,m2,m3,m4
141,0,0,0,0.00,0.06,0.00,0.00,0.12,1000,1000.00,1000.00,1000.00,1000.00
174,0,0,0,0.00,0.00,0.00,0.00,0.12,1000,10000,1000.00,1000.00,1000.00
194,0,0,0,0.00,-0.06,0.00,0.00,0.12,1000,1000.00,1000.00,1000.00,1000.00
232,0,0,0,0.00,0.06,0.00,0.00,0.12,1000,1000.00,1000.00,1000.00,1000.00
306,0,0,0,0.00,0.19,0.00,0.00,0.12,1000,1000.00,1000.00,1000.00,1000.00
354,0,0,0,0.00,0.19,0.00,0.00,0.12,1000,1000.00,1000.00,1000.00,1000.00
390,0,0,0,0.00,0.06,0.00,0.00,0.12,1000,1000.000,1000.00,1000.00,1000.00
462,0,0,0,0.00,-0.06,0.00,0.00,0.12,1000,1000.00,1000.00,1000.00,1000.00
551,0,0,0,0.00,0.00,0.00,0.00,0.12,1000,1000.00,1000.00,1000.00,1000.00
588,0,0,0,0.00,-0.25,0.00,0.00,0.12,1000,1000.00,1000.00,1000.00,1000.00
1060,0,0,0,0.00,-0.19,0.00,0.00,0.12,1000,1000.00,1000.00,1000.00,1000.00
1094,0,0,0,0.00,-0.19,0.00,00,0.12,1000,1000.00,1000.00,1000.00,1000.00
1151,0,0,0,0.00,-0.19,0.00,0.00,0.12,1000,1000.00,1000.00,1000.00,1000.00
1188,0,0,0,0.00,0.19,0.00,0.00,0.12,1000,1000.00,1000.00,1000.00,1000.00
1309,0,0,0,0.00,0.00,0.00,0.000,0.12,1000,1000.00,1000.00,1000.00,1000.00
1346,0,0,0,0.00,0.13,0.00,0.00,0.12,1000,1000.00,1000.00,1000.00,1000.00
1415,0,0,0,0.00,0,0.00,0.00,0.12,1000,1000.00,1000.00,1000.00,1000.00
1451,0,0,0,0.00,0.06,0.00,0.00,0.12,1000,1000.00,1000.00,1000.00,1000.00
1472,0,0,0,0.00,0.00,0.00,0.00,0.12,1000,1000.00,1000.00,1000.00,1000.00
1511,0,0,0,0.00,-0.19,0.00,0.00,0.12,1000,1000.00,1000.00,1000.00,1000.00
1614,0,0,0,0.00,0.13,0.00,0.00,0.12,1000,1000.00,1000.00,1000.00,1000.00
1633,0,0,0,0.00,0.19,0.00,0.00,0.12,1000,1000.00,1000.00,1000.00,1000.00
1668,0,0,0,0.00,0.19,0.00,0.00,0.12,1000,1000.00,1000.00,1000.00,1000.00
1735,0,0,0,0,0.19,0.00,0.00,0.12,1000,1000.00,1000.00,1000.00,1000.00
1768,0,0,0,0.00,0.00,0.00,0.00,0.12,1000,1000.00,1000.00,1000.00,1000.00
1788,0,0,0,0.00,-0.19,0.00,0.00,0.12,1000,1000.00,1000.00,1000.00,1000.00
1822,0,0,0,0.00,0.13,0.00,0.00,0.12,1000,1000.00,1000.00,1000.00,1000.00
1917,0,0,0,0.00,0.19,0.00,0.00,0.12,1000,1000.00,1000.00,1000.00,1000.00
1936,0,0,0,0.00,-0.0.13,0.00,0.00,0.12,1000,1000.00,1000.00,1000.00,1000.00
1974,0,0,0,0.00,-0.06,0.00,0.00,0.12,1000,1000.00,1000.00,1000.00,1000.00
2365,0,0,0,0.00,-0.06,0.00,0.00,0.12,1000,1000.00,1000.00,1000.00,1000.00
2388,0,0,0,0.00,-0.06,0.00,0.00,0.12,1000,1000.00,1000.00,1000.00,1000.00
2425,0,0,0,0.00,-0.06,0.00,0.00,0.12,1000,1000.00,1000.00,1000.00,1000.00
2525,0,0,0,0.00,-0.06,0.00,0.00,0.12,1000,1000.00,1000.00,1000.00,1000.00
2581,0,0,0,0.00,0.19,0.00,0.00,0.12,1000,1000.00,1000.00,1000.00,1000.00
2684,0,0,0,0.00,0.13,0.00,0.00,0.12,1000,1000.00,1000.00,1000.00,1000.00
2704,0,0,0,0.00,0.25,0.00,0.00,0.12,1000,1000.00,1000.00,1000.00,1000.00
2741,0,0,0,0.00,0.00,0.00,0.00,0.12,1000,1000.00,1000.00,1000.00,1000.00
2805,0,0,0,0.00,0.06,0.00,0.00,0.12,1000,1000.00,1000.00,1000.00,1000.00
2841,0,0,0,0.00,-0.19,0.00,0.00,0.12,1000,1000.00,1000.00,1000.00,1000.00
2863,0,0,0,0.00,0.06,0.00,0.00,0.12,1000,1000.00,1000.00,1000.00,1000.00
2947,0,0,0,0.00,0.31,0.00,0.00,0.12,1000,1000.00,1000.00,1000.00,10000
2965,0,0,0,0.00,0.13,0.00,0.00,0.12,1000,1000.00,1000.00,1000.00,1000.00
3000,0,0,0,0.00,0.00,0.00,0.00,0.12,1000,1000.00,1000.00,1000.00,1000.00
3022,0,0,0,0.00,-0.06,0.00,0.00,0.12,1000,1000.00,1000.00,1000.00,1000.00
3128,0,0,0,0.00,0.06,0.00,0.00,0.12,1000,1000.00,1000.00,1000.00,1000.00
3164,0,0,0,0.00,-0.25,0.00,0.00,0.12,1000,1000.00,1000.00,1000.00,1000.00
3184,0,0,0,0.00,0.00,0.00,0.00,0.12,1000,1000.00,1000.00,1000.00,1000.00
3283,0,0,0,0.00,0.00,0.00,0.00,0.12,1000,1000.00,1000.00,1000.00,1000.00
3319,0,0,0,0.00,0.06,0.00,0.00,0.12,1000,1000.00,1000.00,1000.00,1000.00
3340,0,0,0,0.00,0.06,0.00,0.00,0.12,1000,1000.00,1000.00,1000.00,1000.00
3445,0,0,0,0.00,0.13,0.00,0.00,0.12,1000,1000.00,1000.00,1000.00,1000.00
3481,0,0,0,0.00,0.06,0.00,0.00,0.12,1000,1000.00,1000.00,1000.00,1000.000
3502,0,0,0,0.00,0.00,0.00,0.00,0.12,1000,1000.00,1000.00,1000.00,1000.00
3603,0,0,0,0.00,-0.13,0.00,0.00,0.12,1000,1000.00,1000.00,1000.00,1000.00
3639,0,0,0,0.00,0.00,0.00,0.00,0.12,1000,1000.00,1000.00,1000.000,1000.00
3659,0,0,0,0.00,0.00,0.00,0.00,0.12,1000,1000.00,1000.00,1000.00,1000.00
3713,0,0,0,0.00,-0.06,0.00,0.00,0.12,1000,1000.00,1000.00,1000.00,1000.00
3746,0,0,0,0.00,0.13,0.00,0.00,0.12,1000,1000.00,10000,1000.00,1000.00
3768,0,0,0,0.00,0.06,0.00,0.00,0.12,1000,1000.00,1000.00,1000.00,1000.00
3804,0,0,0,0.00,0.13,0.00,0.00,0.12,1000,1000.00,1000.00,1000.00,1000.00
