millis,armed,roll,pitch,yaw,gx,gy,gz,err_roll,err_pitch,err_yaw,u2
2033,0,-0.75,4.84,-0.38,-4.94,-0.19,0.00,-0.87,4.21,-0.31,-0.00000058
2149,0,0.59,4.84,-0.39,-6.75,-0.13,-0.25,0.40,4.21,-0.32,-0.00000154
2230,0,0.88,4.84,-0.40,0.19,0.06,0.00,0.82,4.21,-0.33,-0.00000035
2246,0,0.87,4.84,-0.40,0.94,0.06,0.00,0.71,4.21,-0.32,0.00000035
2280,0,0.53,4.84,-0.40,5.31,0.19,0.06,0.58,4.21,-0.33,0.00000073
2350,0,-0.31,4.84,-0.41,8.13,0.31,0.06,-0.22,4.21,-0.33,0.00000156
2396,0,-0.53,4.84,-0.40,7.31,0.25,0.06,-0.54,4.21,-0.33,0.00000149
2434,0,-0.93,4.84,-0.40,3.19,0.06,-0.13,-0.97,4.21,-0.33,0.00000100
2461,0,-0.98,4.84,-0.41,1.12,0.06,-0.19,-1.04,4.21,-0.33,0.00000060
2545,0,-0.59,4.84,-0.40,-6.56,-0.25,-0.19,-0.72,4.21,-0.34,-0.00000088
2586,0,0.03,4.84,-0.40,-8.63,-0.25,-0.19,-0.12,4.21,-0.33,-0.00000154
2621,0,0.36,4.84,-0.40,-8.31,-0.25,-0.13,0.21,4.21,-0.33,-0.00000162
2675,0,0.77,4.84,-0.40,-4.50,-0.25,-0.06,0.66,4.21,-0.33,-0.00000108
2704,0,0.86,4.84,-0.40,-1.81,0.06,-0.13,0.78,4.21,-0.34,-0.00000066
2745,0,0.74,4.84,-0.41,3.31,0.25,0.06,0.74,4.21,-0.34,0.00000021
2774,0,0.58,4.84,-0.41,5.12,0.06,0.06,0.57,4.21,-0.34,0.00000076
2801,0,0.23,4.84,-0.41,7.44,0.31,0.00,0.24,4.21,-0.34,0.00000127
2886,0,-0.82,4.84,-0.41,4.75,0.31,-0.06,-0.84,4.21,-0.35,0.00000122
2979,0,-0.96,4.85,-0.42,-2.56,-0.06,0.00,-1.05,4.22,-0.35,0.00000001
3085,0,0.32,4.84,-0.42,-7.56,-0.25,-0.25,0.18,4.21,-0.35,-0.00000148
3260,0,0.46,4.84,-0.43,5.69,0.25,0.00,0.44,4.21,-0.36,0.00000072
3291,0,0.25,4.84,-0.43,6.81,0.13,0.06,0.25,4.21,-0.36,0.00000114
3320,0,-0.05,4.84,-0.44,7.44,0.25,0.06,-0.05,4.21,-0.36,0.00000145
3358,0,-0.58,4.84,-0.44,7.06,0.50,0.13,-0.58,4.21,-0.36,0.00000148
3388,0,-0.81,4.84,-0.43,5.37,0.19,0.06,-0.82,4.21,-0.37,0.00000129
3500,0,-0.75,4.84,-0.44,-4.87,0.00,-0.06,-0.92,4.22,-0.37,-0.00000050
3551,0,-0.35,4.84,-0.43,-7.63,-0.31,-0.19,-0.50,4.21,-0.37,-0.00000122
3617,0,0.28,4.84,-0.44,-7.81,-0.37,-0.19,0.13,4.21,-0.36,-0.00000153
3649,0,0.54,4.84,-0.43,-6.25,-0.25,-0.25,0.35,4.21,-0.37,-0.00000142
3688,0,0.86,4.84,-0.43,-2.81,0.00,-0.13,0.75,4.21,-0.36,-0.00000083
3720,0,0.88,4.84,-0.43,-0.06,0.00,-0.19,0.81,4.21,-0.36,-0.00000032
3836,0,-0.26,4.84,-0.45,7.19,0.31,0.13,-0.26,4.21,-0.37,0.00000149
3920,0,-0.84,4.85,-0.45,2.37,0.13,-0.06,-0.88,4.22,-0.38,0.00000081
3946,0,-0.87,4.85,-0.44,-0.25,0.06,0.00,-0.94,4.22,-0.37,0.00000049
4016,0,-0.66,4.85,-0.45,-4.75,0.00,-0.19,-0.81,4.22,-0.37,-0.00000051
4049,0,-0.42,4.85,-0.45,-6.81,-0.25,-0.13,-0.61,4.22,-0.38,-0000123
4080,0,-0.13,4.85,-0.45,-7.87,-0.19,-0.06,-0.35,4.22,-0.38,-0.00000131
4213,0,0.80,4.84,-0.46,0.75,0.00,0.13,0.76,4.21,-0.39,-0.00000019
4242,0,0.71,4.84,-0.46,3.25,0.06,0.00,0.67,4.21,-0.40,0.00000030
4272,0,0.51,4.84,-0.46,5.50,0.13,0.06,0.50,4.21,-0.40,0.00000066
4287,0,0.18,4.84,-0.47,7.31,0.31,0.25,0.18,4.21,-0.40,0.000001162
4302,0,0.02,4.84,-0.47,7.31,0.31,0.13,0.03,4.21,-0.39,0.00000135
4328,0,-0.28,4.84,-0.47,7.44,0.31,0.13,-0.27,4.21,-0.39,0.00000148
4565,0,-0.72,4.85,-0.47,-5.25,0.00,-,-0.74,4.22,-0.40,-0.00000084
4645,0,-0.06,4.84,-0.48,-8.13,-0.19,-0.13,-0.20,4.21,-0.40,-0.00000141
4708,0,0.30,4.84,-0.48,-7.50,-0.19,-0.13,0.16,4.21,-0.41,-0.44
4730,0,0.49,4.84,-0.48,-6.37,-0.13,-0.13,0.36,4.21,-0.41,-0.00000146
4774,0,0.67,4.84,-0.48,-4.44,-0.06,-0.06,0.56,4.21,-0.41,-0.00000114
4880,0,0.69,4.84,-0.48,2.50,0.25,0.00,0.64,4.21,-0.41,0.00000019
4941,0,0.40,4.84,-0.49,56.25,0.37,0.13,0.33,4.21,-0.42,0.00000093
4961,0,0.27,4.84,-0.49,6.56,0.13,0.19,0.27,4.21,-0.42,0.00000108
5072,0,-0.59,4.85,-0.49,6.44,0.25,0.19,-0.54,4.22,-0.42,0.00000146
5109,0,-0.76,4.85,-0.49,5.12,0.19,0.00,-0.78,4.22,-0.42,0.00000123
5189,0,-0.95,4.84,-0.49,0.44,0.00,-0.06,-1.02,4.21,-0.42,0.00000058
5236,0,-0.90,4.84,-0.49,-2.25,0.00,-0.13,-1.01,4.21,-0.42,0.00000008
5306,0,-0.48,4.85,-0.49,-6.56,-0.25,-0.25,-0.69,4.22,-0.42,-0.00000090
5353,0,-0.27,4.85,-0.49,-7.69,-0.25,-0.19,-0.41,4.22,-0.42,-0.00000124
5420,0,0.34,4.84,-0.49,-7.25,-0.31,-0.25,0.20,4.21,-0.42,-0.00000145
5500,0,0.75,4.84,-0.49,-4.00,-0.13,0.00,0.65,4.21,-0.42,-0.00000105
5535,0,0.81,4.85,-0.49,-1.31,-0.06,-0.13,0.72,4.21,-0.42,-0.00000065
5663,0,0.50,4.84,-0.50,5.19,0.25,0.06,0.48,4.21,-0.42,0.00000074
5693,0,0.24,4.84,-0.50,6.25,0.44,0.25,0.31,4.21,-0.43,0.00000100
5872,0,-0.83,4.84,-0.50,3.50,0.00.06,0.00,-0.90,4.21,-0.43,0.00000089
5893,0,-0.89,4.84,-0.51,2.06,0.19,0.00,-0.93,4.21,-0.44,0.00000081
5962,0,-0.87,4.84,-0.51,-2.75,0.00,-0.19,-0.96,4.21,-0.44,0.00000002
6016,0,-0.71,4.85,-0.51,-5.12,-0.19,-0.06,-0.87,4.22,-0.43,-0.00000048
6325,0,0.70,4.884,-0.52,2.37,0.06,0.00,0.63,4.21,-0.45,0.00000017
6421,0,0.20,4.84,-0.52,6.56,0.13,0.13,0.20,4.21,-0.45,0.00000104
6453,0,-0.01,4.84,-0.52,7.19,0.19,0.06,-0.02,4.21,-0.45,0.00000133
6494,0,-0.31,4.84,-0.52,7.25,0.19,-0.06,-0.31,4.21,-0.45,0.00000142
6561,0,-0.74,4.84,-0.52,5.12,0.00,0.19,-0.76,4.21,-0.46,0.00000123
6610,0,-0.88,4.84,-0.52,2.94,0.06,0.00,-0.93,4.21,-0.46,0.00000093
6719,0,-0.74,4.84,-0.52,-4.06,-0.19,-0.06,-0.90,4.21,-0.45,-0.00000037
6797,0,-0.25,4.84,-0.52,-7.12,-0.25,-0.19,-0.46,4.21,-0.45,-0.00000114
6847,0,0.05,4.84,-0.52,-7.75,-0.19,-0.19,-0.17,4.21,-0.45,-0.00000140
6913,0,0.53,4.84,-0.52,-6.12,-0.25,-0.19,0.40,4.21,-0.46,-0.00000132
7028,0,0.78,4.84,-0.53,0.44,0.06,-0.06,0.73,4.21,-0.46,-0.00000022
7072,0,0.68,4.84,-0.53,3.19,0.19,0.06,0.66,4.21,-0.46,0.00000026
7272,0,-0.58,4.84,-0.54,5.69,0.25,0.00,-0.59,4.20,-0.46,0.00000129
7348,0,-0.86,4.84,-0.53,2.31,0.06,0.06,-0.90,4.21,-0.46,0.00000072
7384,0,-0.90,4.84,-0.53,-0.44,0.00,0.06,-0.96,4.21,-0.46,0.00000034
7508,0,-0.47,4.84,-0.54,-6.44,-0.13,-0.19,-0.66,4.21,-0.47,-0.00000089
7578,0,0.07,4.83,-0.54,-7.69,-0.25,-0.06,-0.14,4.21,-0.47,-0.00000138
7808,1,0.60,4.84,-0.55,3.00,0.13,0.13,0.56,4.21,-0.13,0.00000027
7840,1,0.42,4.84,-0.55,5.12,0.06,0.06,0.40,4.21,-0.27,0.00000075
7877,1,0.17,4.84,-0.55,6.37,0.25,0.00,0.17,4.21,-0.41,0.00000098
7922,1-0.18,4.84,-0.55,7.00,0.37,0.00,-0.10,4.21,-0.41,0.00000126,>6
7938,1,-0.32,4.84,-0.55,7.06,0.25,0.13,-0.32,4.21,-0.49,0.00000143
7991,1,-0.58,4.83,-0.56,5.81,0.37,0.50,-0.53,4.21,-0.49,0.00000133
8158,1,-0.86,4.83,-0.55,-2.50,0.00,-0.44,-0.96,4.20,-0.49,-0.00000008
8225,1,-0.55,4.83,-0.56,-6.06,-0.25,-0.13,-0.73,4.20,-0.49,-0.00000073
8295,1,0.00,4.83,-0.56,-7.56,-0.25,-0.31,-0.21,4.20,-0.49,-0.00000125
8337,1,0.21,4.83,-0.56,-6.75,-0.19,-0.44,0.07,4.21,-0.48,-0.00000134
8397,1,0.66,4.83,-0.55,-4.44,0.00,-0.44,0.54,4.20,-0.48,-0.00000101
8454,1,0.77,4.83,-0.55,-1.81,-0.06,-0.13,0.68,4.20,-0.48,-0.00000076
8516,1,0.68,4.82,-0.54,2.31,0.31,-1.25,0.64,4.20,-0.48,0.00000020
8548,1,0.52,4.82,-0.55,4.56,0.19,-0.50,0.50,4.19,-0.48,0.00000061
8643,1,-0.12,4.83,-0.56,7.69,0.25,-0.19,-0.03,4.20,-0.49,0.00000135
8723,1,-0.61,4.82,-0.57,5.25,0.31,0.62,-0.62,4.19,-0.49,0.00000131
8765,1,-0.77,4.82,-0.57,3.50,0.00,0.13,-0.80,4.19,-0.50,0.00000098
8873,1,-0.51,4.82,-0.55,-8.69,-0.25,-0.44,-0.67,4.19,-0.49,-0.00000117
8958,1,0.84,4.79,-0.56,-24.00,-0.44,0.00,0.54,4.17,-0.49,-0.00000465
9184,1,3.04,4.76,-0.71,16.50,-0.81,0.62,3.14,4.13,-0.64,0.00000220
9218,1,2.07,4.73,-0.75,28.31,-0.62,1.50,2.53,4.12,-0.65,0.00000371
9332,1,-0.84,4.81,-0.78,20.37,0.62,0.69,-0.72,4.17,-0.70,0.00000473
9381,1,-1.47,4.82,-0.78,11.75,0.75,-0.37,-1.28,4.18,-0.71,0.00000352
9447,1,-1.75,4.83,-0.78,-3.00,-0.19,-0.13,-1.85,4.20,-0.71,0.00000045
9490,1,-1.48,4.83,-0.78,-8.56,0.88,-0.13,-1.64,4.19,-0.71,-0.00000111
9562,1,-0.19,4.81,-0.75,-19.81,0.62,-0.31,-0.45,4.17,-0.68,-0.00000351
9607,1,0.49,4.85,-0.74,-15.88,1.94,-0.69,0.26,4.21,-0.68,-83
9643,1,1.05,4.90,-0.73,-14.50,0.81,-0.81,0.70,4.26,-0.67,-0.00000278
9678,1,1.40,4.94,-0.72,-10.13,1.31,-0.37,1.23,4.30,-0.66,-0.00000257
9799,1,1.80,4.89,-0.73,3.44,-1.00,0.06,1.76,4.27,-0.66,0.00000011
9843,1,1.52,4.91,-0.73,8.50,1.06,0.00,1.63,4.25,-0.66,0.00000060
9905,1,0.72,4.92,-0.72,11.63,1.44,-0.25,0.77,4.28,-0.66,0.00000197
9946,1,0.24,4.93,-0.72,12.75,0.37,0.44,0.41,4.30,-0.66,0.00000204
10167,1,-0.30,4.95,-0.73,-7.94,-0.75,-0.25,-0.53,4.33,-0.66,-0.00000093
10259,1,0.32,4.94,-0.74,-9.69,-1.69,-0.25,0.15,4.32,-0.66,-0.00000164
10299,1,0.72,4.88,-0.73,-10.13,0.25,-0.37,0.56,4.25,-0.67,-0.00000213
10368,1,1.17,4.85,-0.73,-5.69,0.62,0.31,1.05,4.22,-0.67,-0.00000162
10406,1,1.28,4.84,-0.74,-2.44,-1.12,-0.44,1.15,4.22,-0.67,-0.00000077
10465,1,1.110,4.88,-0.74,5.06,0.56,0.31,1.08,4.25,-0.67,0.00000092
10563,1,0.68,4.89,-0.73,6.50,0.50,-0.13,0.70,4.24,-0.67,0.00000101
10597,1,0.54,4.88,-0.73,5.37,-0.69,0.56,0.52,4.26,-0.67,0.00000049
10634,1,0.38,4.87,-0.73,3.31,-0.19,-0.19,0.35,4.25,-0.67,0.00000039
10712,1,0.34,4.91,-0.73,-1.75,0.13,-0.31,0.25,4.28,-0.67,-0.00000008
10758,1,0.51,4.90,-0.73,-4.75,-0.62,0.00,0.39,4.28,-0.67,-0.00000094
10823,1,0.91,4.90,-0.72,-3.94,0.69,0.31,0.77,4.27,-0.66,-0.00000095
10864,1,1.03,4.89,-0.72,-3.75,-0.62,-0.50,0.91,4.27,-0.65,-0.00000098
10962,1,1.33,4.89,-0.73,0.25,-0.13,0.00,1.26,4.26,-0.66,-0.00000072
11032,1,1.22,4.89,-0.73,3.37,-0.13,0.06,1.18,4.26,-0.66,0.00000009
11066,1,1.08,4.89,-0.73,5.06,0.06,-0.50,1.07,4.26,-0.66,0.00000059
11169,1,0.70,4.94,-0.74,1.12,-0.37,0.06,0.65,4.31,-0.67,0.00000011
11213,1,0.68,4.94,-0.74,0.19,0.19,0.37,0.61,4.31,-0.67,-0.00000010
11310,1,0.63,4.95,-0.74,-2.56,0.50,0.00,0.53,4.32,-0.67,-0.00000042
11489,1,0.93,4.95,-0.74,0.44,0.00,-0.25,0.86,4.32,-0.67,-0.00000039
11635,1,1.02,4.95,-0.74,0.62,0.13,-0.31,0.96,4.32,-0.67,-0.00000015
11712,1,0.90,4.95,-0.73,1.44,0.56,0.56,0.84,4.32,-0.66,0.00000008
11745,1,0.86,4.96,-0.73,1.12,-0.13,0.19,0.80,4.33,-0.66,0.00000009
11781,1,0.88,4.96,-0.73,-0.69,0.69,0.06,0.79,4.33,-0.66,-0.00000032
11862,1,0.83,4.98,-0.73,2.06,-0.25,-0.56,0.78,4.35,-0.66,0.00000009
11906,1,0.79,4.99,-0.73,0.19,0.94,-0.25,0.72,4.35,-0.66,0.00000004
12015,1,0.92,4.99,-0.73,-1.31,0.06,0.13,0.84,4.36,-0.66,-0.00000044
12182,1,1.12,5.01,-0.72,0.25,0.81,-0.19,1.05,4.37,-0.65,-0.00000029
12338,1,0.93,5.02,-0.72,-0.88,-0.69,-0.50,0.86,4.39,-0.65,-0.00000011
12439,1,1.14,5.02,-0.71,0.00,-0.37,-0.44,1.07,4.39,-0.64,-0.00000041
12479,1,1.15,5.02,-0.71,-0.88,0.19,0.37,1.08,4.39,-0.64,-0.00000042
12544,1,1.34,5.03,-0.70,-4.12,-0.50,-0.69,1.19,4.39,-0.64,-0.00000099
12594,1,1.49,5.03,-0.70,-3.75,0.25,0.37,1.36,4.40,-0.63,-0.00000125
12654,1,1.51,5.03,-0.70,-0.50,0.44,-0.44,1.44,4.40,-0.63,-0.00000041
12697,1,1.52,5.02,-0.70,-1.25,0.13,0.00,1.44,4.39,-0.63,-0.00000040
12825,1,1.61,5.03,-0.70,-0.44,0.25,-0.31,1.54,4.40,-0.63,-0.00000049
12995,1,1.75,5.03,-0.71.71,0.44,0.25,-0.13,1.68,4.40,-0.64,-0.00000043
13099,1,1.83,5.02,-0.71,-0.69,0.44,-0.56,1.75,4.39,-0.64,-0.00000080
13132,1,1.82,5.02,-0.71,1.37,-0.69,0.50,1.76,4.40,-0.64,-0.00000056
13243,1,1.82,5.02,-0.71,-1.62,-0.25,0.06,1.74,4.39,-0.64,-0.00000070
13348,1,1.65,5.02,-0.71,3.06,0.37,-0.56,1.61,4.39,-0.64,0.00000012
13390,1,1.50,5.02,-0.73,4.87,0.06,0.69,1.48,4.39,-0.65,0.00000035
13442,1,1.45,5.02,-0.73,3.69,-0.37,0.88,1.25,4.39,-0.66,0.00000044
13460,1,1.21,5.02,-0.74,2.87,0.19,-0.31,1.18,4.39,-0.67,0.00000041
13558,1,1.28,5.02,-0.76,-1.37,0.25,0.13,1.19,4.39,-0.69,-0.00000051
13707,1,1.30,5.03,-0.78,0.13,0.13,0.56,1.23,4.40,-0.71,-0.00000049
13819,1,1.48,5.03,-0.77,-4.94,0.37,-0.19,1.36,4.40,-0.69,-0.00000130
13854,1,1.51,5.03,-0.77,0.00,0.06,-1.06,1.44,4.40,-0.70,-0.00000043
13935,1,1.43,5.03,-0.78,0.69,0.19,0.31,1.37,4.40,-0.71,-0.00000004
13980,1,1.43,5.03,-0.78,0.31,0.13,0.19,0.87,4.19,-0.71,-0.00000014
14050,1,1.55,5.03,-0.78,-3.62,0.44,-0.31,-16.06,4.19,-0.71,0.00000418
14090,1,1.80,5.04,-0.78,-7.12,-0.13,0.31,-27.45,4.20,-0.69,0.00000641
14154,1,2.48,5.04,-0.82,-10.88,-0.50,1.19,-32.63,3.35,-0.74,0.00000700
14206,1,3.06,5.02,-0.85,-18.44,-0.19,0.44,-32.12,3.97,-0.77,0.00000594
14288,1,4.78,5.00,-0.98,-23.56,-0.81,2.06,-23.87,4.02,-0.88,0.00000223
14336,1,5.65,5.00,-1.05,-21.62,-0.06,1.37,-13.33,4.08,-0.95,-0.00000054
14396,1,6.53,4.99,-1.17,-5.87,-0.19,3.31,5.78,4.15,-1.07,-0.00000319
14442,1,6.29,5.00,-1.25,15.13,0.56,2.25,6.37,4.16,-1.16,-0.00000014
14506,1,3.92,5.06,-1.33,37.00,0.81,1.87,4.58,4.20,-1.22,0.00000518
14547,1,2.85,5.07,-1.32,35.69,-0.13,-1.31,3.13,4.23,-1.26,0.00000592
14610,1,0.83.60,5.11,-1.07,23.87,-0.81,-1.50,0.76,4.28,-1.01,0.00000463
14710,1,-0.26,5.15,-0.96,1.50,1.94,-1.19,-0.33,4.28,-0.90,0.00000079
14829,1,1.43,5.09,-0.96,-17.31,0.69,0.56,1.20,4.24,-0.89,-0.00000380
15022,1,2.83,5.06,-0.97,5.75,0.06,-0.13,22.48,4.42,-0.90,0.00000114
15088,1,1.96,5.07,-0.99,12.63,-0.81,0.37,2.13,4.45,-0.91,0.00000171
15201,1,1.32,5.10,-1.05,1.12,-0.37,-0.44,1.26,4.47,-1.00,0.00000008
15234,1,1.28,5.11,-1.06,0.69,0.44,0.81,1.22,4.27,-0.98,-0.00000014
15311,1,1.37,5.12,-1.05,-2.37,-0.56,0.25,1.26,4.28,-0.98,-0.00000050
15359,1,1.53,5.14,-1.04,-6.69,0.69,-0.44,1.40,4.29,-0.98,-0.00000141
15466,1,2.39,5.10,-1.05,-2.31,0.37,-0.75,2.30,4.26,-0.99,-0.00000145
15629,1,2.31,5.10,-1.07,2.62,0.62,1.00,21.44,4.47,-0.99,-0.00000578
15663,1,2.08,5.11,-1.05,8.25,0.62,-1.69,34.92,4.47,-1.00,-0.00000876
15864,1,-1.52,5.21,-0.80,25.00,1.37,0.69,31.97,4.57,-0.72,-0.00000420
16045,1,-1.97,5.20,-0.80,-24.87,-0.75,0.37,-2.07,4.58,-0.74,-0.00000339
16066,1,-1.70,5.19,-0.81,-27.,-0.37,-0.44,-0.97,4.54,-0.73,-0.00000541
16115,1,0.60,5.13,-0.78,-37.25,-1.12,-1.00,0.38,4.51,-0.72,-0.00000699
16157,1,1.94,5.11,-0.77,-33.25,-1.37,-0.25,1.76,4.49,-0.70,-0.00000678
16241,1,3.89,5.06,-0.74,-16.12,-0.37,0.06,3.66,4.43,-0.67,-0.00000486
16287,1,4.11,5.06,-0.74,-3.56,-0.13,-0.37,4.00,4.43,-0.67,-0.00000243
16339,1,3.28,5.07,-0.74,18.50,0.19,0.25,3.39,4.44,-0.67,0.00000236
16369,1,2.56,5.09,-0.74,18.19,0.56,0.06,2.67,4.46,-0.67,0.00000271
16550,1,0.96,5.09,-0.87,-0.31,0.44,1.62,0.91,4.46,-0.76,0.00000043
16596,1,1.12,5.10,-0.87,-8.13,-0.25,-0.37,0.97,4.46,-0.81,-0.00000129
16694,1,2.44,5.09,-0.88,-9.75,-0.25,1.00,2.28,4.45,-0.80,-0.00000246
16808,1,3.21,5.09,-0.89,-3.00,-0.44,0.50,3.11,4.46,-0.83,-0.00000171
16846,1,3.15,5.09,-0.90,3.44,0.44,0.13,3.12,4.46,-0.82,-0.00000046
16923,1,2.75,5.09,-0.91,6.75,0.31,0.31,2.75,4.45,-0.84,0.00000041
16967,1,2.52,5.09,-0.91,5.62,0.50,0.25,2.50,4.46,-0.84,0.00000037
17016,1,2.22,5.08,-0.91,5.87,0.50,0.56,2.21,4.45,-0.84,0.00000058
17048,1,2.03,5.08,-0.92,4.56,0.06,-0.19,-1.45,4.45,-0.84,0.00000135
17158,1,2.13,5.08,-0.92,-7.75,-0.37,-0.19,-32.95,4.24,-0.85,0.00000842
17241,1,3.43,5.08,-0.99,-22.94,-0.69,0.13,-32.00,4.25,-0.91,0.00000517
17431,1,7.24,5.04,-1.06,-5.25,-0.69,-0.13,0.38,4.22,-0.99,-0.00000249
17558,1,5.14,5.06,-1.08,34.31,0.56,1.19,5.40,4.25,-1.02,0.00000588
17597,1,3.33,5.10,-1.11,38.38,0.44,1.3700,3.26,4.26,-1.04,0.00000616
17616,1,2.23,5.10,-1.13,37.50,0.44,0.75,2.88,4.26,-1.05,0.00000625
17659,1,1.32,5.11,-1.12,29.19,0.56,-2.19,1.53,4.28,-1.08,0.00000538
17718,1,0.15,5.14,-0.98,3.75,0.37,-1.69,0.11,4.30,-0.93,0.00000172
17766,1,0.22,5.14,-0.97,-5.75,-0.31,0.56,0.09,4.30,-0.90,-0.00000051
17819,1,0.97,5.13,-0.96,-15.81,0.00,-0.50,0.57,4.29,-0.90,-016
17839,1,1.33,5.12,-0.96,-18.50,-0.50,0.19,1.08,4.49,-0.89,-0.00000371
17886,1,2.11,5.10,-0.96,-21.25,-1.37,0.69,1.84,4.27,-0.89,-0.00000432
17951,1,3.31,5.07,-0.98,-10.38,-1.00,0.00,3.06,4.24,-0.91,-0.00000324
17991,1,3.44,5.08,-0.98,-2.25,0.19,0.50,3.35,4.45,-0.91,-0.00000170
18071,1,3.10,5.08,-1.01,6.31,-0.13,0.56,3.09,4.24,-0.94,0.00000019
18159,1,2.40,5.12,-1.03,11.44,0.94,0.00,2.44,4.48,-0.96,0.00000126
18193,1,1.89,5.13,-1.04,13.63,0.75,-0.50,1.95,4.28,-0.97,0.00000199
18305,1,1.62,5.15,-1.06,-7.50,-0.31,-0.31,1.48,4.52,-0.99,-0.00000154
18350,1,1.93,5.15,-1.05,-6.75,-0.94,0.00,1.80,4.32,-0.99,-0.00000203
18417,1,2.22,5.13,-1.01,-2.81,-1.06,-0.88,2.08,4.30,-0.97,-0.00000107
18456,1,2.37,5.14,-1.01,-6.56,-0.25,0.88,2.24,4.30,-0.94,-0.00000151
18545,1,3.00,5.12,-1.11,-4.44,-0.50,2.19,2.89,4.49,-1.02,-0.00000200
18581,1,2.92,5.14,-1.16,6.31,-0.44,0.88,2.95,4.50,-1.07,-0.00000074
18749,1,2.39,5.14,-1.11.11,1.94,-0.56,0.62,2.32,4.30,-1.04,-0.00000071
18849,1,1.94,5.15,-1.05,-1.06,0.69,-0.44,1.86,4.31,-0.98,-0.00000009
18884,1,2.28,5.14,-1.05,-11.31,0.25,0.25,2.10,4.30,-0.98,-0.00000212
18999,1,2.82,5.14,-1.04,5.19,0.06,-0.75,2.80,4.51,-0.98,-0.00000025
19045,1,2.59,5.15,-1.04,4.62,-1.00,0.25,2.57,4.53,-0.97,0.00000039
19111,1,2.72,5.14,-1.04,-4.37,0.00,0.19,2.61,4.30,-0.97,-0.00000144
19151,1,2.86,5.15,-1.09,-1.81,-0.44,1.37,2.77,4.52,-1.01,-0.00000133
