millis,armed,roll,pitch,yaw,gx,gy,gz,err_roll,err_pitch,err_yaw,u2
42,0,-0.23,4.85,-0.30,-8.69,-0.25,-0.13,-0.46,4.22,-0.23,-0.00000136
79,0,0.12,4.85,-0.31,-9.31,-0.13,-0.31,-0.04,4.22,-0.24,-0.00000164
129,0,0.74,4.85,-0.31,-7.44,-0.25,-0.19,0.53,4.22,-0.24,-0.00000160
161,0,0.89,4.85,-0.31,-5.31,0.00,-0.06,0.77,4.22,-0.24,-0.00000129
201,0,1.01,4.85,-0.31,0.56,0.19,-0.19,0.95,4.22,-0.24,-0.00000028
232,0,0.88,4.85,-0.32,4.19,0.06,0.00,0.85,4.22,-0.25,0.00000013
361,0,-0.57,4.85,-0.33,7.31,0.25,0.06,-0.57,4.22,-0.25,0.00000154
455,0,-0.98,4.85,-0.33,0.13,0.00,-0.13,-1.05,4.22,-0.25,0.00000042
484,0,-0.92,4.85,-0.33,-2.75,0.06,-0.06,-1.02,4.22,-0.26,-0.00000012
526,0,-0.51,4.85,-0.33,-7.63,-0.37,0.00,-0.65,4.22,-0.26,-0.00000112
577,0,0.13,4.85,-0.33,-8.94,-0.56,-0.25,-0.02,4.22,-0.26,-0.00000167
727,0,0.78,4.84,-0.34,3.94,0.13,0.06,0.78,4.21,-0.27,0.00000024
757,0,0.61,4.84,-0.35,5.81,0.25,-0.06,0.60,4.21,-0.27,0.00000079
785,0,0.32,4.84,-0.34,7.44,0.25,0.06,0.33,4.21,-0.28,0.00000122
801,0,0.24,.85,-0.35,8.50,0.31,0.06,-0.08,4.22,-0.27,0.00000155
817,0,-0.26,4.85,-0.35,8.25,0.25,-0.06,-0.25,4.22,-0.27,0.00000165
845,0,-0.57,4.85,-0.35,7.37,0.31,0.00,-0.57,4.22,-0.27,0.00000156
1026,0,-0.64,4.85,-0.35,-7.00,-0.25,0.00,-0.78,4.22,-0.28,-0.00000102
1075,0,-0.03,4.85,-0.35,-8.88,-0.31,-0.13,-0.18,4.22,-0.28,-0.00000154
1104,0,0.29,4.85,-0.35,-8.44,-0.25,-0.13,0.15,4.22,-0.28,-0.00000165
1147,0,0.76,4.84,-0.36,-5.25,-0.06,-0.13,0.61,4.21,-0.29,-0.00000124
1179,0,0.85,4.84,-0.36,-2.56,-0.13,-0.06,0.75,4.21,-0.29,-0.00000081
1323,0,-0.06,4.84,-0.37,8.37,0.25,0.13,-0.04,4.21,-0.30,0.00000153
1405,0,-0.86,4.85,-0.37,5.62,0.06,0.06,-0.88,4.21,-0.30,0.00000129
1437,0,-1.00,4.85,-0.37,2.44,0.06,-0.06,-1.04,4.22,-0.30,0.00000103
1482,0,-0.95,4.85,-0.37,-2.56,-0.25,-0.06,-1.05,4.22,-0.30,-0.00000007
1517,0,-0.79,4.84,-0.37,-5.19,-0.06,-0.06,-0.91,4.22,-0.30,-0.00000059
1569,0,-0.22,4.84,-0.37,-8.50,-0.19,-0.13,-0.37,4.21,-0.30,-0.00000144
1642,0,0.71,4.84,-0.37,-6.31,-0.06,-0.06,0.52,4.21,-0.30,-0.00000145
1697,0,0.96,4.84,-0.37,-2.00,0.13,-0.13,0.88,4.21,-0.30,-0.00000074
1731,0,0.94,4.84,-0.37,0.81,0.00,0.00,0.89,4.21,-0.30,-0.00000018
1824,0,0.39,4.84,-0.38,7.06,0.19,0.19,0.39,4.21,-0.31,0.00000111
1853,0,0.07,4.84,-0.38,7.87,0.37,0.13,0.08,4.21,-0.31,0.00000144
1981,0,-0.95,4.84,-0.38,-0.62,0.00,0.00,-1.02,4.21,-0.31,0.00000044
