micros,flip,phase,spf_roll,roll_rlv,roll,spf_r_rate,gxrs,error_roll,error_r_rate,m1,m2,m3,m4
52,0,0,0.00,0.00,-0.68,0.00,-4.12,-0.58,-6.44,1000.00,1002.00,1002.00,1000.00
200,0,0,0.00,0.00,0.91,0.00,14.38,0.78,14.19,1006.00,1000.00,1000.00,1006.00
279,0,0,0.00,0.00,2.25,0.00,8.00,2.18,8.88,1004.00,1000.00,1000.00,1004.00
398,0,0,0,0.00,1.14,0.00,-13.31,1.28,-12.94,1000.00,1004.00,1004.00,1000.00
461,0,0,0.00,0.00,-0.40,0.00,-9.75,-0.22,-10.50,1000.00,1004.00,1004.00,1000.00
479,0,0,0.00,0.00,-0.61,0.00,-6.69,-0.48,-7.87,1000.00,1003.00,1003.00,1000.00
593,0,0,0.00,0.00,0.37,0.00,13.44,0.25,12.44,1005.00,1000.00,1000.00,1005.00
672,0,0,0.00,0.00,1.53,0.00,12.56,1.41,13.44,10,1000.00,1000.00,1005.00
692,0,0,0.00,0.00,1.85,0.00,10.63,1.75,12.13,1005.00,1000.00,1000.00,1005.00
769,0,0,0.00,0.00,2.14,0.00,-5.37,2.24,-3.19,1000.00,1000.00,1000.00,1000.00
899,0,0,0.00,0.00,0.37,0.00,-12.69,0.50,-13.06,1000.00,1004.00,1004.001004.00,1000.00
921,0,0,0.00,0.00,0.02,0.00,-11.63,0.13,-12.25,1000.00,1004.00,1004.00,1000.00
986,0,0,0.00,0.00,-2,0.00,-1.62,-0.68,-4.06,1000.00,1001.00,1001.00,1000.00
1062,0,0,0.00,0.00,-0.10,0.00,10.38,-0.30,9.00,1003.00,1000.00,1000.00,1003.00
1166,0,0,0.00,0.00,1.40,0.00,12.94,1.15,13.50,1005.00,1000.00,1000.00,1005.00
1257,0,0,0.00,0.00,2.37,0.00,0.88,2.37,1.75,1002.00,1000.00,1000.00,1002.00
1375,0,0,0.00,0.00,0.66,0.00,-12.38,0.90,-12.63,1000.00,1004.00,1004.00,1000.00
1431,0,0,0.00,0.00,-0.29,0,-7.19,-0.29,-8.06,1000.00,1003.00,1003.00,1000.00
1466,0,0,0.00,0.00,-0.57,0.00,-2.00,-0.52,-4.12,1000.00,1001.00,1001.00,1000.00
1497,0,0,0.00,0.00,-0.38,0.00,5.44,-0.49,4.50,1001.00,1000.00,1000.00,1001.00
1565,0,0,0.00,0.00,0.74,0.00,13.13,0.61,12.69,1005.00,1000.00,1000.00,1005.00
1619,0,0,0.00,0.00,1.75,0.00,10.008.56,1.75,10.00,1004.00,1000.00,1000.00,1004.00
1655,0,0,0.00,0.00,2.13,0.00,4.50,2.09,5.56,1003.00,1000.00,1000.00,1003.00
1730,0,0,0.00,0.00,1.81,0.00,-7.75,1.95,-5.94,1000.00,1001.00,1001.00,1000.00
1765,0,0,0.00,0.00,1.09,0.00,-11.69,1.20,-11.56,1000.00,1003.00,1003.00,1000.00
1828,0,0,0.00,0.00,-0.07,0.00,-11.00,07,-11.00,1000.00,1004.00,1004.00,1000.00
1874,0,0,0.00,0.00,-0.52,0.00,-5.56,-0.41,-7.50,1000.00,1003.00,1003.00,1000.00
1982,0,0,0.00,0.00,0.25,0.00,11.63,0.13,11.13,1004.00,1000.00,1000.00,1004.00
2070,0,0,0.00,0.00,1.93,0.00,8.69,1.85,10.13,1005.00,1000.00,1000.00,1005.00
2137,0,0,0.00,0.00,2.21,0.00,-3.31,2.26,-1.37,1000.00,1000.00,1000.00,1000.00
2235,0,0,0.00,0.00,0.74,0.00,-11.81,0.85,-12.06,1.00,1004.00,1004.00,1000.00
2351,0,0,0.00,0.00,-0.22,0.00,5.87,-0.33,3.87,1001.00,1000.00,00,1002.00
2368,0,0,0.00,0.00,0.00,0.00,8.63,-0.16,6.81,1002.00,1000.00,1000.00,1002.00
2556,0,0,0.00,0.00,2.30,0.00,1.50,2.30,2.31,1002.00,1000.00,1000.00,1002.00
2656,0,0,0.00,0.00,1.13,0.00,-11.25,1.36,-10.81,1000.00,1003.00,3.00,1000.00
2677,0,0,0.00,0.00,0.78,0.00,-11.69,1.02,-11.50,1000.00,1003.00,1003.00,1000.00
2770,0,0,0.00,0.00,-0.40,0.00,-2.56,-0.34,-4.44,1000.00,1001.00,1001.00,1000.00
2816,0,0,0.00,0.00,-0.31,0.00,4.56,-0.36,3.56,1001.00,1000.00,1000.00,1001.00
2891,0,0,0.00,0.00,0.72,0.00,11.81,0.61,11.63,1004.00,1000.00,1000.00,1004.00
3078,0,0,0.00,0.00,1.95,0.00,-5.87,2.06,-3.87,1000.00,1000.00,1000.00,1000.00
3104,0,0,0.00,0.00,1.64,0.00,-8.88,1.72,-7.50,1000.00,1001.00,1001.00,1000.00
3135,0,0,0.00,0.00,1.34,0.00,-10.13,1.44,-9.31,1000.00,1002.00,1002.00,1000.00
3366,0,0,0.00,0.00,0.22,0.00,9.75,0.05,8.69,1003.00,1000.00,1000.00,1003.00
3463,0,0,0.00,0.00,1.07,0.00,11.50,0.97,11.50,1,1000.00,1000.00,1005.00
3488,0,0,0.00,0.00,1.48,0.00,10.94,1.28,11.00,1005.00,1000.00,1000.00,1005.00
3828,0,0,0.00,0.00,0.48,0.00,-10.75,0.69,-10.69,1000.00,1003.00,1003.00,1000.00
3981,0,0,0.00,0.00,-0.31,0.00,0.25,-0.30,-1.25,1000.00,1000.00,1000.00,1000.00
4171,0,0,0.00,0.00,1.12,0.00,11.50,0.89,10.94,1004.00,1000.00,1000.00,1004.00
4271,0,0,0.00,0.00,1.94,0.00,7.81,1.80,9.19,1004.00,1000.00.00,1000.00,1004.00
4295,0,0,0.00,0.00,2.11,0.00,5.31,2.01,7.06,1003.00,1000.00,1000.00,1003.00
4529,0,0,0.00,0.00,0.99,0.00,-10.56,1.10,-10.38,1,1003.00,1003.00,1000.00
4632,0,0,0.00,0.00,-0.01,0.00,-6.69,0.13,-8.06,1000.00,1003.00,1003.00,1000.00
4795,0,0,0.00,0.00,-0.05,0.00,5.94,-0.15,4.37,1001.00,1000.00,1000.00,1001.00
