millis,armed,roll,pitch,yaw,gx,gy,gz,err_roll,err_pitch,err_yaw,u2,m1,m2,m3,m4
49152,1,0.32,4.95,-1.25,-2.62,-1.25,0.00,0.26,4.30,-1.18,-0.00000054,1218.00,1216.00,1216.00,1218.00
49921,1,0.10,5.02,-1.29,2.75,0.44,-0.25,0.06,4.44,-1.22,-0.00000041,1217.00,1217.00,1217.00,1217.00
49959,1,0.10,5.05,-1.29,-3.12,-0.75,-0.44,0.04,4.42,-1.22,-0.00000036,1217.00,1217.00,1217.00,1217.00
50263,1,-0.07,5.09,-1.30,2.31,0.75,-0.25,-0.14,4.46,-1.22,0.00000056,1216.00,1218.00,1218.00,1216.00
50607,1,-0.05,5.17,-1.31,-1.69,1.69,0.00,-0.13,4.53,-1.24,0.00000007,1083.00,1083.00,1083.00,1083.00
50645,1,-0.09,5.17,-1.31,0.88,0.00,0.00,-0.13,4.54,-1.23,0.00000016,1022.00,1022.00,1022.00,1022.00
51296,1,-0.07,5.16,-1.32,0.37,0.06,0.06,-0.13,4.53,-1.24,0.00000015,1014.00,1014.00,1014.00,1014.00
54544,1,0.90,5.26,-1.23,-1.69,0.56,0.56,0.80,4.63,-1.16,-0.00000069-0.00000054,1308.00,1306.00,1306.00,1308.00
54596,1,0.90,5.25,-1.23,-0.44,0.44,-1.00,0.85,4.63,-1.16,-0.4,1307.00,1307.00,1307.00,1307.00
54633,1,0.81,5.22,-1.23,1.50,0.13,0.13,0.77,4.60,-1.16,0.00000003,1307.00,1307.00,1307.00,1307.00
54675,1,0.75,5.23,-1.23,2.00,-0.37,-0.37,0.72,4.59,-1.16,0.00000025,1307.00,1307.00,1307.00,1307.00
54863,1,0.03,5.28,-1.24,6.87,-0.25,-1.25,0.02,4.65,-1.18,0.00000114,1013.00,1017.00,1017.00,1013.00
55784,0,-1.08,5.24,-1.25,-1.44,-0.13,-0.88,-1.16,4.61,-1.18,0.00000047,1014.00,1014.00,1014.00,1014.00
56676,0,-0.52,5.24,-1.26,-7.12,-0.13,-0.19,-0.72,4.60,-1.19,-0.00000118,1016.00,1012.00,1012.00,1016.00
56818,0,0.50,5.23,-1.27,-2.00,0.00,-0.19,0.38,4.60,-1.20,-0.00000076,1015.00,1013.00,1013.00,1015.00
57049,0,-0.33,5.23,-1.27,7.00,0.25,0.13,-0.26,4.60,-1.20,0.00000136,1012.00,1016.00,1016.00,1012.00
57396,1,-0.08,5.23,-1.27,-6.62,-0.19,0.06,-0.28,4.60,-1.20,-0.00000129,1016.00,1012.00,1012.00,1016.00
57968,1,-0.91,5.22,-1.28,-1.62,0.06,0.00,-1.00,4.59,-1.20,0.00000008,1014.00,1014.00,1014.00,1014.00
58007,1,-0.79,5.21,-1.26,-4.00,-0.06,0.06,-0.94,4.58,-1.19,-0.00000011,1014.00,1014.00,1014.00,1014.00
58280,1,0.45,5.21,-1.25,-2.44,0.00,-0.88,0.34,4.58,-1.19,-0048,1014.00,1014.00,1014.00,1014.00
58316,1,0.46,5.21,-1.24,1.00,0.00,0.50,0.41,4.58,-1.17,-0.00000001,1014.00,1014.00,1014.00,1014.00
58355,1,0.34,5.21,-1.24,3.69,0.06,0.00,0.35,4.58,-1.18,0.00000034,1014.00,1014.00,1014.00,1014.00
61198,1,0.18,5.17,-1.20,-1.19,-0.19,-0.31,0.10,4.54,-1.13,-0.00000036,1014.00,1014.00,1014.00,1014.00
61235,1,0.18,5.17,-1.20,-0.19,0.00,0.69,0.12,4.54,-1.13,-0.00000011,1014.00,1014.00,1014.00,1014.00
61736,0,-0.55,5.16,-1.21,-1.56,-0.37,-0.13,-0.64,4.54,-1.14,-0.00000037,1014.00,1014.00,1014.00,1014.00
61881,0,-0.08,5.17,-1.20,-2.25,0.06,0.06,-0.18,4.54,-1.13,-0.00000043,1014.00,1014.00,1014.00,1014.00
62422,0,-0.55,5.17,-1.22,-0.81,0.06,0.00,-0.63,4.54,-1.14,000000016,1014.00,1014.00,1014.00,1014.00
63153,0,-0.36,5.17,-1.22,-1.81,-0.06,0.00,-0.46,4.54,-1.15,-0.00000018,1014.00,1014.00,1014.00,1014.00
63494,0,-0.13,5.18,-1.22,-2.00,-0.06,-0.13,-0.20,4.55,-1.15,0.00000018,1014.00,1014.00,1014.00,1014.00
64956,0,-2.19,5.22,-1.27,2.31,0.13,0.19,-2.19,4.59,-1.0,0.00000030,1014.00,1014.00,1014.00,1014.00
